repName	repClass
MLT1K	ERVL
MLT1A	ERVL
MLT1J2	ERVL
MLT1E1A-int	ERVL
MLT1E1A	ERVL
LTR16C	ERVL
ERV3-16A3_I-int	ERVL
LTR12F	ERV1
LTR89	ERVL
LTR103b_Mam	ERV1
MLT1H2	ERVL
MER4D1	ERV1
MER4CL34	ERV1
MLT1H	ERVL
MLT1I	ERVL
LTR33	ERVL
MSTB1	ERVL
MLT1C	ERVL
MLT1F2	ERVL
LTR33B	ERVL
MER65D	ERV1
MLT1D	ERVL
THE1C	ERVL
MER21C	ERVL
LTR41	ERVL
LTR37A	ERV1
MER11C	ERVK
MSTD	ERVL
MLT1J	ERVL
MLT2B3	ERVL
MER31-int	ERV1
MER92-int	ERV1
MER34A	ERV1
MSTA1	ERVL
MER4A1	ERV1
MER4A	ERV1
MER31B	ERV1
MER39B	ERV1
LTR9B	ERV1
MER4E1	ERV1
MLT1E3	ERVL
LTR37B	ERV1
MLT1O	ERVL
MSTA	ERVL
LTR39	ERV1
LTR22C2	ERVK
ERVL-int	ERVL
MLT1H1	ERVL
THE1B	ERVL
THE1B-int	ERVL
MLT1H1-int	ERVL
LTR64	ERV1
THE1D	ERVL
MLT1F1	ERVL
LTR7	ERV1
MER67C	ERV1
LTR67B	ERVL
LTR79	ERVL
MER41D	ERV1
MLT1A1	ERVL
LTR78	ERV1
MLT1B	ERVL
LTR2C	ERV1
LOR1-int	ERV1
LTR57-int	ERVL
LTR49-int	ERV1
HERVK9-int	ERVK
MER9a2	ERVK
MER67A	ERV1
HERV16-int	ERVL
MER4A1_	ERV1
MLT1G1	ERVL
LTR12C	ERV1
LTR13A	ERVK
MER49	ERV1
MER50	ERV1
MER41B	ERV1
LTR46	ERV1
MER9a1	ERVK
LTR13	ERVK
LTR13_	ERVK
MER54A	ERVL
MER68	ERVL
MER4B	ERV1
MER4B-int	ERV1
MER66C	ERV1
MER66-int	ERV1
MER74B	ERVL
LTR5_Hs	ERVK
LTR2B	ERV1
Harlequin-int	ERV1
LTR75	ERVL
LTR10A	ERV1
HERV9N-int	ERV1
HERVIP10F-int	ERV1
MLT1A0	ERVL
LTR7B	ERV1
MER65A	ERV1
MER65-int	ERV1
MER52A	ERV1
MER52C	ERV1
MER83	ERV1
LTR26B	ERV1
LTR42	ERVL
MER4D	ERV1
MER65B	ERV1
LTR16E1	ERVL
ERV3-16A3_LTR	ERVL
MLT2D	ERVL
MER31A	ERV1
MSTB	ERVL
ERVL-E-int	ERVL
LTR18B	ERVL
LTR40a	ERVL
MER74A	ERVL
LTR52	ERVL
MLT-int	ERVL
MLT2C1	ERVL
MLT2B1	ERVL
THE1A	ERVL
MER66B	ERV1
LTR41C	ERVL
MER34C_	ERV1
LTR26	ERV1
LTR40c	ERVL
MER34	ERV1
LTR19A	ERV1
MER89	ERV1
MSTA-int	ERVL
HERVL-int	ERVL
LTR27B	ERV1
LTR27C	ERV1
MLT1H-int	ERVL
MLT2B4	ERVL
MER51A	ERV1
LTR40b	ERVL
MLT1E2	ERVL
ERVL-B4-int	ERVL
THE1C-int	ERVL
LTR16A1	ERVL
MSTB-int	ERVL
LTR10B2	ERV1
LTR21C	ERVL
LTR62	ERVL
THE1D-int	ERVL
MER34C2	ERV1
MER39	ERV1
LTR5B	ERVK
LTR45C	ERV1
LTR8A	ERV1
LTR38	ERV1
LTR38-int	ERV1
HERVK13-int	ERVK
LTR3B_	ERVK
MLT1E1	ERVL
LTR78B	ERV1
MER77	ERVL
LTR3A	ERVK
MER77B	ERVL
LTR33C	ERVL
LTR105_Mam	ERVL
MLT2B2	ERVL
LTR40A1	ERVL
HERVL40-int	ERVL
MER92B	ERV1
LTR10E	ERV1
LTR16E2	ERVL
MER21B	ERVL
LTR24C	ERV1
MSTC	ERVL
MLT1J1	ERVL
MER21A	ERVL
MSTB2	ERVL
MLT2A2	ERVL
MER48	ERV1
HERVH-int	ERV1
LTR7A	ERV1
LTR53B	ERVL
MER61B	ERV1
MLT1A0-int	ERVL
LOR1a	ERV1
LTR33A_	ERVL
MER57B1	ERV1
LTR16A2	ERVL
LTR53	ERVL
MER90a	ERV1
LTR50	ERVL
LTR1A2	ERV1
MER11A	ERVK
LTR1B1	ERV1
MER61D	ERV1
MER61A	ERV1
LTR8	ERV1
LTR101_Mam	ERVL
MLT1G	ERVL
MER110	ERV1
MLT1N2	ERVL
LTR66	ERVL
HERVL66-int	ERVL
MER54B	ERVL
MER70A	ERVL
MLT1E	ERVL
LTR16D	ERVL
MLT1F	ERVL
LTR24	ERV1
LTR24B	ERV1
MER57A1	ERV1
LTR10C	ERV1
MLT1J-int	ERVL
MLT2A1	ERVL
LTR48B	ERV1
MER34-int	ERV1
MER70B	ERVL
LTR23	ERV1
ERV24_Prim-int	ERV1
LTR23-int	ERV1
MER34B	ERV1
LTR54	ERV1
MER34C	ERV1
LTR16A	ERVL
MER34A1	ERV1
MLT1L	ERVL
LTR16B2	ERVL
LTR33A	ERVL
MER41A	ERV1
LTR8B	ERV1
MER4E	ERV1
MLT1C-int	ERVL
LTR16D2	ERVL
LTR16B1	ERVL
MLT1G1-int	ERVL
LTR1C	ERV1
THE1A-int	ERVL
LTR41B	ERVL
MLT1B-int	ERVL
LTR19B	ERV1
LTR71B	ERV1
LTR16D1	ERVL
MER51E	ERV1
LTR86A1	ERVL
LTR75_1	ERV1
MER72	ERV1
MLT1D-int	ERVL
MER52D	ERV1
LTR12E	ERV1
LTR21B	ERV1
HERVFH21-int	ERV1
LTR14B	ERVK
LTR12	ERV1
MER101	ERV1
LTR36	ERV1
MLT1M	ERVL
LTR71A	ERV1
LTR86A2	ERVL
MLT2C2	ERVL
MLT1G3	ERVL
LTR1F	ERV1
MER84	ERV1
MER84-int	ERV1
LTR9D	ERV1
LTR29	ERV1
LTR86C	ERVL
MER51B	ERV1
HERV9-int	ERV1
LTR47A	ERVL
MER9a3	ERVK
