repName	n_agg	aggregate
LTR10A	3	HERVI
LTR10A	3	HERVIP10F
LTR10A	3	HERVIP10FH
LTR10B	3	HERVI
LTR10B	3	HERVIP10F
LTR10B	3	HERVIP10FH
LTR10B1	3	HERVI
LTR10B1	3	HERVIP10F
LTR10B1	3	HERVIP10FH
LTR10B2	3	HERVI
LTR10B2	3	HERVIP10F
LTR10B2	3	HERVIP10FH
LTR10C	3	HERVI
LTR10C	3	HERVIP10F
LTR10C	3	HERVIP10FH
LTR10D	3	HERVI
LTR10D	3	HERVIP10F
LTR10D	3	HERVIP10FH
LTR10E	3	HERVI
LTR10E	3	HERVIP10F
LTR10E	3	HERVIP10FH
LTR10F	3	HERVI
LTR10F	3	HERVIP10F
LTR10F	3	HERVIP10FH
LTR10G	3	HERVI
LTR10G	3	HERVIP10F
LTR10G	3	HERVIP10FH
LTR19A	2	HERVFH19
LTR19A	2	LTR19
LTR19B	2	HERVFH19
LTR19B	2	LTR19
LTR2	3	HARLEQUIN
LTR2	3	HERVE
LTR2	3	HERVEA
LTR24	2	LTR23
LTR24	2	PRIMAX
LTR2B	3	HARLEQUIN
LTR2B	3	HERVE
LTR2B	3	HERVEA
LTR2C	2	HERVE
LTR2C	2	HERVEA
LTR9	2	HUERSP3
LTR9	2	HUERSP3B
LTR9A1	2	HUERSP3
LTR9A1	2	HUERSP3B
LTR9B	2	HUERSP3
LTR9B	2	HUERSP3B
LTR9C	2	HUERSP3
LTR9C	2	HUERSP3B
LTR9D	2	HUERSP3
LTR9D	2	HUERSP3B
MER41C	2	MER41
MER41C	2	PRIMA41
MER4A	2	MER4
MER4A	2	PRIMA4
MER4B	2	MER4
MER4B	2	MER4B
MLT2B1	3	ERVL
MLT2B1	3	ERVLB4
MLT2B1	3	HERVL
MLT2B2	3	ERVL
MLT2B2	3	ERVLB4
MLT2B2	3	HERVL
MLT2B3	3	ERVL
MLT2B3	3	ERVLB4
MLT2B3	3	HERVL
MLT2B4	3	ERVL
MLT2B4	3	ERVLB4
MLT2B4	3	HERVL
MLT2B5	3	ERVL
MLT2B5	3	ERVLB4
MLT2B5	3	HERVL
MLT2D	3	ERVL
MLT2D	3	ERVLB4
MLT2D	3	ERVLE
MLT2F	2	ERVLB4
MLT2F	2	ERVLE
