"","doublet","singlet","doublet_freq"
"GSM4775561",472,5581,0.0779778622170824
"GSM4775562",1986,13495,0.128286286415606
"GSM4775563",526,5250,0.0910664819944598
"GSM4775564",1651,10944,0.131083763398174
"GSM4775565",18,402,0.0428571428571429
"GSM4775566",128,2288,0.0529801324503311
"GSM4775567",1185,8621,0.12084438099123
"GSM4775568",2085,14207,0.127976921188313
"GSM4775569",76,1538,0.047087980173482
"GSM4775570",257,3442,0.069478237361449
"GSM4775571",1079,8303,0.115007461095715
"GSM4775572",912,7266,0.111518708730741
"GSM4775573",569,5759,0.0899178255372946
"GSM4775574",504,5765,0.0803955973839528
"GSM4775575",82,1622,0.0481220657276995
"GSM4775576",2105,13441,0.13540460568635
"GSM4775577",1401,9482,0.128732886152715
"GSM4775578",903,7545,0.106889204545455
"GSM4775579",337,4164,0.0748722506109753
"GSM4775580",1744,12576,0.121787709497207
"GSM4775581",1671,9995,0.143236756386079
"GSM5292838",244,4127,0.0558224662548616
"GSM5292840",230,3382,0.0636766334440753
"GSM5292841",144,2833,0.0483708431306685
"GSM5292842",138,2469,0.0529344073647871
"GSM5292843",204,3436,0.056043956043956
"GSM5292844",121,2468,0.0467361915797605
"GSM5292845",146,3571,0.0392789884315308
"GSM5292846",253,4317,0.0553610503282276
"GSM5292847",329,4199,0.0726590106007067
"GSM5292848",174,3055,0.0538866522143078
"GSM5292849",117,2700,0.0415335463258786
"GSM5292850",129,2470,0.0496344747979992
"GSM5292851",157,2587,0.0572157434402332
"GSM5292852",140,2493,0.0531712875047474
"GSM5292853",128,2617,0.0466302367941712
"GSM5292854",107,2237,0.0456484641638225
"GSM5292855",108,2332,0.0442622950819672
"GSM5292856",244,4030,0.0570893776321947
