"gene","avg_log2FC","p_val_adj"
"ENSG00000302567",5.7105728669141,3.02462391584623e-114
"LINC02307",5.26310969623633,3.49265139427728e-151
"LINC02315",5.11590258022675,2.30153486345568e-129
"LINC02277",4.89433774532331,2.0771300684987e-130
"RRAGAP1-AS1",2.75590011304335,1.156650710752e-11
"LINC02899",1.79942686889956,4.36664212608257e-07
"ENSG00000286797",1.22718531186701,0.00139373640306844
"MYRFL",1.20833339699328,0.000531573483610363
"LINC00862",1.01548870660593,0.00040994019097076
"CXXC4",0.757209877336151,0.000384847762501221
"PAPOLA",0.50122216433647,0.00709128391405132
"MIR3681HG",0.382710223795213,0.00108086452377148
"LINC01322",0.35016444204396,0.00548072066506559
"DMD",0.254770264260531,0.0408507925375955
"VCAN",0.251188912334626,0.000391258426204643
"MIR99AHG",0.230161357194199,0.00711086862910978
"SOX5",0.225010220725123,0.00608386211988715
"PCDH15",0.215656926994749,0.000190848044290383
"ERBB4",0.19979424726773,0.00470329987702662
"PCDH9",0.186139276844896,0.000656699092265817
"CADM2",0.161716851975942,0.0128601701043321
"NRXN1",0.150396369314795,0.00566670029432064
