"gene","avg_log2FC","p_val_adj"
"FSTL4",3.90546944837889,1.98657629723166e-36
"SYT16",3.86235474077967,1.50014417451878e-26
"SYN3",3.80601803203285,1.73925824284855e-68
"KCNB2",3.80107634133256,2.33777926318534e-38
"ENSG00000296396",3.7992483133625,2.79412368889081e-29
"SLIT3",3.7457683450678,3.4069957946589e-27
"PTPRR",3.71717482995261,7.69107810852855e-25
"CBLN2",3.71596604097867,3.3881258388352e-38
"ANKRD30BL",3.66397735448947,1.37316830744095e-59
"CNTNAP5",3.64356867879077,4.50992969173247e-76
"KCTD16",3.63527125368466,3.001513847048e-75
"ROBO2",3.63512765043476,1.80843339770977e-154
"NXPH1",3.62369597358646,1.4908697619082e-24
"KCNIP4",3.5901474033879,2.38236080428059e-242
"ENSG00000253553",3.58853324018791,5.14643356335309e-26
"NRG3",3.54255480248167,1.09429459011615e-203
"HS6ST3",3.53452491516517,1.44998230856059e-70
"CSMD1",3.53376926302242,2.12080868454666e-225
"ATP8A2",3.52712630731578,3.93675851806246e-62
"RBFOX1",3.52391679755264,1.92637635905721e-238
"PDZRN4",3.51899568051752,3.13267254574952e-31
"NALF1",3.51380448388231,4.68042713074228e-151
"SNTG1",3.4879787750036,4.30701640600139e-102
"MIR137HG",3.47898180142367,2.18071553966317e-25
"FGF14",3.45538635557434,7.73392944052873e-126
"KCND2",3.447748364702,2.34941511519281e-78
"LINGO2",3.44736669623578,9.85232539137306e-104
"GPC6",3.42273086030802,1.31254720087792e-28
"LRRTM4",3.42120380129916,1.80136821633936e-124
"CHRM3",3.41671766092366,1.32805375385115e-65
"THSD7A",3.41408131255396,6.98509260789354e-23
"CA10",3.39397551636403,4.22128306001781e-26
"CACNA1C",3.39364052336974,1.76136002461151e-63
"GRM7",3.39089803740103,2.06358362442568e-59
"CCDC3",3.38684235065662,1.30776745710326e-29
"OPCML",3.38620676038198,2.36245940731674e-141
"GRIA1",3.38562635442867,7.75945551607177e-46
"GALNT18",3.37432710719098,3.12013394987287e-23
"EPIC1",3.37195108745744,9.84134685999757e-29
"SORBS2",3.37153541429713,1.03467665061322e-43
"KIAA1217",3.3700543976136,5.10699590889857e-45
"POU6F2",3.3631246341712,3.70366981201084e-20
"NRG1",3.36143695613177,7.31610337633857e-45
"ST6GALNAC5",3.36091505808328,3.29445319023143e-41
"CNTN4",3.3575421345092,1.69476716915906e-55
"SHISA9",3.34380741376078,2.40148921534914e-41
