"gene","avg_log2FC","p_val_adj"
"ENSG00000289485",13.768161457817,6.030193529923e-46
"PRF1",12.7374834609203,9.43856881831281e-121
"PTGDR",11.8581229368052,2.78680230007861e-88
"IL7R",11.5871631483193,5.34497020371166e-96
"CD3G",11.5341288359668,8.79822546143955e-34
"LINC01871",11.3135649882103,2.76993344708775e-63
"TRAC",10.5170718158833,1.42009572248278e-51
"SLFN12L",10.4713919574696,2.18248511789438e-182
"SH2D2A",10.2978197784777,1.42529219331391e-53
"NKG7",10.2844504953164,1.47201978419568e-97
"TC2N",9.94144518324149,6.27805792121424e-118
"PYHIN1",9.82351637778139,2.41461995890047e-135
"GRAP2",9.7073876908564,4.69916889592714e-117
"GZMA",9.68227555464093,2.9606129184189e-43
"TRGC2",9.66407376274597,2.40921310048417e-36
"IL18RAP",9.38037334497264,4.76218285362575e-41
"DTHD1",9.25694693409239,5.22370098710928e-59
"SKAP1",9.19313232086515,1.31991858425222e-208
"KLRC4-KLRK1",9.13936077244546,1.09219496727342e-26
"TBX21",9.09556884791685,5.30482063895027e-44
"ITK",9.09251291825381,1.07550973045015e-152
"ZAP70",9.02863017292636,2.69475267662623e-87
"THEMIS",9.00919456308196,2.90147649876009e-129
"KLRB1",8.91825296014255,1.28249013192115e-19
"GPR171",8.88571721234496,1.14187893455562e-20
"CCL5",8.80870830519544,1.53027830086896e-89
"PTGER2",8.76065257197338,2.25943913401948e-31
"TARP",8.69615052027425,2.27499199620806e-35
"SAMD3",8.49769035795318,1.3967584860687e-157
"TRBC2",8.40924138549972,2.98264603155363e-30
"ENSG00000294454",8.26718887315309,6.08983445735964e-23
"LINC01934",8.15837212939924,4.54937207735842e-88
"IL2RB",8.14063900207237,3.82674056397358e-35
"ENSG00000289424",8.12077768230667,1.12829610334219e-23
"CD8A",8.02904976779614,2.00272794313136e-47
"LY9",7.96862297142502,8.62129505995732e-34
"LCK",7.91631486162701,5.53019237618829e-78
"STAT4",7.88522387375183,1.675257575629e-181
"SLAMF6",7.81621386039856,2.6660984387168e-82
"NLRC3",7.75576603298676,7.37941783246263e-44
"CCDC88C",7.6875443668672,3.90400655122819e-121
"ENSG00000276241",7.62391634926296,1.73398786120743e-26
"IKZF3",7.61038130290648,4.92805086336231e-119
"LINC00944",7.59007214354613,3.00404346652379e-38
"LINC02384",7.58233810132244,1.32225319766805e-27
"LINC00426",7.57497541348857,4.22250357150695e-18
