"gene","avg_log2FC","p_val_adj"
"KANK4",5.8409337750948,0
"LINC02343",5.08648509361722,0
"MBOAT1",4.87740138899482,0
"CPXM2",4.87669693366271,0
"ENSG00000286438",4.55347130645531,0
"USH1C",4.16260610764668,0
"ENSG00000233359",4.1253676573555,3.23749536022998e-282
"COL18A1",3.9775012916064,0
"PLEKHG1",3.66414545236492,0
"ENSG00000289605",3.66102295487993,0
"ENSG00000288088",3.64959096003469,2.74047801088571e-207
"LMLN-AS1",3.60750174899805,2.76018903026275e-291
"ACSBG1",3.59188149916638,0
"TNFRSF21",3.58797907157631,0
"ELOVL2",3.57767175870199,0
"ENSG00000234026",3.44949259803705,0
"RASGRF1",3.33472207154724,0
"ENSG00000223944",3.32796104222919,0
"C3orf70",3.30919021930685,0
"MMD2",3.29770315461196,7.9359209562534e-235
"MTHFD1L",3.25074026890655,0
"AFF3",3.23675459766967,0
"LUCAT1",3.19002376331058,0
"RANBP17",3.18661189469498,0
"C2CD2",3.18015548857824,0
"TRIM36",3.15280138087269,0
"BACE2",3.14482464263891,0
"FSTL5",3.10698275146239,0
"STK33",3.07673202669285,2.87302464613312e-228
"RBFOX1",2.97772860799434,0
"ABCC1",2.97296448999428,0
"ABLIM3",2.94961942215704,0
"ZSCAN31",2.89497172648254,7.65792433371879e-169
"RNF180",2.89106273868832,0
"ACTN2",2.8756833881006,0
"TMEM178A",2.70659776359235,0
"LINC02511",2.68317376953208,2.43086066990672e-304
"HMGCLL1",2.65408579816703,1.52676777324007e-229
"STON2",2.62917299313395,1.75988857227373e-232
"LIMK2",2.59698447578253,0
"SETBP1",2.58653778222132,0
"ENPP6",2.50980743110661,0
"LINC01080",2.45870394986086,0
"TOX3",2.43045060526261,0
"BMP8A",2.41358617583015,3.46376647553018e-284
"C2CD6",2.40626391278414,0
"PLEKHA6",2.4010611208829,0
"RBM11",2.39612393049943,3.80788816350114e-224
"SAMD4A",2.36732343010918,0
"TLE2",2.33456990544477,0
"TSPAN8",2.25745782922478,1.55203103492573e-195
"DEPDC1B",2.22261056900037,3.00465573454092e-184
"TUBB2B",2.21659777098961,9.13200820376407e-297
"TENM4",2.21221734452099,0
"SLFN5",2.20797711052595,3.3414395859256e-242
"FBXL2",2.16840253480642,0
"SLC27A6",2.15842091820803,1.23068609871907e-174
"RASGEF1C",2.14851434204325,0
"PIEZO1",2.14598219646208,7.99452941495376e-258
"RNF152",2.14146580195263,0
"ABCA9",2.13320458224662,2.08968305511956e-212
"GNA14",2.11343386150618,1.39461386498608e-186
"SGSM1",2.10799222113027,0
"LINC01445",2.06377329692951,0
"ENSG00000294893",2.05515263192265,0
"LINC02609",2.05461529810918,3.98737631980163e-283
"ARHGAP39",2.03192199638602,0
"LINC01695",2.02960995300862,1.49563406583116e-197
"ANKRD18A",2.02728850362635,0
"SLC7A11",2.01689723051444,5.58194479066654e-159
"BMP7",2.01637854819639,3.49174066600255e-215
"ENSG00000271192",2.00479969841471,2.81057503414392e-316
"EPHB2",2.00442156800343,0
"MSRA",1.99553281026501,0
"MACROD2",1.99025869308955,0
"ENSG00000286896",1.97764347226778,2.95923981139956e-270
"DTNA",1.9754710632912,0
"PCLO",1.93901150802951,0
"ABCA6",1.93335121417879,0
"PDE11A",1.92994179249573,9.19218016253771e-183
"SNX24",1.92832011740423,0
"PALM",1.9200930782354,0
"JPT2",1.89690215133624,2.66806180369218e-277
"MTUS1-DT",1.89388718614104,0
"MPPED1",1.87773250320151,1.01518310017084e-263
"ENSG00000259124",1.86929432035212,1.19071175454269e-139
"PLCH2",1.86620652581037,0
"ITGA2-AS1",1.84505098127421,7.91608115777785e-176
"SCCPDH",1.83997727848432,0
"GSE1",1.8168861719831,4.48424200278589e-162
"FMO5",1.80458066202393,9.814001227053e-252
"PTPRU",1.79525155972207,1.43772972931025e-236
"MIR4280HG",1.79080446500337,1.36853802898006e-237
"SMAD9",1.78387754577911,0
"RELL1",1.78058331213956,2.5860581824945e-179
"KCNS3",1.76247421729369,1.29136948804347e-167
"SORL1",1.74543199283129,0
"STK10",1.74207649871166,8.24296242944138e-278
"MTCL1",1.73632904019397,8.04611833897512e-310
"HAGLR",1.71816530028974,2.31418224413536e-186
"ENSG00000287277",1.71612097417687,0
"FIRRE",1.71252389810593,2.49816229063743e-240
"INTU",1.71077591552443,0
"ENSG00000301764",1.69818870065669,2.90038824258517e-132
"ENSG00000227733",1.69700549925771,5.4624614812e-142
"MARCHF10-AS1",1.68823657971532,1.09334420270068e-212
"RASGRF2",1.68505131384333,0
"PRELID2",1.67893775989027,1.75975720019469e-279
"KCTD8",1.67628236226759,0
"CTDSPL",1.67416346411722,0
"KCNK12",1.65691888414074,2.37794706369769e-189
"MCUB",1.65279845511961,2.22276301722953e-115
"FAT1",1.65045392794257,4.16341750534159e-165
"USP6NL",1.62185057827957,7.03440275956442e-212
"GTF2IRD1",1.61997588755488,0
"HIVEP3",1.61766825106972,0
"FGD4",1.61638611443945,0
"ENSG00000241345",1.60208078416499,0
"HEG1",1.59898163438383,0
"ARSI",1.59541940377872,9.5874865429145e-250
"LINC01877",1.59337372497666,0
"SLC5A11",1.58454927756307,0
"LINC00609",1.58167769367988,0
"ARHGAP26",1.57426463789421,0
"TRIM16L",1.56357922977934,4.06690825876552e-165
"ENSG00000231533",1.56277920868065,8.26429062233381e-298
"LITATS1",1.56179635893876,6.92767088141345e-209
"DPYSL5",1.54846970700599,0
"LINC01505",1.5471296067646,0
"STAT2",1.54517331847789,0
"EFR3B",1.53531374373929,0
"NEDD4",1.52986260872732,1.42495327078669e-176
"ENSG00000283098",1.52191307027443,8.11895380536934e-131
"LRRC63",1.5211602115196,0
"R3HCC1",1.51318616710351,1.27116362607035e-234
"CFAP54",1.5116859958534,6.60195227579119e-90
"GAS2",1.50817809321435,0
"FBXO32",1.49972481548592,0
"SLC25A29",1.49491178612362,1.32261256655941e-301
"VOPP1",1.49034528514232,2.61873493873578e-288
"SEMA5A",1.48130434982911,0
"KLF12",1.47990628027302,1.80908909348992e-142
"TRAK1",1.47131344143169,0
"ZDHHC14",1.46390792205579,0
"CDKL2",1.46318532769266,7.52683617661334e-269
"ENSG00000270207",1.45914991276774,0
"INPP5F",1.45742608648926,0
"PTCSC3",1.45380595538891,2.03607093508982e-173
"FLNB",1.44652972568995,0
"DCLK2",1.4333221846689,1.54504381045944e-271
"FMN1",1.42531126116603,2.00525265004127e-169
"RBMS1",1.42131633995846,3.41253630259237e-142
"LINC00511",1.4187597161189,1.09767952477833e-144
"SLC35F3",1.41598105886165,4.93702013525907e-318
