celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Excit,25686,27949,ERV1,2.37E-127,0.438251317,0.353,0.335,4.26E-126
Excit,25686,27949,HUERS,4.43E-86,-0.092089167,0.347,0.415,7.97E-85
Excit,25686,27949,HARLEQUIN,7.74E-69,0.115879077,0.535,0.562,1.39E-67
Excit,25686,27949,HERVH,1.28E-68,-0.054920854,0.495,0.559,2.30E-67
Excit,25686,27949,LTR,2.77E-68,-0.083225808,0.356,0.414,4.98E-67
Excit,25686,27949,HERVL,2.83E-68,-0.136296605,0.502,0.574,5.09E-67
Excit,25686,27949,ERV3,3.94E-61,-0.062617485,0.413,0.469,7.09E-60
Excit,25686,27949,PRIMA,3.11E-58,0.017106413,0.286,0.328,5.60E-57
Excit,25686,27949,HERVI,5.11E-52,-0.059529385,0.375,0.424,9.20E-51
Excit,25686,27949,HERVP,9.27E-50,-0.315922362,0.084,0.119,1.67E-48
Excit,25686,27949,PAB,8.46E-44,-0.13254345,0.092,0.123,1.52E-42
Excit,25686,27949,HERVK,1.61E-41,-0.09956668,0.674,0.728,2.89E-40
Excit,25686,27949,HERVW,9.85E-40,-0.141678058,0.199,0.238,1.77E-38
Excit,25686,27949,HERVE,3.45E-39,0.062782158,0.173,0.198,6.22E-38
Excit,25686,27949,ERVL,3.72E-39,-0.052890085,0.692,0.739,6.69E-38
Excit,25686,27949,HERVF,1.53E-31,0.089591758,0.157,0.176,2.75E-30
Excit,25686,27949,HERVS,1.56E-28,-0.044792723,0.189,0.216,2.81E-27
Excit,25686,27949,MER4,5.93E-13,-0.020373187,0.786,0.811,1.07E-11
Oligo,17598,22409,MER4,1.32E-109,-0.091684323,0.55,0.642,2.38E-108
Oligo,17598,22409,HERVK,1.30E-81,0.026403016,0.382,0.434,2.34E-80
Oligo,17598,22409,ERVL,6.64E-78,-0.044660461,0.309,0.366,1.20E-76
Oligo,17598,22409,HERVH,5.45E-77,0.119480825,0.242,0.273,9.80E-76
Oligo,17598,22409,HARLEQUIN,1.22E-71,0.268416387,0.253,0.26,2.20E-70
Oligo,17598,22409,HERVL,5.39E-69,0.07213313,0.208,0.24,9.70E-68
Oligo,17598,22409,HERVI,2.75E-51,0.028535453,0.186,0.217,4.94E-50
Oligo,17598,22409,ERV3,1.73E-50,-0.03727556,0.146,0.177,3.12E-49
Oligo,17598,22409,HERVW,8.05E-42,-0.145729902,0.105,0.137,1.45E-40
Oligo,17598,22409,ERV1,2.01E-41,0.44457184,0.113,0.106,3.62E-40
Oligo,17598,22409,HUERS,2.14E-35,0.103628907,0.118,0.133,3.84E-34
Oligo,17598,22409,LTR,2.31E-30,0.181810667,0.099,0.107,4.17E-29
