"","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","celltype","n_NC","n_AD"
"1","HERV-total",1.46566042691149e-20,-0.152736023513071,0.996,0.997,5.86264170764595e-20,"Astro",1613,2752
"2","ERV1",7.94641674822198e-15,-0.140601167432553,0.987,0.983,3.17856669928879e-14,"Astro",1613,2752
"3","ERVK",3.76290273216124e-11,-0.222601659648307,0.913,0.927,1.5051610928645e-10,"Astro",1613,2752
"4","ERVL",0.000476396482747126,-0.113071596782533,0.911,0.918,0.0019055859309885,"Astro",1613,2752
"5","ERVK",0.0150965554082311,0.335934960429916,0.686,0.548,0.0603862216329243,"Endo",155,303
"6","HERV-total",0.145148672233273,0.206503229141575,0.993,0.987,0.580594688933093,"Endo",155,303
"7","ERV1",0.224431101210576,0.181415361125315,0.967,0.948,0.897724404842302,"Endo",155,303
"8","ERVL",0.828197526496168,0.182646406225353,0.776,0.755,1,"Endo",155,303
"9","ERVK",1.92938372348445e-06,0.134435071748468,0.95,0.936,7.71753489393782e-06,"Excit",1210,3545
"10","ERVL",0.0138244391887099,0.0549788689409416,0.971,0.958,0.0552977567548396,"Excit",1210,3545
"11","ERV1",0.0269142893776692,-0.0192771810384782,0.992,0.987,0.107657157510677,"Excit",1210,3545
"12","HERV-total",0.131747571323401,0.0228810135724249,0.996,0.996,0.526990285293604,"Excit",1210,3545
"13","ERVL",4.27000394472293e-09,-0.0513345868274855,0.96,0.933,1.70800157788917e-08,"Inhib",1560,3845
"14","ERV1",6.37908014283908e-06,-0.0424947133631859,0.992,0.981,2.55163205713563e-05,"Inhib",1560,3845
"15","HERV-total",0.000181973565925945,-0.0359824413197423,0.999,0.994,0.000727894263703779,"Inhib",1560,3845
"16","ERVK",0.000287571793248939,0.015225648114465,0.92,0.885,0.00115028717299576,"Inhib",1560,3845
"17","ERVK",0.00180174141232792,-0.147711764863469,0.629,0.618,0.00720696564931168,"Mic",1274,2512
"18","ERV1",0.14321486087427,-0.0536482360691055,0.973,0.98,0.572859443497079,"Mic",1274,2512
"19","HERV-total",0.182662541369782,-0.0404597504120776,0.994,0.994,0.730650165479129,"Mic",1274,2512
"20","ERVL",0.261223598761575,0.059893916239413,0.816,0.8,1,"Mic",1274,2512
"21","ERV1",1.13233257150564e-21,-0.0729923115447533,0.992,0.991,4.52933028602256e-21,"Oligo",13647,20344
"22","HERV-total",1.19012021114809e-21,-0.0528670660592603,0.999,0.998,4.76048084459235e-21,"Oligo",13647,20344
"23","ERVK",0.00014329903809669,-0.0481586945251509,0.78,0.775,0.000573196152386762,"Oligo",13647,20344
"24","ERVL",0.00250707376281198,-0.00779322722256426,0.932,0.923,0.0100282950512479,"Oligo",13647,20344
"25","ERV1",4.87003151199403e-05,-0.0994121628302382,0.996,0.997,0.000194801260479761,"OPC",964,1599
"26","ERVL",0.122954082087343,0.0575466147016108,0.979,0.969,0.49181632834937,"OPC",964,1599
"27","ERVK",0.196624630375808,0.066412586304023,0.934,0.922,0.786498521503233,"OPC",964,1599
"28","HERV-total",0.196989156837145,-0.0323853998579899,0.997,0.999,0.787956627348578,"OPC",964,1599
