celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Excit,1210,3545,HUERS-P3-int,3.77E-07,-0.352750619,0.544,0.602,2.26E-05
Excit,1210,3545,HERV9-int,1.05E-06,-0.517177181,0.164,0.233,6.29E-05
Excit,1210,3545,HERVK22-int,4.13E-06,0.379231312,0.537,0.479,0.000247729
Excit,1210,3545,HERVFH21-int,4.97E-06,-0.320992578,0.163,0.226,0.000298409
Excit,1210,3545,PRIMA4-int,6.16E-06,0.373397144,0.513,0.453,0.000369662
Excit,1210,3545,HERVIP10FH-int,8.20E-06,-0.29000854,0.595,0.652,0.000492123
Excit,1210,3545,HERVK11-int,0.000154258,0.228348777,0.54,0.474,0.009255459
Excit,1210,3545,ERVL-E-int,0.001080151,0.126192836,0.912,0.89,0.064809032
Excit,1210,3545,HERVK14-int,0.002666822,0.325370259,0.355,0.312,0.160009314
Excit,1210,3545,MER101-int,0.003637893,0.198194945,0.526,0.489,0.218273597
Excit,1210,3545,HERVE-a-int,0.0039196,0.326286268,0.205,0.163,0.235176009
Excit,1210,3545,HERVK14C-int,0.004564833,0.697943881,0.131,0.101,0.273889999
Excit,1210,3545,HERVK9-int,0.017828741,0.118192232,0.793,0.764,1
Excit,1210,3545,PRIMAX-int,0.027984646,0.228592895,0.079,0.057,1
Excit,1210,3545,PABL-B-int,0.039205058,0.335752605,0.131,0.104,1
Excit,1210,3545,HERV4-I-int,0.047669752,0.206204942,0.399,0.365,1
Excit,1210,3545,ERVL-int,0.060859503,0.039859861,0.245,0.261,1
Excit,1210,3545,HERVS71-int,0.088721092,-0.002450966,0.527,0.562,1
Excit,1210,3545,HERVL18-int,0.097747357,0.107240838,0.098,0.113,1
Excit,1210,3545,MER50-int,0.106500301,0.279554658,0.177,0.164,1
Excit,1210,3545,HERVK-int,0.107443024,0.089616693,0.652,0.648,1
Excit,1210,3545,HERV17-int,0.14670563,-0.101536112,0.542,0.569,1
Excit,1210,3545,HERVK13-int,0.157336459,-0.194243426,0.45,0.476,1
Excit,1210,3545,ERVL-B4-int,0.157797557,0.080319624,0.805,0.79,1
Excit,1210,3545,HERVL74-int,0.158735418,0.088853463,0.337,0.336,1
Excit,1210,3545,LTR46-int,0.165809352,-0.367333857,0.126,0.14,1
Excit,1210,3545,HERV3-int,0.172794181,0.141211651,0.321,0.293,1
Excit,1210,3545,HUERS-P2-int,0.207244043,-0.104154366,0.091,0.107,1
Excit,1210,3545,HERVE-int,0.234358563,0.008866323,0.342,0.364,1
Excit,1210,3545,Harlequin-int,0.259037961,-4.04E-05,0.92,0.905,1
Excit,1210,3545,HERVP71A-int,0.348185102,-0.08741136,0.452,0.472,1
Excit,1210,3545,LTR57-int,0.366696259,0.267462835,0.114,0.099,1
Excit,1210,3545,HUERS-P3b-int,0.422297459,0.027377217,0.381,0.366,1
Excit,1210,3545,PABL-A-int,0.448642468,0.114856739,0.18,0.164,1
