"","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","celltype","n_NC","n_AD"
"1","HERV-total",5.48346603750319e-15,-0.0805322094919925,0.953,0.961,2.19338641500128e-14,"Astro",9388,12032
"2","ERVK",7.20095386715021e-13,-0.141530046484816,0.638,0.685,2.88038154686008e-12,"Astro",9388,12032
"3","ERVL",6.67422926363308e-10,-0.0944881809994818,0.641,0.683,2.66969170545323e-09,"Astro",9388,12032
"4","ERV1",4.83374036029183e-06,-0.0566051245023136,0.895,0.91,1.93349614411673e-05,"Astro",9388,12032
"5","ERVK",0.103500457196726,0.0134518926240845,0.419,0.385,0.414001828786904,"Endo",732,1884
"6","HERV-total",0.48332634364927,-0.0123618699040122,0.883,0.899,1,"Endo",732,1884
"7","ERV1",0.487163997036447,-0.052949909217431,0.785,0.806,1,"Endo",732,1884
"8","ERVL",0.81531109255956,0.0887026453658728,0.506,0.495,1,"Endo",732,1884
"9","HERV-total",1.77888041043331e-17,-0.025548900728241,0.978,0.974,7.11552164173325e-17,"Excit",26896,31494
"10","ERVK",3.38968472831538e-17,-0.0711429238249417,0.705,0.738,1.35587389132615e-16,"Excit",26896,31494
"11","ERVL",6.00760403644149e-09,-0.0589100011570509,0.838,0.852,2.40304161457659e-08,"Excit",26896,31494
"12","ERV1",0.00308079873251193,-0.000960224574790391,0.953,0.95,0.0123231949300477,"Excit",26896,31494
"13","ERV1",2.55748066951973e-07,0.050119118449512,0.921,0.906,1.02299226780789e-06,"Inhib",12254,15060
"14","HERV-total",0.000266946970261497,0.0240220377270699,0.966,0.958,0.00106778788104599,"Inhib",12254,15060
"15","ERVK",0.00522084541521283,-0.0777171383966846,0.638,0.647,0.0208833816608513,"Inhib",12254,15060
"16","ERVL",0.0143508739648313,0.0198862278686827,0.753,0.746,0.0574034958593253,"Inhib",12254,15060
"17","ERVK",2.34132440630924e-08,-0.05503782191453,0.474,0.45,9.36529762523697e-08,"Mic",4346,6060
"18","ERVL",0.00185954104816873,0.0142832900220333,0.652,0.625,0.00743816419267492,"Mic",4346,6060
"19","ERV1",0.281806366315246,-0.0219697841506488,0.916,0.916,1,"Mic",4346,6060
"20","HERV-total",0.497937489616545,-0.0180843124584262,0.96,0.959,1,"Mic",4346,6060
"21","ERV1",1.48720509457714e-06,-0.00982384017130178,0.914,0.925,5.94882037830857e-06,"Oligo",31245,42753
"22","ERVL",2.05016518983268e-05,-0.00372522733485914,0.711,0.723,8.2006607593307e-05,"Oligo",31245,42753
"23","HERV-total",0.00368627244430673,-0.00840814918266908,0.962,0.966,0.0147450897772269,"Oligo",31245,42753
"24","ERVK",0.00595195896107991,-0.0100187373797815,0.571,0.583,0.0238078358443196,"Oligo",31245,42753
"25","ERVL",1.89302735857394e-09,0.00130981362934879,0.757,0.792,7.57210943429576e-09,"OPC",5911,6954
"26","ERV1",2.1340662731694e-06,-0.00727828564876276,0.926,0.947,8.5362650926776e-06,"OPC",5911,6954
"27","ERVK",7.30990684215432e-05,-0.0287141177726433,0.631,0.666,0.000292396273686173,"OPC",5911,6954
"28","HERV-total",0.000257368687263765,-0.00816231253942945,0.968,0.979,0.00102947474905506,"OPC",5911,6954
