"","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","celltype","n_NC","n_AD"
"1","ERVL",7.45979998029479e-09,-0.0398222712351437,0.972,0.977,2.98391999211792e-08,"Astro",9388,12032
"2","ERV1",3.95529777145765e-06,0.0326738798601509,0.972,0.977,1.58211910858306e-05,"Astro",9388,12032
"3","ERVK",4.76071467728444e-05,-0.0487544862708678,0.88,0.898,0.000190428587091378,"Astro",9388,12032
"4","HERV-total",0.0780670956518711,-0.0114490759396197,0.972,0.977,0.312268382607484,"Astro",9388,12032
"5","ERVL",0.0526254931928258,-0.0641119063391971,0.961,0.962,0.210501972771303,"Endo",732,1884
"6","HERV-total",0.0695707844010364,-0.0567898325913436,0.961,0.963,0.278283137604146,"Endo",732,1884
"7","ERV1",0.162523405763712,-0.0513904939216943,0.961,0.963,0.650093623054847,"Endo",732,1884
"8","ERVK",0.465789398491905,0.0137525525925239,0.775,0.753,1,"Endo",732,1884
"9","ERV1",1.31863919134759e-42,0.0489062437137031,0.996,0.997,5.27455676539037e-42,"Excit",26896,31494
"10","ERVK",3.35861118408323e-10,0.021364375582233,0.956,0.944,1.34344447363329e-09,"Excit",26896,31494
"11","HERV-total",1.13154920313602e-06,0.00182122474608093,0.996,0.997,4.5261968125441e-06,"Excit",26896,31494
"12","ERVL",0.011389835536208,-0.0323361580018666,0.995,0.996,0.0455593421448318,"Excit",26896,31494
"13","HERV-total",8.4621438451142e-53,0.0481717667292614,0.993,0.989,3.38485753804568e-52,"Inhib",12254,15060
"14","ERV1",4.00869805887073e-47,0.0630319613267867,0.993,0.989,1.60347922354829e-46,"Inhib",12254,15060
"15","ERVL",2.36194387816609e-22,0.0393104257343833,0.993,0.989,9.44777551266436e-22,"Inhib",12254,15060
"16","ERVK",7.06866441519413e-05,0.0362728481645251,0.921,0.911,0.000282746576607765,"Inhib",12254,15060
"17","ERV1",0.0432434007806257,0.00603297542248526,0.975,0.98,0.172973603122503,"Mic",4346,6060
"18","ERVK",0.044292726374133,-0.0363625573758588,0.868,0.866,0.177170905496532,"Mic",4346,6060
"19","ERVL",0.231443622541877,-0.0197741686847248,0.975,0.98,0.925774490167509,"Mic",4346,6060
"20","HERV-total",0.244153086860741,-0.0106546195689763,0.975,0.98,0.976612347442965,"Mic",4346,6060
"21","ERV1",8.18067626263498e-79,0.0392505324581176,0.984,0.988,3.27227050505399e-78,"Oligo",31245,42753
"22","HERV-total",2.28183059346249e-58,0.0175343452898851,0.984,0.988,9.12732237384997e-58,"Oligo",31245,42753
"23","ERVK",2.09077153038795e-22,0.029702915790573,0.894,0.906,8.3630861215518e-22,"Oligo",31245,42753
"24","ERVL",9.13980057056026e-12,0.00350897026373076,0.984,0.988,3.65592022822410e-11,"Oligo",31245,42753
"25","ERV1",5.44108419515371e-12,0.0384909364343082,0.988,0.987,2.17643367806148e-11,"OPC",5911,6954
"26","ERVK",6.08001524389711e-05,0.00850286887714979,0.919,0.935,0.000243200609755885,"OPC",5911,6954
"27","HERV-total",0.00357837434897845,0.0121039206707465,0.988,0.987,0.0143134973959138,"OPC",5911,6954
"28","ERVL",0.599136237803968,-0.00186228000856659,0.988,0.987,1,"OPC",5911,6954
