"celltype","n_NC","n_AD","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Excit",26896,31494,"Harlequin",3.62769084349696e-48,0.120486708677306,0.559,0.567,2.17661450609818e-46
"Excit",26896,31494,"HERVL74",3.39476498405279e-39,-0.0450956995877004,0.592,0.632,2.03685899043168e-37
"Excit",26896,31494,"MER61",1.08330780996613e-35,0.0650285405762969,0.765,0.775,6.49984685979678e-34
"Excit",26896,31494,"HERVL",2.97329072878583e-34,-0.0659452590399945,0.916,0.916,1.7839744372715e-32
"Excit",26896,31494,"HERV9",7.29465109663375e-34,0.0500677140385244,0.751,0.765,4.37679065798025e-32
"Excit",26896,31494,"HERVI",4.77380140493265e-32,0.0150771356398924,0.625,0.653,2.86428084295959e-30
"Excit",26896,31494,"HERVE",1.10519468052325e-28,0.0742712719427334,0.608,0.618,6.6311680831395e-27
"Excit",26896,31494,"HUERS-P3",3.40538597017578e-26,0.056049281727538,0.77,0.778,2.04323158210547e-24
"Excit",26896,31494,"HUERS-P1",3.91021412243227e-21,-0.1035916923527,0.757,0.79,2.34612847345936e-19
"Excit",26896,31494,"MER50",6.40719591589984e-21,0.0248295835788175,0.684,0.699,3.84431754953991e-19
"Excit",26896,31494,"HERV4-I",1.65793596653412e-19,0.0158056193289728,0.686,0.706,9.94761579920471e-18
"Excit",26896,31494,"HERVS71",1.16763574666647e-17,-0.00257995450353032,0.605,0.628,7.0058144799988e-16
"Excit",26896,31494,"MER101",6.06346073746585e-17,-0.0782532239832903,0.751,0.781,3.63807644247951e-15
"Excit",26896,31494,"LTR25",2.1335420738851e-16,0.0816887233530534,0.523,0.527,1.28012524433106e-14
"Excit",26896,31494,"ERVL",3.91062340776223e-15,-0.0103371765443312,0.723,0.745,2.34637404465734e-13
"Excit",26896,31494,"HUERS-P2",6.61356091331833e-15,-0.0202746611220486,0.5,0.522,3.968136547991e-13
"Excit",26896,31494,"HUERS-P3b",3.93043834783891e-14,-0.0639923245379472,0.567,0.597,2.35826300870335e-12
"Excit",26896,31494,"HERVK14C",1.33214958340616e-13,-0.288916388468904,0.059,0.075,7.99289750043696e-12
"Excit",26896,31494,"HERVIP10FH",1.80197655883522e-13,-0.109150644483182,0.368,0.399,1.08118593530113e-11
"Excit",26896,31494,"HERVK13",4.10090372543763e-12,0.0871846755569879,0.456,0.462,2.46054223526258e-10
"Excit",26896,31494,"HERVK9",4.71820884367746e-12,-0.0030619594029544,0.649,0.67,2.83092530620648e-10
"Excit",26896,31494,"PRIMAX",4.77386824930317e-12,-0.0333478292299573,0.546,0.572,2.86432094958191e-10
"Excit",26896,31494,"PABL-A",5.51518212250252e-12,-0.0892625958650855,0.374,0.403,3.30910927350151e-10
"Excit",26896,31494,"HERV3",6.6363656204712e-12,0.113892132838454,0.436,0.433,3.98181937228272e-10
"Excit",26896,31494,"HERVK",9.35129580621768e-12,0.0382632426735126,0.785,0.79,5.61077748373061e-10
"Excit",26896,31494,"HERV17",1.31020789884148e-11,-0.0981572977331187,0.424,0.452,7.8612473930489e-10
"Excit",26896,31494,"HERVIP10F",5.32289413038975e-11,-0.111998680641859,0.336,0.363,3.19373647823385e-09
"Excit",26896,31494,"MER34B",8.15874234300561e-11,-0.0619900496556316,0.774,0.797,4.89524540580337e-09
"Excit",26896,31494,"PRIMA4",2.83798508381308e-10,0.0166788366121397,0.422,0.438,1.70279105028785e-08
"Excit",26896,31494,"HERVK22",8.05577790976851e-10,-0.0126603086249532,0.412,0.432,4.8334667458611e-08
"Excit",26896,31494,"PRIMA41",3.43704904384748e-09,0.0226520389218463,0.417,0.431,2.06222942630849e-07
"Excit",26896,31494,"HERVP71A",1.2028462140597e-08,-0.069312132830793,0.343,0.366,7.21707728435818e-07
"Excit",26896,31494,"HERVK14",1.23868631398619e-08,-0.0271411120777563,0.303,0.323,7.43211788391712e-07
"Excit",26896,31494,"LTR23",1.73649305893941e-08,-0.0451553938636836,0.385,0.407,1.04189583536365e-06
"Excit",26896,31494,"LTR19",4.27522957676745e-08,-0.0771784733660785,0.23,0.251,2.56513774606047e-06
"Excit",26896,31494,"HERVK3",2.86435570521664e-07,0.0633019375524772,0.37,0.377,1.71861342312998e-05
"Excit",26896,31494,"LTR46",2.87138787784436e-07,0.054308777560512,0.263,0.274,1.72283272670662e-05
"Excit",26896,31494,"HERVL40",5.23292307547635e-07,-0.0392845324259379,0.766,0.783,3.13975384528581e-05
"Excit",26896,31494,"HERVK11",8.50644991256811e-07,0.0178866157432562,0.812,0.816,5.10386994754086e-05
"Excit",26896,31494,"ERVL-B4",3.62062447294678e-06,-0.0468119854391085,0.837,0.852,0.000217237468376807
"Excit",26896,31494,"MER41",4.04674796501543e-06,-0.0396664508156142,0.893,0.895,0.000242804877900926
"Excit",26896,31494,"ERVL-E",6.35406246400811e-06,-0.0265909488132916,0.808,0.822,0.000381243747840486
"Excit",26896,31494,"LTR57",9.24998086675039e-06,-0.0976958765607776,0.264,0.281,0.000554998852005023
"Excit",26896,31494,"HERVKC4",2.35061909416136e-05,-0.0846177053392041,0.115,0.128,0.00141037145649681
"Excit",26896,31494,"HERVL32",0.000150533572755906,0.0247296222634005,0.368,0.377,0.00903201436535436
"Excit",26896,31494,"HERVE-a",0.000182520106302043,-0.146858665315822,0.12,0.129,0.0109512063781226
"Excit",26896,31494,"ERV3-16A3-I",0.000767543943640936,-0.0208189266913879,0.931,0.928,0.0460526366184561
"Excit",26896,31494,"HERVH",0.00139234911090345,0.0262084139599108,0.918,0.916,0.0835409466542067
"Excit",26896,31494,"MER4B",0.00770586627309786,-0.0134066471941385,0.846,0.854,0.462351976385872
"Excit",26896,31494,"HERVFH21",0.0262210946984755,0.129833701078431,0.138,0.137,1
"Excit",26896,31494,"MER4",0.0367009658784618,-0.0187978198832979,0.901,0.9,1
"Excit",26896,31494,"HERVFH19",0.0475126074141541,0.00733263941593421,0.31,0.315,1
"Excit",26896,31494,"HERVL18",0.0687870296357853,-0.0604243255688264,0.152,0.151,1
"Excit",26896,31494,"PABL-B",0.104859369764408,0.022976857893596,0.243,0.247,1
"Excit",26896,31494,"HERV30",0.137792077216606,-0.0922039276243694,0.051,0.055,1
"Excit",26896,31494,"HERVH48",0.143279039203112,-0.00514123327735971,0.179,0.185,1
"Excit",26896,31494,"HERVL66",0.370960155284306,-0.03360536017329,0.167,0.168,1
"Excit",26896,31494,"HERVK11D",0.482269583679073,0.00931592499643275,0.161,0.165,1
"Oligo",31245,42753,"HERVH",3.0750399760768e-83,0.089179529604436,0.842,0.851,1.84502398564608e-81
"Oligo",31245,42753,"HERVL",5.37716144990127e-22,-0.0295366703262889,0.825,0.851,3.22629686994076e-20
"Oligo",31245,42753,"MER61",2.82715112943478e-18,-0.0726770372266059,0.654,0.677,1.69629067766087e-16
"Oligo",31245,42753,"MER4",3.47429406176892e-12,0.0192140377545087,0.809,0.82,2.08457643706135e-10
"Oligo",31245,42753,"HERV17",7.16602497083592e-12,-0.131613247430589,0.339,0.354,4.29961498250155e-10
"Oligo",31245,42753,"ERV3-16A3-I",4.01689125784016e-11,-0.0377529315278355,0.839,0.857,2.41013475470410e-09
"Oligo",31245,42753,"HERVIP10F",1.0192711206031e-10,-0.125759897604186,0.2,0.217,6.11562672361859e-09
"Oligo",31245,42753,"HERVH48",6.11881288575305e-10,0.0928746596202225,0.204,0.185,3.67128773145183e-08
"Oligo",31245,42753,"ERVL-B4",8.20298417881251e-09,-0.00902590969742612,0.684,0.702,4.9217905072875e-07
"Oligo",31245,42753,"HUERS-P3b",1.02498593262061e-07,-0.0851849593869825,0.276,0.292,6.14991559572364e-06
"Oligo",31245,42753,"PRIMA41",6.67836201387656e-07,0.15355572517396,0.327,0.314,4.00701720832594e-05
"Oligo",31245,42753,"MER41",1.76442732262894e-06,-0.0163355313946782,0.823,0.836,0.000105865639357736
"Oligo",31245,42753,"HUERS-P1",2.78806134906633e-06,-0.0410447002701702,0.595,0.61,0.00016728368094398
"Oligo",31245,42753,"MER4B",4.31807997766862e-06,0.00220070395171845,0.73,0.742,0.000259084798660117
"Oligo",31245,42753,"ERVL-E",1.08232660170899e-05,0.0487773649239838,0.656,0.656,0.000649395961025393
"Oligo",31245,42753,"HERVK",1.97901178442801e-05,-0.0219559868312698,0.619,0.635,0.00118740707065681
"Oligo",31245,42753,"HERVL74",2.33592043474349e-05,0.0422820360694649,0.464,0.448,0.00140155226084609
"Oligo",31245,42753,"MER34B",3.5120064164794e-05,-0.0298685439475213,0.613,0.629,0.00210720384988764
"Oligo",31245,42753,"HERVFH19",6.24852483847391e-05,0.0327749133285916,0.193,0.183,0.00374911490308435
"Oligo",31245,42753,"HERVE-a",7.3337311682591e-05,-0.150002606097908,0.079,0.087,0.00440023870095546
"Oligo",31245,42753,"HERVIP10FH",0.000132380122473978,0.0792517744600321,0.309,0.295,0.00794280734843871
"Oligo",31245,42753,"HERVS71",0.000148188828399211,-0.049250468048366,0.349,0.354,0.00889132970395267
"Oligo",31245,42753,"Harlequin",0.000176929358933233,0.077122353254941,0.549,0.545,0.010615761535994
"Oligo",31245,42753,"LTR25",0.000226978263610119,0.125746448414388,0.28,0.268,0.0136186958166072
"Oligo",31245,42753,"ERVL",0.00272057281114803,-0.00513558968900352,0.604,0.616,0.163234368668882
"Oligo",31245,42753,"HERVP71A",0.00437811611413236,-0.0329803916753106,0.155,0.149,0.262686966847941
"Oligo",31245,42753,"HERVK22",0.00454723445701406,0.0984446116539261,0.294,0.284,0.272834067420844
"Oligo",31245,42753,"MER101",0.00703501907199297,-0.0216328128215049,0.602,0.613,0.422101144319578
"Oligo",31245,42753,"HERVK3",0.00765166858697158,0.121076039502528,0.255,0.248,0.459100115218295
"Oligo",31245,42753,"HUERS-P3",0.0123893610381641,-0.00986315366054424,0.554,0.561,0.743361662289847
"Oligo",31245,42753,"HERVK11",0.0155034570604881,0.0341251918918768,0.645,0.647,0.930207423629284
"Oligo",31245,42753,"PABL-B",0.0205690247845579,-0.0389466240541245,0.121,0.122,1
"Oligo",31245,42753,"HERVK11D",0.0309956091283881,0.0315913182684762,0.083,0.087,1
"Oligo",31245,42753,"MER50",0.0364875039322913,0.0168728548227792,0.462,0.455,1
"Oligo",31245,42753,"HERVKC4",0.043409486118812,-0.118383869974521,0.055,0.057,1
"Oligo",31245,42753,"LTR19",0.052151294919131,0.0289371728014314,0.11,0.106,1
"Oligo",31245,42753,"HERV3",0.105526270828461,0.0698851433409901,0.248,0.242,1
"Oligo",31245,42753,"LTR57",0.141114045615942,0.0212322851459215,0.108,0.104,1
"Oligo",31245,42753,"PABL-A",0.145641777896657,-0.00226208314274923,0.271,0.271,1
"Oligo",31245,42753,"PRIMAX",0.157256090296777,0.00858979457012105,0.35,0.348,1
"Oligo",31245,42753,"HERV4-I",0.177401264683296,0.015574288228736,0.476,0.482,1
"Oligo",31245,42753,"HERVL40",0.229992961002929,0.0153850538156164,0.622,0.628,1
"Oligo",31245,42753,"HERV9",0.243775279653464,0.0289203045248174,0.625,0.619,1
"Oligo",31245,42753,"HERVL66",0.243816596626383,0.0204844599686189,0.059,0.057,1
"Oligo",31245,42753,"HERVK14",0.274773791707501,0.0685399413355687,0.202,0.197,1
"Oligo",31245,42753,"HERVE",0.363287322676156,0.0577456019807154,0.406,0.407,1
"Oligo",31245,42753,"LTR23",0.428346036959799,0.0365213358111941,0.207,0.204,1
