,celltype,n_NC,n_AD,subfamily,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
1,Excit,26896,31494,HERV3-int,2.97E-122,0.865608175,0.199,0.136,1.78E-120
2,Excit,26896,31494,Harlequin-int,3.93E-58,0.155436713,0.579,0.577,2.36E-56
3,Excit,26896,31494,HERVL74-int,3.43E-27,-0.420353454,0.121,0.149,2.06E-25
4,Excit,26896,31494,MER41-int,1.02E-26,-0.140189962,0.431,0.477,6.10E-25
5,Excit,26896,31494,HERVH-int,8.95E-21,-0.08718333,0.519,0.559,5.37E-19
6,Excit,26896,31494,ERVL-E-int,1.52E-20,-0.018762167,0.623,0.65,9.14E-19
7,Excit,26896,31494,HERVK14C-int,1.66E-19,-0.358278879,0.046,0.063,9.96E-18
8,Excit,26896,31494,HERVK14-int,2.12E-18,-0.249889057,0.127,0.152,1.27E-16
9,Excit,26896,31494,ERVL-B4-int,6.44E-17,-0.078223682,0.432,0.465,3.86E-15
10,Excit,26896,31494,HUERS-P1-int,1.02E-15,-0.197620494,0.149,0.175,6.14E-14
11,Excit,26896,31494,MER61-int,1.54E-15,0.115199515,0.4,0.407,9.26E-14
12,Excit,26896,31494,HERVK9-int,1.49E-14,-0.083837235,0.411,0.443,8.94E-13
13,Excit,26896,31494,MER4-int,1.25E-12,-0.019151004,0.553,0.58,7.52E-11
14,Excit,26896,31494,ERV3-16A3-I-int,1.85E-12,-0.044123387,0.46,0.486,1.11E-10
15,Excit,26896,31494,HERVL-int,3.50E-12,-0.082879027,0.39,0.419,2.10E-10
16,Excit,26896,31494,HERVK13-int,1.54E-09,-0.231639231,0.156,0.172,9.24E-08
17,Excit,26896,31494,MER101-int,4.01E-09,-0.172795317,0.219,0.238,2.41E-07
18,Excit,26896,31494,LTR19-int,9.27E-09,-0.240798999,0.084,0.099,5.56E-07
19,Excit,26896,31494,HERV4-I-int,3.95E-08,0.064226278,0.251,0.261,2.37E-06
20,Excit,26896,31494,LTR46-int,1.19E-07,-0.305951334,0.053,0.064,7.14E-06
21,Excit,26896,31494,MER4B-int,1.62E-07,-0.040073508,0.341,0.361,9.73E-06
22,Excit,26896,31494,HERVFH21-int,5.27E-07,0.137788183,0.103,0.107,3.16E-05
23,Excit,26896,31494,HERVL40-int,5.75E-07,-0.034356343,0.262,0.281,3.45E-05
24,Excit,26896,31494,HUERS-P3b-int,6.55E-07,-0.090225449,0.162,0.179,3.93E-05
25,Excit,26896,31494,HERVP71A-int,6.66E-07,-0.204087393,0.125,0.135,4.00E-05
26,Excit,26896,31494,PABL-B-int,5.24E-06,-0.236827788,0.05,0.059,0.000314161
27,Excit,26896,31494,LTR25-int,3.53E-05,-0.018389208,0.31,0.324,0.002120198
