"celltype","n_NC","n_AD","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Excit",26896,31494,"HERVK-int",2.75559128685863e-32,-0.121870444145867,0.449,0.497,1.59824294637801e-30
"Excit",26896,31494,"HERV3-int",1.10684076911379e-22,0.382994898008707,0.186,0.16,6.41967646085996e-21
"Excit",26896,31494,"HERVL-int",1.95435168416495e-22,-0.0579138358809831,0.572,0.606,1.13352397681567e-20
"Excit",26896,31494,"HERVK14C-int",5.77501930354877e-21,-0.398306428531114,0.042,0.059,3.34951119605829e-19
"Excit",26896,31494,"HERVL74-int",3.46246084268759e-16,-0.221198371822583,0.183,0.208,2.0082272887588e-14
"Excit",26896,31494,"ERVL-B4-int",2.89916550928968e-15,-0.01710388255948,0.705,0.728,1.68151599538802e-13
"Excit",26896,31494,"HERVIP10FH-int",1.79924508366307e-13,-0.109150644483182,0.368,0.399,1.04356214852458e-11
"Excit",26896,31494,"HERVIP10F-int",5.31483935589956e-11,-0.111998680641859,0.336,0.363,3.08260682642174e-09
"Excit",26896,31494,"ERV3-16A3-I-int",5.57991027441085e-11,-0.0474521013227291,0.651,0.675,3.23634795915829e-09
"Excit",26896,31494,"HERVK9-int",8.29993950709716e-11,-0.0361911434638206,0.477,0.502,4.81396491411635e-09
"Excit",26896,31494,"HERV1-I-int",1.29507986056927e-10,0.375923569480233,0.095,0.081,7.51146319130176e-09
"Excit",26896,31494,"HERVK14-int",1.86094410384872e-10,-0.112431516863038,0.195,0.217,1.07934758023225e-08
"Excit",26896,31494,"HERV35I-int",3.88629733132577e-10,-0.030888248057237,0.407,0.429,2.25405245216894e-08
"Excit",26896,31494,"HERVL40-int",2.64115783402019e-08,-0.0472213042236364,0.389,0.411,1.53187154373171e-06
"Excit",26896,31494,"HERVS71-int",3.66657317859951e-08,-0.0198716664339515,0.389,0.408,2.12661244358772e-06
"Excit",26896,31494,"HERV4-I-int",1.50706110861524e-07,0.0845993386193693,0.341,0.341,8.74095442996838e-06
"Excit",26896,31494,"ERV24B-Prim-int",3.54624636430489e-07,-0.0748264823385429,0.255,0.275,2.05682289129684e-05
"Excit",26896,31494,"HERVK11-int",1.09385299179917e-06,-0.0440253286500931,0.342,0.361,6.34434735243518e-05
"Excit",26896,31494,"HERV17-int",3.43734936808884e-06,-0.115317220388521,0.292,0.311,0.000199366263349153
"Excit",26896,31494,"ERVL-E-int",4.33078474894118e-06,-0.0284184123946303,0.803,0.818,0.000251185515438589
"Excit",26896,31494,"HERVE-int",1.17040681671006e-05,-0.0847550531926468,0.275,0.292,0.000678835953691835
"Excit",26896,31494,"HERVFH19-int",3.00171887749766e-05,0.179782344913522,0.083,0.073,0.00174099694894864
"Excit",26896,31494,"HERVP71A-int",3.75025207588729e-05,-0.111783936195119,0.217,0.232,0.00217514620401463
"Excit",26896,31494,"HERVH-int",4.39707181239379e-05,0.0206487464277685,0.87,0.872,0.0025503016511884
"Excit",26896,31494,"HERVE-a-int",0.000172024434198033,-0.146858665315822,0.12,0.129,0.00997741718348593
"Excit",26896,31494,"HERVKC4-int",0.000768409547710661,-0.0734727579470786,0.057,0.064,0.0445677537672183
"Excit",26896,31494,"HERVI-int",0.00334544354243075,-0.00014845604789171,0.105,0.099,0.194035725460983
"Excit",26896,31494,"HERV16-int",0.0042423877103238,0.00300056124321513,0.272,0.281,0.24605848719878
"Excit",26896,31494,"ERVL-int",0.00709651998565017,-0.0308802186959605,0.321,0.331,0.41159815916771
"Excit",26896,31494,"HERVL66-int",0.0101989110367659,0.150455626815709,0.05,0.045,0.591536840132421
"Excit",26896,31494,"HERV9NC-int",0.0131064587279688,-0.0612196216216652,0.154,0.149,0.760174606222189
"Excit",26896,31494,"HERVK3-int",0.0195176342806016,0.0457353245695375,0.244,0.249,1
"Excit",26896,31494,"ERVL47-int",0.0265660090626279,-0.0850724655163138,0.05,0.049,1
"Excit",26896,31494,"HERV9-int",0.031197930685071,0.0433612674937485,0.156,0.149,1
"Excit",26896,31494,"HERV9N-int",0.0430833232519496,-0.145585987928338,0.089,0.091,1
"Excit",26896,31494,"ERV24-Prim-int",0.0511633705348764,-0.0510343020269404,0.208,0.214,1
"Excit",26896,31494,"ERV3-16A3-LTR",0.283051945001213,-0.0477445184706897,0.164,0.168,1
"Excit",26896,31494,"HERVH48-int",0.62836968053018,0.0299105754590685,0.13,0.13,1
"Excit",26896,31494,"HERVIP10B3-int",0.732376770915922,0.0515406147189137,0.19,0.189,1
"Excit",26896,31494,"HERVK22-int",0.753305564614615,0.00867439875557174,0.232,0.234,1
"Excit",26896,31494,"HERVFH21-int",0.902342275355667,0.010132830720698,0.055,0.054,1
"Oligo",31245,42753,"HERVH-int",9.95792592255428e-81,0.096830692387837,0.769,0.773,5.77559703508148e-79
"Oligo",31245,42753,"HERVH48-int",3.58884835809981e-11,0.0965194612465305,0.173,0.154,2.08153204769789e-09
"Oligo",31245,42753,"HERVIP10F-int",9.96229271352408e-11,-0.125759897604186,0.2,0.217,5.77812977384396e-09
"Oligo",31245,42753,"HERV9N-int",8.84749510543499e-10,-0.158346120512219,0.099,0.114,5.13154716115229e-08
"Oligo",31245,42753,"HERV17-int",1.63572490419926e-06,-0.120549179742685,0.24,0.251,9.48720444435572e-05
"Oligo",31245,42753,"ERVL-E-int",2.77087751230372e-05,0.0483444323370272,0.652,0.651,0.00160710895713616
"Oligo",31245,42753,"ERV24B-Prim-int",3.08129845918856e-05,0.155744530981988,0.096,0.086,0.00178715310632936
"Oligo",31245,42753,"HERVE-a-int",7.30665219275766e-05,-0.150002606097908,0.079,0.087,0.00423785827179944
"Oligo",31245,42753,"HERVIP10B3-int",8.98800958639898e-05,0.140380917402897,0.189,0.177,0.00521304556011141
"Oligo",31245,42753,"HERVK-int",0.00010230088519678,-0.0646228824696377,0.299,0.31,0.00593345134141326
"Oligo",31245,42753,"HERVIP10FH-int",0.000132380107681756,0.0792517744600321,0.309,0.295,0.00767804624554183
"Oligo",31245,42753,"HERVK3-int",0.000154161888685609,0.186622919430017,0.141,0.133,0.00894138954376529
"Oligo",31245,42753,"HERVFH19-int",0.000177529788989481,0.123780636726727,0.07,0.062,0.0102967277613899
"Oligo",31245,42753,"HERV35I-int",0.000230864688859052,-0.0852938514160101,0.18,0.191,0.013390151953825
"Oligo",31245,42753,"HERVK11-int",0.000356865200678115,-0.0210332663727224,0.116,0.11,0.0206981816393307
"Oligo",31245,42753,"HERV3-int",0.000455576478952082,0.169411975855922,0.112,0.103,0.0264234357792208
"Oligo",31245,42753,"HERVK13-int",0.00181543224552666,-0.141948124871398,0.057,0.058,0.105295070240547
"Oligo",31245,42753,"HERVP71A-int",0.00258514304666327,-0.136929773025294,0.097,0.095,0.14993829670647
"Oligo",31245,42753,"ERVL-B4-int",0.00290717323923317,-0.0422294572608475,0.487,0.497,0.168616047875524
"Oligo",31245,42753,"HERV16-int",0.00611673372861713,-0.0568673273254676,0.092,0.091,0.354770556259793
"Oligo",31245,42753,"ERV3-16A3-I-int",0.00810730781507551,-0.0315449487980839,0.405,0.407,0.47022385327438
"Oligo",31245,42753,"ERVL-int",0.0206881963194752,-0.0649668252354685,0.161,0.169,1
"Oligo",31245,42753,"HERV4-I-int",0.0240228852579587,-0.00408155775550556,0.115,0.111,1
"Oligo",31245,42753,"HERVL-int",0.0270252241981945,0.00187522282481767,0.407,0.403,1
"Oligo",31245,42753,"HERVS71-int",0.0346349819317375,0.081120728018595,0.1,0.095,1
"Oligo",31245,42753,"HERVK22-int",0.124857437442835,0.0996618035548595,0.153,0.149,1
"Oligo",31245,42753,"ERV3-16A3-LTR",0.130223440248642,-0.0166868495185599,0.109,0.108,1
"Oligo",31245,42753,"HERVK9-int",0.185843786059245,0.0740867110537545,0.229,0.223,1
"Oligo",31245,42753,"HERV9NC-int",0.259604665862044,0.0221035577061097,0.122,0.12,1
"Oligo",31245,42753,"HERVL74-int",0.324286341093598,0.153267827587513,0.055,0.052,1
"Oligo",31245,42753,"HERVE-int",0.579225583510878,0.031249405888887,0.133,0.132,1
"Oligo",31245,42753,"HERVL40-int",0.653118261266459,0.0199167221051729,0.251,0.254,1
"Oligo",31245,42753,"HERVK14-int",0.698730712459036,0.0752759397042662,0.103,0.102,1
"Oligo",31245,42753,"HERV9-int",0.752749451904044,-0.00176423601294728,0.126,0.128,1
"Oligo",31245,42753,"ERV24-Prim-int",0.869206860277622,0.0546998274534931,0.057,0.056,1
"Astro",9388,12032,"HERVH-int",1.16624885496825e-20,0.0813977305489617,0.655,0.676,6.76424335881586e-19
"Astro",9388,12032,"ERV3-16A3-I-int",1.66231925777775e-10,-0.175241215898124,0.392,0.436,9.64145169511094e-09
"Astro",9388,12032,"HERVKC4-int",1.65477042507205e-09,-0.437169276445078,0.095,0.11,9.59766846541789e-08
"Astro",9388,12032,"HERVK14C-int",3.08943964303796e-08,-0.66909884634976,0.04,0.054,1.79187499296201e-06
"Astro",9388,12032,"HERV16-int",7.51829978555567e-06,-0.299570129707603,0.135,0.149,0.000436061387562229
"Astro",9388,12032,"ERVL-E-int",1.39735079712612e-05,-0.0756747993888922,0.593,0.625,0.000810463462333151
"Astro",9388,12032,"HERVK9-int",1.87458531085368e-05,-0.149271901424747,0.325,0.354,0.00108725948029513
"Astro",9388,12032,"HERVK-int",4.87992925042636e-05,-0.157792925376665,0.381,0.409,0.00283035896524729
"Astro",9388,12032,"HERVL-int",0.000340097465862819,-0.0973513222872884,0.397,0.424,0.0197256530200435
"Astro",9388,12032,"HERVK14-int",0.000506076683079167,-0.180290867617857,0.122,0.138,0.0293524476185917
"Astro",9388,12032,"HERVK13-int",0.000719379485609821,-0.377127252899211,0.051,0.061,0.0417240101653696
"Astro",9388,12032,"HERVI-int",0.00179215852703831,0.209009006448084,0.059,0.049,0.103945194568222
"Astro",9388,12032,"HERV9NC-int",0.00281536301315651,-0.220955815497304,0.111,0.113,0.163291054763077
"Astro",9388,12032,"HERVIP10B3-int",0.00766000471726627,-0.137372243673251,0.141,0.154,0.444280273601443
"Astro",9388,12032,"HERVP71A-int",0.0186511068945027,-0.179814608345815,0.11,0.115,1
"Astro",9388,12032,"HERV35I-int",0.0214233593713161,-0.0987675226558639,0.172,0.185,1
"Astro",9388,12032,"ERVL-B4-int",0.0223853870278852,-0.0913427714633598,0.371,0.388,1
"Astro",9388,12032,"HERV17-int",0.0249758181583231,-0.0737528552628034,0.193,0.208,1
"Astro",9388,12032,"ERV24-Prim-int",0.0504181253256021,0.217402437725196,0.093,0.083,1
"Astro",9388,12032,"HERVK11-int",0.0988908015480113,-0.0604893695415618,0.125,0.128,1
"Astro",9388,12032,"ERV24B-Prim-int",0.10036496903307,-0.0686401310130544,0.142,0.153,1
"Astro",9388,12032,"HERVE-int",0.139208567351022,0.0295515640901933,0.155,0.148,1
"Astro",9388,12032,"ERVL-int",0.179350107919214,-0.0416048615976206,0.181,0.185,1
"Astro",9388,12032,"HERV9-int",0.181750563467069,-0.066618922750481,0.095,0.098,1
"Astro",9388,12032,"HERVIP10FH-int",0.186740025960589,-0.0091753974586255,0.227,0.219,1
"Astro",9388,12032,"HERVK22-int",0.187264446834994,-0.0613629323940827,0.141,0.147,1
"Astro",9388,12032,"HERVH48-int",0.255187635181885,-0.0404003760405549,0.133,0.135,1
"Astro",9388,12032,"HERV3-int",0.307244575731983,0.027382122930679,0.212,0.219,1
"Astro",9388,12032,"HERV4-I-int",0.386709829288808,-0.0249161472182774,0.184,0.188,1
"Astro",9388,12032,"HERVS71-int",0.541714381080008,-0.0239289508837218,0.193,0.198,1
"Astro",9388,12032,"ERV3-16A3-LTR",0.656617451864086,-0.00760118543072963,0.072,0.073,1
"Astro",9388,12032,"HERV9N-int",0.669296676207909,0.113174409702038,0.085,0.083,1
"Astro",9388,12032,"HERVL74-int",0.794350854940367,0.141625531835604,0.069,0.07,1
"Astro",9388,12032,"HERVIP10F-int",0.798664143032139,0.0519415824750862,0.147,0.148,1
"Astro",9388,12032,"HERVL40-int",0.814312097926095,0.00206643360246295,0.196,0.196,1
"Astro",9388,12032,"HERVK3-int",0.993010909616807,-0.00561688010236983,0.137,0.138,1
"Inhib",12254,15060,"HERVH-int",5.37860802767569e-31,0.170627946727162,0.769,0.754,3.1195926560519e-29
"Inhib",12254,15060,"HERVI-int",9.35899348397664e-26,0.146774879256921,0.121,0.086,5.42821622070645e-24
"Inhib",12254,15060,"HERVE-int",7.15643808575395e-23,0.0128922934916493,0.238,0.201,4.15073408973729e-21
"Inhib",12254,15060,"HERVK11-int",1.46514632347734e-22,0.104819601830885,0.252,0.209,8.49784867616856e-21
"Inhib",12254,15060,"HERV3-int",5.68433782458018e-22,0.610119234451539,0.17,0.128,3.2969159382565e-20
"Inhib",12254,15060,"HERV9NC-int",1.51059778539632e-20,-0.0109336205126642,0.16,0.13,8.76146715529865e-19
"Inhib",12254,15060,"HERVP71A-int",2.3122167272232e-19,-0.0772883790331937,0.188,0.16,1.34108570178945e-17
"Inhib",12254,15060,"HERV4-I-int",1.5814303331601e-18,0.212110761726425,0.261,0.218,9.1722959323286e-17
"Inhib",12254,15060,"HERVS71-int",1.88928720925948e-17,0.0954538548569261,0.269,0.231,1.0957865813705e-15
"Inhib",12254,15060,"HERVH48-int",3.97862419693002e-16,0.0791699434407898,0.145,0.119,2.30760203421941e-14
"Inhib",12254,15060,"ERVL-int",5.85595774807161e-15,-0.0296417880829065,0.262,0.238,3.39645549388154e-13
"Inhib",12254,15060,"ERV3-16A3-LTR",7.59774261100937e-15,0.129364121026839,0.144,0.116,4.40669071438544e-13
"Inhib",12254,15060,"HERVIP10B3-int",9.63520094059419e-15,0.0907947037165187,0.191,0.163,5.58841654554463e-13
"Inhib",12254,15060,"ERV24B-Prim-int",2.44159748414394e-14,0.0272512040297093,0.245,0.214,1.41612654080348e-12
"Inhib",12254,15060,"HERV17-int",3.90204147080936e-14,-0.025323584993255,0.251,0.226,2.26318405306943e-12
"Inhib",12254,15060,"HERVIP10FH-int",1.00335043536955e-13,0.0403562072162701,0.328,0.296,5.81943252514339e-12
"Inhib",12254,15060,"HERV9-int",1.13925561433636e-13,0.122824211544708,0.148,0.12,6.60768256315087e-12
"Inhib",12254,15060,"HERVFH19-int",2.4962007816512e-13,0.273036043104075,0.083,0.061,1.44779645335769e-11
"Inhib",12254,15060,"HERV16-int",2.63869469417407e-13,0.0309351550974728,0.215,0.189,1.53044292262096e-11
"Inhib",12254,15060,"HERVIP10F-int",1.61821203538527e-12,-0.10886636734532,0.311,0.296,9.38562980523457e-11
"Inhib",12254,15060,"HERVK22-int",3.62823915645559e-12,-0.0286772791328149,0.235,0.212,2.10437871074424e-10
"Inhib",12254,15060,"ERV24-Prim-int",3.37716793438092e-11,-0.0270258260811351,0.17,0.149,1.95875740194093e-09
"Inhib",12254,15060,"HERVK14-int",1.67290264288338e-10,-0.297196602987395,0.145,0.152,9.70283532872362e-09
"Inhib",12254,15060,"HERVL40-int",2.69015237234997e-10,-0.00668960262504086,0.352,0.327,1.56028837596298e-08
"Inhib",12254,15060,"HERV1-I-int",3.61530142975676e-10,0.435542446619238,0.083,0.062,2.09687482925892e-08
"Inhib",12254,15060,"HERVK3-int",4.24358392887211e-10,-0.0316078738078094,0.206,0.188,2.46127867874582e-08
"Inhib",12254,15060,"HERVK11D-int",7.05903039714054e-10,0.0316412904441115,0.05,0.038,4.09423763034151e-08
"Inhib",12254,15060,"ERVL47-int",2.13443814392545e-09,0.213911753999037,0.06,0.045,1.23797412347676e-07
"Inhib",12254,15060,"HERVE-a-int",8.85156869308795e-09,0.116417352298411,0.11,0.091,5.13390984199101e-07
"Inhib",12254,15060,"HERVK-int",2.10113000068323e-08,-0.0414749253356764,0.42,0.402,1.21865540039627e-06
"Inhib",12254,15060,"HERVL74-int",2.22040460296607e-08,-0.0449721781730301,0.121,0.106,1.28783466972032e-06
"Inhib",12254,15060,"HERV35I-int",7.63153717695007e-08,-0.0136973508795538,0.387,0.369,4.42629156263104e-06
"Inhib",12254,15060,"HERVFH21-int",1.35985008374053e-06,0.35152145753116,0.06,0.046,7.88713048569506e-05
"Inhib",12254,15060,"HERVKC4-int",5.33035942329619e-06,-0.293945675369878,0.058,0.056,0.000309160846551179
"Inhib",12254,15060,"HERVK9-int",3.38519527436119e-05,0.0425638919375493,0.406,0.383,0.00196341325912949
"Inhib",12254,15060,"ERV3-16A3-I-int",6.52474463192923e-05,-0.0103921278829606,0.518,0.496,0.00378435188651896
"Inhib",12254,15060,"HERV9N-int",9.79467481540854e-05,-0.0836694441296761,0.081,0.072,0.00568091139293695
"Inhib",12254,15060,"ERVL-B4-int",0.00021725844102543,0.0628182151923473,0.596,0.574,0.012600989579475
"Inhib",12254,15060,"HERVL-int",0.000400339591509517,0.0661117430185992,0.512,0.489,0.023219696307552
"Inhib",12254,15060,"HERVL18-int",0.000502494467951429,-0.183337790394511,0.055,0.05,0.0291446791411829
"Inhib",12254,15060,"ERVL-E-int",0.0206820232956333,0.0322281805395033,0.724,0.712,1
"Endo",732,1884,"ERV24B-Prim-int",0.0232262629172792,0.0461355782726842,0.139,0.104,1
"Endo",732,1884,"HERVH-int",0.0348737973417724,-0.158607311242231,0.523,0.564,1
"Endo",732,1884,"HERVL-int",0.087296143864896,-0.305762959711283,0.263,0.302,1
"Endo",732,1884,"HERVK11-int",0.0932478944486835,0.335705179619354,0.091,0.066,1
"Endo",732,1884,"HERV16-int",0.121393332779786,0.151450813568389,0.062,0.042,1
"Endo",732,1884,"HERVE-int",0.127938015800115,0.578132033956962,0.07,0.049,1
"Endo",732,1884,"HERV4-I-int",0.145639328495495,0.648095255141173,0.079,0.057,1
"Endo",732,1884,"ERVL-int",0.278890192756087,0.504426598353497,0.098,0.078,1
"Endo",732,1884,"HERVL40-int",0.297019105313338,0.101469782338014,0.136,0.116,1
"Endo",732,1884,"HERVIP10F-int",0.324785682809977,-0.330719315427454,0.104,0.094,1
"Endo",732,1884,"ERVL-B4-int",0.362428619667094,0.0643220527779159,0.279,0.257,1
