,celltype,n_NC,n_AD,feature,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
1,Excit,26896,31494,ERV1,1.43E-60,0.380367411,0.377,0.344,2.58E-59
2,Excit,26896,31494,HARLEQUIN,1.22E-57,0.155436713,0.579,0.577,2.20E-56
3,Excit,26896,31494,HERVL,8.75E-24,-0.112731829,0.545,0.587,1.57E-22
4,Excit,26896,31494,HUERS,2.98E-21,-0.088548747,0.393,0.432,5.37E-20
5,Excit,26896,31494,HERVH,4.22E-21,-0.084899468,0.529,0.569,7.59E-20
6,Excit,26896,31494,HERVK,3.39E-17,-0.071142924,0.705,0.738,6.10E-16
7,Excit,26896,31494,ERVL,7.26E-16,-0.035939848,0.72,0.747,1.31E-14
8,Excit,26896,31494,LTR,4.95E-13,-0.083780399,0.398,0.429,8.91E-12
9,Excit,26896,31494,ERV3,1.99E-12,-0.044123387,0.46,0.486,3.59E-11
10,Excit,26896,31494,PAB,1.57E-07,-0.133201088,0.113,0.128,2.83E-06
11,Excit,26896,31494,HERVP,9.14E-07,-0.204087393,0.125,0.135,1.65E-05
12,Excit,26896,31494,HERVI,3.25E-06,-0.044127947,0.425,0.443,5.85E-05
13,Excit,26896,31494,MER4,0.000100947,-0.03694007,0.805,0.817,0.001817046
14,Excit,26896,31494,PRIMA,0.000108668,0.030608915,0.331,0.343,0.001956031
15,Excit,26896,31494,HERVF,0.000239623,0.049249857,0.175,0.184,0.004313222
16,Excit,26896,31494,HERVW,0.000596889,-0.122475602,0.244,0.256,0.010744003
17,Excit,26896,31494,HERVE,0.056199041,0.052406868,0.206,0.209,1
18,Excit,26896,31494,HERVS,0.379135675,-0.031054333,0.227,0.232,1
19,Oligo,31245,42753,MER4,3.27E-25,-0.079344273,0.713,0.746,5.88E-24
20,Oligo,31245,42753,HERVW,2.04E-10,-0.144310417,0.233,0.249,3.67E-09
21,Oligo,31245,42753,ERV1,5.65E-09,0.286656076,0.152,0.14,1.02E-07
22,Oligo,31245,42753,HERVE,9.78E-07,-0.044408886,0.095,0.106,1.76E-05
23,Oligo,31245,42753,HERVI,3.24E-05,-0.046394416,0.381,0.389,0.000582312
24,Oligo,31245,42753,HERVH,0.0008108,0.011360378,0.35,0.363,0.014594394
25,Oligo,31245,42753,LTR,0.001005695,0.146358091,0.17,0.16,0.018102518
26,Oligo,31245,42753,ERV3,0.002149759,-0.062103302,0.312,0.322,0.038695666
27,Oligo,31245,42753,HARLEQUIN,0.005545323,0.092437327,0.444,0.434,0.09981582
28,Oligo,31245,42753,HERVK,0.005952361,-0.010018737,0.571,0.583,0.107142494
29,Oligo,31245,42753,HERVS,0.018608484,-0.017663087,0.061,0.066,0.334952712
30,Oligo,31245,42753,PRIMA,0.036415945,0.131896462,0.107,0.101,0.655487017
31,Oligo,31245,42753,PAB,0.052509184,0.059298351,0.077,0.074,0.945165318
32,Oligo,31245,42753,HERVP,0.151810949,-0.08739732,0.086,0.086,1
33,Oligo,31245,42753,ERVL,0.320339662,-0.008707379,0.526,0.531,1
34,Oligo,31245,42753,HUERS,0.675510941,0.030647847,0.227,0.229,1
35,Oligo,31245,42753,HERVL,0.676487407,0.039254251,0.393,0.39,1
36,Oligo,31245,42753,HERVF,0.98949658,0.003589399,0.051,0.05,1
37,Astro,9388,12032,MER4,3.08E-15,-0.149966341,0.645,0.694,5.54E-14
38,Astro,9388,12032,HERVK,7.36E-13,-0.141530046,0.638,0.685,1.32E-11
39,Astro,9388,12032,ERVL,2.26E-11,-0.129734843,0.458,0.506,4.07E-10
