"celltype","n_NC","n_AD","feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Excit",26896,31494,"HERV3-1p34.3",0,3.48110851051276,0.082,0.011,0
"Excit",26896,31494,"HML3-1q32.1b",1.59393150102924e-151,-1.34046020993516,0.049,0.103,4.11234327265543e-149
"Excit",26896,31494,"HML1-1q32.1",1.48454997993253e-95,-1.30794199781793,0.037,0.073,3.83013894822592e-93
"Excit",26896,31494,"ERVLB4-2q11.1a",1.26972228533383e-43,-0.833710005839647,0.031,0.055,3.27588349616128e-41
"Excit",26896,31494,"HERVL74-11q12.3",3.91709959361596e-42,-0.750236220968616,0.059,0.086,1.01061169515292e-39
"Excit",26896,31494,"HERVH-12q13.2b",4.55836450738959e-21,-0.140646233340828,0.117,0.142,1.17605804290651e-18
"Excit",26896,31494,"MER61-8p11.21",9.93512044472892e-20,0.346675301606881,0.183,0.171,2.56326107474006e-17
"Excit",26896,31494,"HUERSP1-11q12.3",7.81479726648927e-18,-0.546619031198051,0.04,0.054,2.01621769475423e-15
"Excit",26896,31494,"LTR19-1p12",4.17884295898442e-14,-0.414400993068122,0.052,0.066,1.07814148341798e-11
"Excit",26896,31494,"HML4-16p13.3",7.35152502017645e-11,-0.262836306070675,0.142,0.155,1.89669345520552e-08
"Excit",26896,31494,"MER4-Yq11.221b",1.78820998599439e-10,0.360000708536784,0.068,0.063,4.61358176386552e-08
"Excit",26896,31494,"HARLEQUIN-21q22.3a",4.58838155614988e-09,0.371087996608651,0.061,0.049,1.18380244148667e-06
"Excit",26896,31494,"HERVIP10FH-Yq11.222b",4.71518229726495e-09,0.253156374266784,0.057,0.058,1.21651703269436e-06
"Excit",26896,31494,"HERV4-1q22b",7.36899375275465e-09,0.183801415737708,0.152,0.151,1.9012003882107e-06
"Excit",26896,31494,"HARLEQUIN-Xq23b",1.24911888225902e-08,0.0465644874196072,0.314,0.324,3.22272671622828e-06
"Excit",26896,31494,"HML5-Xq11.1",2.99747223198047e-08,-0.359873015037948,0.044,0.053,7.73347835850961e-06
"Excit",26896,31494,"ERVLE-3q13.33c",4.32228789113444e-08,-0.0824336878788461,0.215,0.235,1.11515027591268e-05
"Excit",26896,31494,"HARLEQUIN-1p36.33",1.67110765090896e-07,-0.000610570192737026,0.047,0.053,4.31145773934513e-05
"Excit",26896,31494,"ERVLE-19q13.31c",4.90876709513436e-07,0.224729645749561,0.055,0.046,0.000126646191054466
"Excit",26896,31494,"HERVP71A-12p13.32",6.58065765237399e-07,-0.326271871205358,0.05,0.056,0.000169780967431249
"Excit",26896,31494,"ERVLB4-13q31.2d",6.92067638881131e-07,0.291664225368526,0.05,0.04,0.000178553450831332
"Excit",26896,31494,"ERVLE-14q31.3b",7.58402966531904e-07,0.333073949933915,0.05,0.041,0.000195667965365231
"Excit",26896,31494,"HARLEQUIN-6p21.31",3.9623368103337e-06,0.013485452201806,0.055,0.05,0.00102228289706609
"Excit",26896,31494,"MER41-5p12",6.73389840819375e-06,-0.208692480082317,0.048,0.057,0.00173734578931399
"Excit",26896,31494,"HML3-1p32.3",8.95029684982524e-06,0.129446913717019,0.066,0.057,0.00230917658725491
"Excit",26896,31494,"HERV4-4q22.1",1.26345590011413e-05,-0.109252034696536,0.047,0.055,0.00325971622229445
"Excit",26896,31494,"PRIMA4-7q11.21b",1.51336807327905e-05,0.340718540471564,0.062,0.057,0.00390448962905995
"Excit",26896,31494,"MER4-16q24.3",2.12437416949252e-05,0.244778051407213,0.095,0.084,0.00548088535729071
"Excit",26896,31494,"HERVEA-19p13.11",4.50862444724198e-05,0.320233754610357,0.063,0.056,0.0116322510738843
"Excit",26896,31494,"HML5-2p13.2",7.75916117576094e-05,0.0562825460086112,0.077,0.07,0.0200186358334632
"Excit",26896,31494,"MER4-3q29f",0.000151944536289493,-0.229096217458724,0.073,0.082,0.0392016903626892
"Excit",26896,31494,"HARLEQUIN-19p13.11",0.000323722395902583,0.215339988708954,0.074,0.065,0.0835203781428665
