"module","trait","cor","n_gene","hub_gene","GO","GO_padj"
"black","herv_HERVL.int; herv_HERVK9.int; herv_HERVK.int; herv_HERVK22.int; herv_HERVK13.int; herv_HERV17.int; herv_HERVK14.int; AD_binary; herv_HERVK3.int; herv_HERVH.int; herv_HERVE.int; herv_HERVK11.int; herv_HERV3.int; herv_HERV.Fc1.int","-0.128; -0.102; -0.079; -0.077; -0.071; -0.064; -0.058; 0.055; -0.052; -0.036; -0.033; -0.02; 0.014; -0.003",130,"MT-CO3; MT-CO1; MT-CO2; MT-ND4; MT-RNR2; MT-ND3; MT-ND1; MT-CYB; MT-ND2; MT-ATP6; MT-RNR1; MT-ND5; PHYHIP; MT-ND4L; GRIN1; LY6H; PSD; DNAJB2; CAMK2A; PDZD4; CHD5; ZBTB7A; ADGRB2; MAPK11; PPFIA3; KIFC2; ACAP3; DPP7; NPTXR; MT-ATP8","neurotransmitter transport; neurotransmitter secretion; signal release from synapse; synaptic signaling; signal release; modulation of chemical synaptic transmission; regulation of trans-synaptic signaling; chemical synaptic transmission; anterograde trans-synaptic signaling; synaptic vesicle exocytosis; trans-synaptic signaling; cellular response to abiotic stimulus; cellular response to environmental stimulus; regulation of synaptic plasticity; regulation of neurotransmitter transport; entrainment of circadian clock; export from cell; secretion by cell; peripheral nervous system development; synaptic vesicle cycle; response to pH; regulation of neurotransmitter secretion; regulation of membrane potential; secretion; regulated exocytosis; exocytosis; response to light stimulus; entrainment of circadian clock by photoperiod; regulation of postsynaptic specialization assembly; vesicle-mediated transport in synapse","0.00683330572883094; 0.00683330572883094; 0.00683330572883094; 0.00740179916342636; 0.00922103481787823; 0.0175329169548096; 0.0175329169548096; 0.0175329169548096; 0.0175329169548096; 0.0175329169548096; 0.0179866007516214; 0.0260387964405722; 0.0260387964405722; 0.0260387964405722; 0.0261733920990114; 0.0268189050977273; 0.0332593526866331; 0.0401186487271824; 0.0401186487271824; 0.0621820154369813; 0.0632753406198254; 0.0722771874939496; 0.0722771874939496; 0.0764405253354626; 0.0764405253354626; 0.0907115528802933; 0.121289977470264; 0.121289977470264; 0.121289977470264; 0.121289977470264"
"blue","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK3.int; herv_HERVK13.int; AD_binary; herv_HERV3.int; herv_HERVE.int; herv_HERV.Fc1.int","0.227; 0.225; 0.176; 0.148; 0.132; 0.126; 0.121; 0.121; 0.105; 0.102; -0.072; 0.063; 0.047; -0.004",528,"ADGRB3; NRG3; RALYL; PDE4D; NALF1; FGF14; NRXN1; CSMD1; KHDRBS2; DLG2; PTPRD; ANKS1B; RIMS2; NAV3; MAGI2; NKAIN2; LRRC7; CSMD3; CADM2; FRMD4A; KALRN; CCSER1; AGBL4; MDGA2; CNTNAP2; NEGR1; GRM5; LINC-PINT; FGF12; KCNQ5","cell morphogenesis involved in neuron differentiation; regulation of system process; cardiac muscle cell action potential; neuron projection morphogenesis; social behavior; biological process involved in intraspecies interaction between organisms; synaptic transmission, glutamatergic; maintenance of synapse structure; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum; vocalization behavior; neuromuscular process; plasma membrane bounded cell projection morphogenesis; cell junction maintenance; cell projection morphogenesis; synapse organization; head development; cardiac muscle cell action potential involved in contraction; release of sequestered calcium ion into cytosol by sarcoplasmic reticulum; regulation of heart rate; behavior; retina layer formation; release of sequestered calcium ion into cytosol by endoplasmic reticulum; cell junction assembly; brain development; sarcoplasmic reticulum calcium ion transport; cell-cell adhesion; regulation of plasma membrane bounded cell projection organization; postsynaptic specialization organization; dendrite development; regulation of neuron projection development","0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0218995464039062; 0.0255751985902076; 0.0301199991917907; 0.0352726075397647; 0.0412819149151391; 0.0412819149151391; 0.0412819149151391; 0.0412819149151391; 0.0479634217047213; 0.0479634217047213; 0.0503969290997497; 0.0503969290997497; 0.0503969290997497; 0.0503969290997497; 0.0503969290997497; 0.0503969290997497"
"red","herv_HERVH.int; herv_HERV3.int; herv_HERVL.int; herv_HERVK.int; herv_HERVK13.int; herv_HERVE.int; herv_HERV17.int; AD_binary; herv_HERVK14.int; herv_HERVK22.int; herv_HERVK9.int; herv_HERVK11.int; herv_HERVK3.int; herv_HERV.Fc1.int","0.095; 0.072; -0.062; -0.053; -0.047; -0.039; -0.031; 0.031; -0.027; -0.024; -0.022; -0.013; 0.007; -0.004",153,"FAIM2; NRGN; THY1; NCDN; CLU; EEF1A2; CKB; HSP90AB1; ENO2; SYN1; PPP2R1A; TSPYL1; SNCB; PRKAR1B; SLC17A7; YPEL3; FKBP8; DNM1; JUND; CEND1; BSG; CTXN1; AP2M1; TUBB4A; TMEM59L; SELENOW; NPTX1; TPI1; PEA15; MAP1B","synaptic vesicle cycle; vesicle-mediated transport in synapse; synaptic signaling; chemical synaptic transmission; anterograde trans-synaptic signaling; trans-synaptic signaling; modulation of chemical synaptic transmission; regulation of trans-synaptic signaling; regulation of vesicle-mediated transport; regulated exocytosis; synaptic vesicle recycling; glucose catabolic process; receptor-mediated endocytosis; nucleoside diphosphate metabolic process; hexose catabolic process; developmental maturation; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; export from cell; secretion by cell; receptor internalization; regulation of synaptic vesicle cycle; monosaccharide catabolic process; negative regulation of programmed cell death; NADH regeneration; synaptic vesicle docking; canonical glycolysis; chaperone-mediated autophagy; glucose catabolic process to pyruvate; NAD catabolic process; response to copper ion","0.000311709303875967; 0.000311709303875967; 0.000311709303875967; 0.000818062094490574; 0.000818062094490574; 0.000831815578058308; 0.0114239977562469; 0.0114239977562469; 0.0142799440213343; 0.0176763580681981; 0.0267706036165728; 0.0330854637035528; 0.0900357327063964; 0.0986832981954436; 0.100762733543482; 0.100762733543482; 0.100762733543482; 0.100762733543482; 0.100762733543482; 0.119735270374321; 0.119908570490138; 0.119908570490138; 0.119908570490138; 0.119908570490138; 0.119908570490138; 0.119908570490138; 0.119908570490138; 0.119908570490138; 0.125404973927093; 0.125404973927093"
"turquoise","herv_HERVL.int; herv_HERVH.int; herv_HERVK11.int; herv_HERVK9.int; herv_HERVK22.int; herv_HERVK.int; herv_HERVK3.int; herv_HERV3.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVE.int; herv_HERVK13.int; AD_binary; herv_HERV.Fc1.int","0.173; 0.173; 0.145; 0.111; 0.085; 0.082; 0.059; 0.056; 0.051; 0.051; 0.049; 0.041; -0.032; -0.002",744,"CBLN2; DGKB; PDZD2; HS6ST3; CDH9; GRIA4; RASGRF2; SYN3; ENSG00000229618; TANC2; KCTD16; ATRNL1; CDH18; SIPA1L1; KCND2; IL1RAPL1; ROBO1; GALNTL6; LINC02306; TMEM178B; TESPA1; EPHA6; PPFIA2; PLEKHA5; CACNB2; NTRK3; CHRM3; PTPRO; DAB1; LINC01378","anatomical structure formation involved in morphogenesis; synapse organization; cell junction assembly; blood vessel morphogenesis; chemotaxis; taxis; angiogenesis; cell-substrate adhesion; locomotion; synaptic signaling; trans-synaptic signaling; chemical synaptic transmission; anterograde trans-synaptic signaling; positive regulation of cell differentiation; axon guidance; neuron projection guidance; G protein-coupled receptor signaling pathway; cell-matrix adhesion; regulation of locomotion; blood vessel development; regulation of synapse structure or activity; plasma membrane bounded cell projection morphogenesis; cell-cell adhesion; neuron projection morphogenesis; cell projection morphogenesis; regulation of system process; regulation of synapse organization; negative chemotaxis; regulation of cell motility; regulation of postsynaptic membrane potential","1.30561917350364e-05; 1.30561917350364e-05; 1.57942429914915e-05; 0.000140000703696249; 0.000140000703696249; 0.000140000703696249; 0.000140000703696249; 0.000143169526807406; 0.000143169526807406; 0.00014897139320881; 0.00014897139320881; 0.00017639333855236; 0.00017639333855236; 0.00017639333855236; 0.000247560355691491; 0.000261944862450266; 0.000261944862450266; 0.000372539065918754; 0.000455371741265992; 0.000501901529807378; 0.000541555128120811; 0.000622469835038693; 0.000623950279868926; 0.000623950279868926; 0.000623950279868926; 0.000623950279868926; 0.000623950279868926; 0.000671664040211073; 0.000824032689916091; 0.00101502504080484"
"yellow","herv_HERVH.int; herv_HERV3.int; herv_HERVK3.int; herv_HERVE.int; herv_HERVK9.int; herv_HERVK.int; AD_binary; herv_HERVK13.int; herv_HERVL.int; herv_HERVK11.int; herv_HERVK22.int; herv_HERV17.int; herv_HERV.Fc1.int; herv_HERVK14.int","0.124; 0.078; 0.036; -0.036; 0.03; -0.03; -0.024; -0.022; -0.013; -0.011; 0.009; -0.007; -0.006; 0.002",348,"CALM1; ACTB; CALM3; EIF4A2; ATP1B1; TSPAN7; TUBA1B; SERINC1; YWHAG; NORAD; CHN1; PNMA2; PKM; UCHL1; HSP90AA1; RAB3A; GAPDH; PSAP; PEBP1; PCSK1N; TMSB10; PRNP; YWHAH; STMN1; GDI1; RGS4; CFL1; KLC1; GNAS; ATP6V1B2","proton transmembrane transport; oxidative phosphorylation; cytoplasmic translation; respiratory electron transport chain; electron transport chain; cellular respiration; aerobic respiration; ATP synthesis coupled electron transport; mitochondrial ATP synthesis coupled electron transport; generation of precursor metabolites and energy; aerobic electron transport chain; vesicle-mediated transport in synapse; energy derivation by oxidation of organic compounds; mitochondrial electron transport, cytochrome c to oxygen; purine nucleotide metabolic process; ATP metabolic process; purine ribonucleoside triphosphate metabolic process; purine nucleoside triphosphate metabolic process; ribonucleoside triphosphate metabolic process; monoatomic cation transport; nucleotide metabolic process; ribose phosphate metabolic process; nucleoside triphosphate metabolic process; ribonucleotide metabolic process; cellular homeostasis; purine ribonucleotide metabolic process; synaptic vesicle cycle; inorganic cation transmembrane transport; ATP biosynthetic process; monoatomic cation transmembrane transport","5.29541727892855e-16; 1.49698048882111e-12; 1.49698048882111e-12; 6.24656808611781e-12; 2.6207626959385e-11; 7.28629220727345e-11; 8.38401870943411e-11; 9.37453357848254e-11; 9.37453357848254e-11; 2.07335876971946e-10; 7.39555596434555e-10; 4.05255336700884e-09; 6.38790474779939e-09; 3.5876569487471e-08; 4.14302632432049e-08; 4.19448853106212e-08; 1.16054769631066e-07; 1.68580714617387e-07; 1.68580714617387e-07; 1.95675646927873e-07; 1.95675646927873e-07; 3.29174240688957e-07; 4.08804973810613e-07; 6.68432753614943e-07; 7.3493996435213e-07; 7.3493996435213e-07; 1.43018445514826e-06; 1.66474454712202e-06; 3.3191460322973e-06; 3.3191460322973e-06"
"brown","herv_HERVK9.int; herv_HERVL.int; herv_HERVK14.int; herv_HERV17.int; herv_HERVK22.int; herv_HERVH.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERVK.int; herv_HERV3.int; herv_HERVK11.int; herv_HERVE.int; herv_HERV.Fc1.int; AD_binary","0.168; 0.108; 0.101; 0.098; 0.098; 0.082; 0.078; 0.075; 0.058; 0.05; 0.011; 0.006; 0.001; 0",452,"FOXP2; RORB; PTPRT; IL1RAPL2; POU6F2; CASC15; LINC03000; HTR1F; TOX; SLC35F1; FSTL5; NRG1; CLSTN2; ENSG00000253693; GRM3; TSHZ2; CPNE4; SLC44A5; CNTN5; GABRG3; DCC; SATB1-AS1; CACNB4; PCLO; RXFP1; FMN1; MYRIP; DPY19L1; GRIP1; PTCHD4","sensory perception; nervous system process; sensory perception of mechanical stimulus; transmission of nerve impulse; detection of stimulus; adenylate cyclase-modulating G protein-coupled receptor signaling pathway; G protein-coupled receptor signaling pathway; collagen fibril organization; regulation of membrane potential; synaptic signaling; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger; trans-synaptic signaling; axon guidance; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway; neuron projection guidance; action potential; detection of external stimulus; detection of abiotic stimulus; synapse assembly; enzyme-linked receptor protein signaling pathway; eye morphogenesis; positive regulation of MAPK cascade; cAMP-mediated signaling; neuronal action potential; homophilic cell adhesion via plasma membrane adhesion molecules; neuron maturation; detection of stimulus involved in sensory perception; G protein-coupled serotonin receptor signaling pathway; regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway; cell-cell adhesion via plasma-membrane adhesion molecules","0.00448323630522731; 0.00448323630522731; 0.130958632913489; 0.151361986098359; 0.151361986098359; 0.179861384773884; 0.201319238425883; 0.201319238425883; 0.201319238425883; 0.201319238425883; 0.207534730727199; 0.24837582105295; 0.24837582105295; 0.24837582105295; 0.24837582105295; 0.24837582105295; 0.24837582105295; 0.24837582105295; 0.24837582105295; 0.24837582105295; 0.24837582105295; 0.24837582105295; 0.264846193578491; 0.264846193578491; 0.264846193578491; 0.273822074839995; 0.273822074839995; 0.292510683946144; 0.292510683946144; 0.292510683946144"
"green","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVK3.int; herv_HERVK11.int; herv_HERVK13.int; herv_HERV3.int; AD_binary; herv_HERVE.int; herv_HERV.Fc1.int","0.245; 0.222; 0.197; 0.145; 0.14; 0.126; 0.119; 0.115; 0.111; 0.101; 0.074; -0.063; 0.041; 0.001",247,"TARBP1; UNC80; CCDC91; SLC12A2-DT; ICA1; LRRC28; DNAAF9; CYRIB; FAM135A; CHD6; INVS; MICU2; VEZT; TASP1; MAP4K3-DT; AGTPBP1; VPS8; RCOR3; ENSG00000255910; TTC39C; RNF13; TRPC1; TTC8; ZNF248; SUMF1; USP15; SCFD1; JAK1; GPATCH2; TMEM241","DNA-templated DNA replication; replication fork processing; DNA-templated DNA replication maintenance of fidelity; RNA modification; DNA conformation change; tRNA processing; tRNA modification; sphingolipid catabolic process; intraciliary transport; non-motile cilium assembly; cytoskeleton-dependent intracellular transport; microtubule-based transport; RNA methylation; interstrand cross-link repair; membrane lipid catabolic process; methylation; transport along microtubule; tRNA methylation; tRNA metabolic process; DNA geometric change; DNA synthesis involved in DNA repair; response to antibiotic; pentose metabolic process; rRNA methylation; embryonic eye morphogenesis; DNA replication; protein localization to cilium; tRNA wobble base modification; folic acid-containing compound metabolic process; membrane lipid metabolic process","0.689628556541649; 0.775795483046566; 0.817613341466376; 0.817613341466376; 0.954087590432673; 0.954087590432673; 0.954087590432673; 0.954087590432673; 0.954087590432673; 0.954087590432673; 0.954087590432673; 0.954087590432673; 0.954087590432673; 0.954087590432673; 0.954087590432673; 0.984272199905001; 0.984272199905001; 0.984272199905001; 0.984272199905001; 0.984272199905001; 0.984272199905001; 0.984272199905001; 0.99986841886437; 0.99986841886437; 0.99986841886437; 0.99986841886437; 0.99986841886437; 0.99986841886437; 0.99986841886437; 0.99986841886437"
"magenta","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK.int; herv_HERVK11.int; herv_HERVK3.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVK13.int; herv_HERV3.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.226; 0.208; 0.202; 0.145; 0.118; 0.116; 0.11; 0.11; 0.109; 0.09; 0.076; 0.042; -0.034; -0.005",61,"UBR3; BIRC6; PPP1R12A; WDFY3; C2CD5; MAP4K3; RASA2; BRAF; TNKS; EXOC6; TNPO1; PHF14; LYST; MON2; SH3GL3; SETD5; MYO6; SLC41A2; YTHDC2; ASXL3; REPS1; PAN3; TENT2; XRN1; ARAP2; UVRAG; ODF2L; MAP4K5; LRRFIP2; RFX7","cytokinesis; centrosome cycle; microtubule organizing center organization; sensory perception of smell; microtubule cytoskeleton organization; histone mRNA metabolic process; negative regulation of chromosome organization; animal organ morphogenesis; determination of left/right symmetry; pattern specification process; sensory perception of chemical stimulus; regulation of microtubule-based movement; regulation of neuroblast proliferation; mitotic cytokinesis; specification of symmetry; determination of bilateral symmetry; negative regulation of telomere maintenance via telomere lengthening; positive regulation of reproductive process; left/right pattern formation; response to purine-containing compound; positive regulation of D-glucose transmembrane transport; heart looping; negative regulation of organelle organization; negative regulation of DNA metabolic process; negative regulation of telomere maintenance; determination of heart left/right asymmetry; vesicle tethering; embryonic placenta development; embryonic heart tube morphogenesis; body morphogenesis","0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163; 0.492590218415163"
"pink","herv_HERVK9.int; herv_HERVL.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERV3.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.203; 0.194; 0.177; 0.144; 0.114; 0.109; 0.104; 0.101; 0.093; 0.091; 0.079; 0.047; -0.006; -0.002",74,"GDAP1; SSBP2; SOS1; FUT9; HIBCH; ENSG00000293321; PPM1E; DUBR; DENND5B; ATP2C1; NR3C1; FAM95B1; UBR2; CHPT1; MIR2052HG; DPH6-DT; ENSG00000291293; SLC5A4-AS1; ENSG00000294497; TMEM135; ENSG00000297079; ENSG00000295954; ATF6; KANSL1L; TNFSF13B; SEM1; ENSG00000224905; KMT2E-AS1; ENSG00000269237; TTC28-AS1","hexose metabolic process; regulation of glucose metabolic process; B cell homeostasis; monosaccharide metabolic process; reciprocal meiotic recombination; reciprocal homologous recombination; hexose catabolic process; homologous recombination; small molecule catabolic process; eye development; visual system development; sensory system development; peroxisome organization; monosaccharide catabolic process; positive regulation of neuron apoptotic process; mitochondrial fission; regulation of carbohydrate metabolic process; lymphocyte homeostasis; mononuclear cell differentiation; regulation of gluconeogenesis; immune response-activating cell surface receptor signaling pathway; carbohydrate biosynthetic process; glucose metabolic process; immune response-regulating cell surface receptor signaling pathway; meiosis I; meiosis I cell cycle process; organelle fission; sensory organ development; leukocyte homeostasis; leukocyte differentiation","0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.349440965912647; 0.381766804972133; 0.381766804972133; 0.381766804972133; 0.381766804972133; 0.381766804972133; 0.381766804972133; 0.381766804972133; 0.381766804972133; 0.382256459961894; 0.382256459961894; 0.382256459961894; 0.382256459961894; 0.382256459961894; 0.382256459961894; 0.382256459961894; 0.382256459961894"
"purple","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERV17.int; herv_HERVK22.int; herv_HERVK11.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERVK14.int; AD_binary; herv_HERVK.int; herv_HERV3.int; herv_HERVE.int; herv_HERV.Fc1.int","0.153; 0.125; 0.098; 0.079; 0.075; 0.075; 0.073; 0.068; 0.066; -0.06; 0.048; 0.038; 0.014; 0",52,"LAMA2; NTNG1; ENSG00000229425; COL5A2; RMST; PTPRK; HDAC9; ENSG00000286610; MAST4; OLFM3; ENSG00000288902; SEMA6D; ANO3; TCERG1L; L3MBTL4; SYNPR; ENSG00000290482; CARMIL1; LPP; OSBPL3; CDH8; NOL4; PARP8; ANTXR2; LINC02296; OTOGL; PLCL1; RHOBTB1; SHROOM3; FAM13A","regulation of cell migration; regulation of cell motility; regulation of locomotion; actin filament organization; neural crest cell migration; mesenchymal cell migration; detection of mechanical stimulus; locomotion; response to mechanical stimulus; semaphorin-plexin signaling pathway; actomyosin structure organization; supramolecular fiber organization; neural crest cell development; negative chemotaxis; regulation of neuron migration; stem cell development; neural crest cell differentiation; positive regulation of cell migration; sensory organ development; positive regulation of cell motility; positive regulation of locomotion; regulation of stress fiber assembly; detection of external stimulus; detection of abiotic stimulus; sprouting angiogenesis; regulation of actomyosin structure organization; axon guidance; neuron projection guidance; chloride transport; actin cytoskeleton organization","0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924; 0.398065499206924"
