"module","trait","cor","n_gene","hub_gene","GO","GO_padj"
"black","herv_HERVL.int; herv_HERVK9.int; herv_HERVK.int; herv_HERVK22.int; herv_HERVK13.int; herv_HERV17.int; herv_HERVK14.int; AD_binary; herv_HERVK3.int; herv_HERVH.int; herv_HERVE.int; herv_HERVK11.int; herv_HERV3.int; herv_HERV.Fc1.int","-0.128; -0.102; -0.079; -0.077; -0.071; -0.064; -0.058; 0.055; -0.052; -0.036; -0.033; -0.02; 0.014; -0.003",130,"MT-CO3; MT-CO1; MT-CO2; MT-ND4; MT-RNR2; MT-ND3; MT-ND1; MT-CYB; MT-ND2; MT-ATP6; MT-RNR1; MT-ND5; PHYHIP; MT-ND4L; GRIN1; LY6H; PSD; DNAJB2; CAMK2A; PDZD4; CHD5; ZBTB7A; ADGRB2; MAPK11; PPFIA3; KIFC2; ACAP3; DPP7; NPTXR; MT-ATP8","ligand-gated sodium channel activity; gated channel activity; monoatomic ion channel activity; sodium channel activity; channel activity; passive transmembrane transporter activity; ligand-gated monoatomic ion channel activity; ligand-gated monoatomic cation channel activity; ligand-gated channel activity; monoatomic cation channel activity; calcium channel regulator activity; protein serine/threonine kinase activity; inorganic molecular entity transmembrane transporter activity; protein serine kinase activity; protein kinase activity; kinase binding; diacylglycerol-dependent serine/threonine kinase activity; monoatomic ion transmembrane transporter activity; transmembrane signaling receptor activity; transmitter-gated monoatomic ion channel activity; transmitter-gated channel activity; translation elongation factor activity; phosphotransferase activity, alcohol group as acceptor; extracellular ligand-gated monoatomic ion channel activity; glutamate-gated receptor activity; sodium ion transmembrane transporter activity; monoatomic ion-gated channel activity; kinase activity; inorganic cation transmembrane transporter activity; extracellular matrix binding","0.00415454391761834; 0.015963936571881; 0.0222070283019751; 0.0222070283019751; 0.0222070283019751; 0.0222070283019751; 0.0222070283019751; 0.0222070283019751; 0.0222070283019751; 0.0363991121477936; 0.142990329534981; 0.142990329534981; 0.142990329534981; 0.142990329534981; 0.142990329534981; 0.142990329534981; 0.142990329534981; 0.142990329534981; 0.142990329534981; 0.142990329534981; 0.142990329534981; 0.149736886728312; 0.149736886728312; 0.149736886728312; 0.167849946502062; 0.181711766459634; 0.210343474561133; 0.210937952179374; 0.216417980625421; 0.216417980625421"
"blue","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK3.int; herv_HERVK13.int; AD_binary; herv_HERV3.int; herv_HERVE.int; herv_HERV.Fc1.int","0.227; 0.225; 0.176; 0.148; 0.132; 0.126; 0.121; 0.121; 0.105; 0.102; -0.072; 0.063; 0.047; -0.004",528,"ADGRB3; NRG3; RALYL; PDE4D; NALF1; FGF14; NRXN1; CSMD1; KHDRBS2; DLG2; PTPRD; ANKS1B; RIMS2; NAV3; MAGI2; NKAIN2; LRRC7; CSMD3; CADM2; FRMD4A; KALRN; CCSER1; AGBL4; MDGA2; CNTNAP2; NEGR1; GRM5; LINC-PINT; FGF12; KCNQ5","glutamate receptor activity; gated channel activity; ion channel regulator activity; channel regulator activity; transporter regulator activity; high voltage-gated calcium channel activity; calcium channel activity; PDZ domain binding; calcium ion transmembrane transporter activity; adrenergic receptor binding; neurotransmitter receptor activity; transmitter-gated monoatomic ion channel activity; transmitter-gated channel activity; monoatomic cation channel activity; monoatomic ion channel activity; extracellular ligand-gated monoatomic ion channel activity; G-protein alpha-subunit binding; postsynaptic neurotransmitter receptor activity; ligand-gated calcium channel activity; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential; SH3 domain binding; voltage-gated monoatomic cation channel activity; channel activity; passive transmembrane transporter activity; voltage-gated monoatomic ion channel activity; cyclic nucleotide binding; dynein light intermediate chain binding; lipid binding; voltage-gated calcium channel activity; nucleobase-containing compound kinase activity","0.164712706654274; 0.164712706654274; 0.164712706654274; 0.164712706654274; 0.164712706654274; 0.164712706654274; 0.164712706654274; 0.164712706654274; 0.165269814540369; 0.173430315684903; 0.184152941070067; 0.217089901850812; 0.217089901850812; 0.225575360321896; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448; 0.226589203958448"
"red","herv_HERVH.int; herv_HERV3.int; herv_HERVL.int; herv_HERVK.int; herv_HERVK13.int; herv_HERVE.int; herv_HERV17.int; AD_binary; herv_HERVK14.int; herv_HERVK22.int; herv_HERVK9.int; herv_HERVK11.int; herv_HERVK3.int; herv_HERV.Fc1.int","0.095; 0.072; -0.062; -0.053; -0.047; -0.039; -0.031; 0.031; -0.027; -0.024; -0.022; -0.013; 0.007; -0.004",153,"FAIM2; NRGN; THY1; NCDN; CLU; EEF1A2; CKB; HSP90AB1; ENO2; SYN1; PPP2R1A; TSPYL1; SNCB; PRKAR1B; SLC17A7; YPEL3; FKBP8; DNM1; JUND; CEND1; BSG; CTXN1; AP2M1; TUBB4A; TMEM59L; SELENOW; NPTX1; TPI1; PEA15; MAP1B","ubiquitin-like protein ligase binding; G-protein beta-subunit binding; clathrin adaptor activity; MAP-kinase scaffold activity; GTPase activity; cargo adaptor activity; proton transmembrane transporter activity; kinesin binding; ATPase-coupled ion transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of ions, rotational mechanism; proton-transporting ATPase activity, rotational mechanism; molecular function activator activity; low-density lipoprotein particle receptor binding; disordered domain specific binding; lipoprotein particle receptor binding; peptide binding; ubiquitin protein ligase binding; tau protein binding; carbon-oxygen lyase activity; molecular function inhibitor activity; sodium channel regulator activity; signaling receptor regulator activity; kinase binding; enzyme activator activity; GDP-dissociation inhibitor activity; dopamine receptor binding; transmembrane transporter binding; ion channel regulator activity; MHC protein complex binding; hydro-lyase activity","0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.0998391498186867; 0.118641554477557; 0.118641554477557; 0.127230704384031; 0.127230704384031; 0.127230704384031; 0.130246328993246; 0.148960149681807; 0.157564425689037; 0.166383700560424; 0.169855074406101; 0.189213189794956; 0.234537829636358; 0.234537829636358; 0.234537829636358; 0.24153893652161; 0.248243842832164; 0.248243842832164; 0.248243842832164"
"turquoise","herv_HERVL.int; herv_HERVH.int; herv_HERVK11.int; herv_HERVK9.int; herv_HERVK22.int; herv_HERVK.int; herv_HERVK3.int; herv_HERV3.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVE.int; herv_HERVK13.int; AD_binary; herv_HERV.Fc1.int","0.173; 0.173; 0.145; 0.111; 0.085; 0.082; 0.059; 0.056; 0.051; 0.051; 0.049; 0.041; -0.032; -0.002",744,"CBLN2; DGKB; PDZD2; HS6ST3; CDH9; GRIA4; RASGRF2; SYN3; ENSG00000229618; TANC2; KCTD16; ATRNL1; CDH18; SIPA1L1; KCND2; IL1RAPL1; ROBO1; GALNTL6; LINC02306; TMEM178B; TESPA1; EPHA6; PPFIA2; PLEKHA5; CACNB2; NTRK3; CHRM3; PTPRO; DAB1; LINC01378","transmembrane signaling receptor activity; signaling receptor activity; molecular transducer activity; ligand-gated monoatomic ion channel activity; ligand-gated channel activity; gated channel activity; monoatomic ion channel activity; channel activity; passive transmembrane transporter activity; integrin binding; ligand-gated monoatomic cation channel activity; protein kinase activity; actin binding; neurotransmitter receptor activity; monoatomic cation channel activity; phosphotransferase activity, alcohol group as acceptor; metal ion transmembrane transporter activity; calcium ion binding; kinase activity; monoatomic ion transmembrane transporter activity; transmembrane receptor protein kinase activity; protein tyrosine kinase activity; voltage-gated monoatomic cation channel activity; glutamate receptor activity; extracellular ligand-gated monoatomic ion channel activity; actin filament binding; postsynaptic neurotransmitter receptor activity; inward rectifier potassium channel activity; potassium ion transmembrane transporter activity; inorganic molecular entity transmembrane transporter activity","4.28461511824019e-07; 8.12260022995936e-06; 8.12260022995936e-06; 4.15217157631667e-05; 4.2508503149802e-05; 4.4614970514865e-05; 0.000146854424379506; 0.000146854424379506; 0.000146854424379506; 0.000223019288596619; 0.000502705527801098; 0.00122455553223991; 0.00126356683928767; 0.00150746563249338; 0.00150746563249338; 0.00150746563249338; 0.00245838617824382; 0.00245838617824382; 0.00416055348757096; 0.0101803025274447; 0.0110073686927102; 0.0110073686927102; 0.0120136198932361; 0.0120136198932361; 0.0120136198932361; 0.0162088825481278; 0.0176251646786448; 0.0176251646786448; 0.0178983745972339; 0.0178983745972339"
"yellow","herv_HERVH.int; herv_HERV3.int; herv_HERVK3.int; herv_HERVE.int; herv_HERVK9.int; herv_HERVK.int; AD_binary; herv_HERVK13.int; herv_HERVL.int; herv_HERVK11.int; herv_HERVK22.int; herv_HERV17.int; herv_HERV.Fc1.int; herv_HERVK14.int","0.124; 0.078; 0.036; -0.036; 0.03; -0.03; -0.024; -0.022; -0.013; -0.011; 0.009; -0.007; -0.006; 0.002",348,"CALM1; ACTB; CALM3; EIF4A2; ATP1B1; TSPAN7; TUBA1B; SERINC1; YWHAG; NORAD; CHN1; PNMA2; PKM; UCHL1; HSP90AA1; RAB3A; GAPDH; PSAP; PEBP1; PCSK1N; TMSB10; PRNP; YWHAH; STMN1; GDI1; RGS4; CFL1; KLC1; GNAS; ATP6V1B2","proton transmembrane transporter activity; structural constituent of ribosome; structural molecule activity; primary active transmembrane transporter activity; active monoatomic ion transmembrane transporter activity; oxidoreduction-driven active transmembrane transporter activity; active transmembrane transporter activity; inorganic cation transmembrane transporter activity; monoatomic cation transmembrane transporter activity; electron transfer activity; inorganic molecular entity transmembrane transporter activity; ATPase-coupled monoatomic cation transmembrane transporter activity; GTP binding; ubiquitin protein ligase binding; oxidoreductase activity; monoatomic ion transmembrane transporter activity; guanyl nucleotide binding; guanyl ribonucleotide binding; ubiquitin-like protein ligase binding; molecular function inhibitor activity; ATPase-coupled ion transmembrane transporter activity; ATPase activity, coupled to transmembrane movement of ions, rotational mechanism; proton-transporting ATPase activity, rotational mechanism; structural constituent of cytoskeleton; ATPase-coupled transmembrane transporter activity; MHC protein complex binding; transmembrane transporter activity; amide binding; endopeptidase inhibitor activity; antioxidant activity","2.80034340852997e-13; 1.113936113597e-12; 3.13134468610381e-10; 1.03291191474035e-09; 4.41943801706962e-09; 1.00112669272198e-06; 2.60556729413354e-06; 5.49789760813944e-06; 1.05875338674889e-05; 4.72355131488114e-05; 0.000108896663558416; 0.000165144799003512; 0.000191583164947584; 0.000191583164947584; 0.000206048493257035; 0.000206048493257035; 0.000282388989395397; 0.000282388989395397; 0.000336456202832137; 0.000347350767008906; 0.00057610834318744; 0.00057610834318744; 0.00057610834318744; 0.00100117427442363; 0.00115413217487279; 0.00119671652298079; 0.00259225590913653; 0.0044123539764847; 0.00457355887975613; 0.00457355887975613"
"brown","herv_HERVK9.int; herv_HERVL.int; herv_HERVK14.int; herv_HERV17.int; herv_HERVK22.int; herv_HERVH.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERVK.int; herv_HERV3.int; herv_HERVK11.int; herv_HERVE.int; herv_HERV.Fc1.int; AD_binary","0.168; 0.108; 0.101; 0.098; 0.098; 0.082; 0.078; 0.075; 0.058; 0.05; 0.011; 0.006; 0.001; 0",452,"FOXP2; RORB; PTPRT; IL1RAPL2; POU6F2; CASC15; LINC03000; HTR1F; TOX; SLC35F1; FSTL5; NRG1; CLSTN2; ENSG00000253693; GRM3; TSHZ2; CPNE4; SLC44A5; CNTN5; GABRG3; DCC; SATB1-AS1; CACNB4; PCLO; RXFP1; FMN1; MYRIP; DPY19L1; GRIP1; PTCHD4","transmembrane signaling receptor activity; signaling receptor activity; molecular transducer activity; calcium-dependent phospholipid binding; G protein-coupled receptor activity; calcium ion binding; sialyltransferase activity; neurotransmitter receptor activity; phosphoric diester hydrolase activity; sulfotransferase activity; extracellular matrix structural constituent; GTPase regulator activity; nucleoside-triphosphatase regulator activity; cytokine receptor activity; G protein-coupled amine receptor activity; 3',5'-cyclic-nucleotide phosphodiesterase activity; 3',5'-cyclic-AMP phosphodiesterase activity; cAMP binding; 3',5'-cyclic-GMP phosphodiesterase activity; immune receptor activity; transmembrane receptor protein kinase activity; potassium channel activity; gated channel activity; voltage-gated potassium channel activity; monoatomic ion channel activity; cyclic-nucleotide phosphodiesterase activity; voltage-gated monoatomic cation channel activity; channel activity; passive transmembrane transporter activity; extracellular matrix structural constituent conferring tensile strength","1.02292024029222e-05; 0.000168953985720873; 0.000168953985720873; 0.00500672845484206; 0.00884307908659612; 0.00884307908659612; 0.00961691627047754; 0.0174671211242516; 0.0174671211242516; 0.0575815394850741; 0.0585095456275241; 0.0585095456275241; 0.0585095456275241; 0.0585095456275241; 0.0585095456275241; 0.0610479857795664; 0.0610479857795664; 0.0610479857795664; 0.0610479857795664; 0.0610479857795664; 0.0633236308565699; 0.0633236308565699; 0.0633236308565699; 0.0633236308565699; 0.0633236308565699; 0.0633236308565699; 0.072310531856106; 0.0903532803710999; 0.0903532803710999; 0.0925886184611021"
"green","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVK3.int; herv_HERVK11.int; herv_HERVK13.int; herv_HERV3.int; AD_binary; herv_HERVE.int; herv_HERV.Fc1.int","0.245; 0.222; 0.197; 0.145; 0.14; 0.126; 0.119; 0.115; 0.111; 0.101; 0.074; -0.063; 0.041; 0.001",247,"TARBP1; UNC80; CCDC91; SLC12A2-DT; ICA1; LRRC28; DNAAF9; CYRIB; FAM135A; CHD6; INVS; MICU2; VEZT; TASP1; MAP4K3-DT; AGTPBP1; VPS8; RCOR3; ENSG00000255910; TTC39C; RNF13; TRPC1; TTC8; ZNF248; SUMF1; USP15; SCFD1; JAK1; GPATCH2; TMEM241","catalytic activity, acting on a nucleic acid; ATP-dependent activity, acting on DNA; catalytic activity, acting on DNA; transferase activity, transferring one-carbon groups; catalytic activity, acting on RNA; RNA methyltransferase activity; methyltransferase activity; catalytic activity, acting on a tRNA; molecular sensor activity; tRNA methyltransferase activity; lysine-acetylated histone binding; histone reader activity; nuclease activity; acetylation-dependent protein binding; helicase activity; ATP-dependent activity; ATP-dependent chromatin remodeler activity; modification-dependent protein binding; extracellular matrix structural constituent; methylated histone binding; DNA helicase activity; four-way junction DNA binding; hydro-lyase activity; methylation-dependent protein binding; chromatin-protein adaptor activity; carbohydrate kinase activity; DNA-directed DNA polymerase activity; amide transmembrane transporter activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; endopeptidase activity","0.0121459972605478; 0.177293074315746; 0.192142226709914; 0.204322937999095; 0.22829923486628; 0.22829923486628; 0.22829923486628; 0.22829923486628; 0.22829923486628; 0.22829923486628; 0.22829923486628; 0.22829923486628; 0.22829923486628; 0.236575498426264; 0.249183497612371; 0.385884181573643; 0.385884181573643; 0.385884181573643; 0.385884181573643; 0.385884181573643; 0.385884181573643; 0.385884181573643; 0.385884181573643; 0.385884181573643; 0.387007905465734; 0.387007905465734; 0.43417029163413; 0.47997312646628; 0.47997312646628; 0.47997312646628"
"magenta","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK.int; herv_HERVK11.int; herv_HERVK3.int; herv_HERV17.int; herv_HERVK14.int; herv_HERVK13.int; herv_HERV3.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.226; 0.208; 0.202; 0.145; 0.118; 0.116; 0.11; 0.11; 0.109; 0.09; 0.076; 0.042; -0.034; -0.005",61,"UBR3; BIRC6; PPP1R12A; WDFY3; C2CD5; MAP4K3; RASA2; BRAF; TNKS; EXOC6; TNPO1; PHF14; LYST; MON2; SH3GL3; SETD5; MYO6; SLC41A2; YTHDC2; ASXL3; REPS1; PAN3; TENT2; XRN1; ARAP2; UVRAG; ODF2L; MAP4K5; LRRFIP2; RFX7","RNA polymerase binding; MAP kinase kinase kinase activity; RNA exonuclease activity; RNA exonuclease activity, producing 5'-phosphomonoesters; small GTPase binding; nucleocytoplasmic carrier activity; nucleotidyltransferase activity; GTPase binding; exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters; RNA polymerase core enzyme binding; GTPase activator activity; histone H2AS1 kinase activity; histone H2A kinase activity; exonuclease activity; histone kinase activity; RNA nuclease activity; phosphoprotein binding; molecular carrier activity; catalytic activity, acting on RNA; GTPase regulator activity; nucleoside-triphosphatase regulator activity; protein kinase binding; histone modifying activity; molecular function inhibitor activity; poly(A)-specific ribonuclease activity; intracellularly ligand-gated monoatomic ion channel activity; histone H3K36 methyltransferase activity; carboxylic acid binding; organic acid binding; RNA polymerase II core promoter sequence-specific DNA binding","0.0525246159164533; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054; 0.391145121590054"
"pink","herv_HERVK9.int; herv_HERVL.int; herv_HERVH.int; herv_HERVK22.int; herv_HERVK14.int; herv_HERVK11.int; herv_HERVK.int; herv_HERV17.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERV3.int; herv_HERVE.int; AD_binary; herv_HERV.Fc1.int","0.203; 0.194; 0.177; 0.144; 0.114; 0.109; 0.104; 0.101; 0.093; 0.091; 0.079; 0.047; -0.006; -0.002",74,"GDAP1; SSBP2; SOS1; FUT9; HIBCH; ENSG00000293321; PPM1E; DUBR; DENND5B; ATP2C1; NR3C1; FAM95B1; UBR2; CHPT1; MIR2052HG; DPH6-DT; ENSG00000291293; SLC5A4-AS1; ENSG00000294497; TMEM135; ENSG00000297079; ENSG00000295954; ATF6; KANSL1L; TNFSF13B; SEM1; ENSG00000224905; KMT2E-AS1; ENSG00000269237; TTC28-AS1","RNA polymerase II cis-regulatory region sequence-specific DNA binding; cis-regulatory region sequence-specific DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription factor activity; manganese ion binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; ATPase-coupled transmembrane transporter activity; carboxylic acid binding; organic acid binding; antigen binding; tumor necrosis factor receptor binding; mismatched DNA binding; nuclear steroid receptor activity; phosphorus-oxygen lyase activity; MHC protein complex binding; L-ascorbic acid binding; heat shock protein binding; acyl-CoA hydrolase activity; fatty acyl-CoA hydrolase activity; DNA damage sensor activity; carbohydrate binding; primary active transmembrane transporter activity; cyclase activity; P-type ion transporter activity; P-type transmembrane transporter activity; immune receptor activity; epidermal growth factor receptor binding; SUMO binding; mRNA 5'-UTR binding; MHC protein binding","0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155; 0.317088147838155"
"purple","herv_HERVL.int; herv_HERVK9.int; herv_HERVH.int; herv_HERV17.int; herv_HERVK22.int; herv_HERVK11.int; herv_HERVK13.int; herv_HERVK3.int; herv_HERVK14.int; AD_binary; herv_HERVK.int; herv_HERV3.int; herv_HERVE.int; herv_HERV.Fc1.int","0.153; 0.125; 0.098; 0.079; 0.075; 0.075; 0.073; 0.068; 0.066; -0.06; 0.048; 0.038; 0.014; 0",52,"LAMA2; NTNG1; ENSG00000229425; COL5A2; RMST; PTPRK; HDAC9; ENSG00000286610; MAST4; OLFM3; ENSG00000288902; SEMA6D; ANO3; TCERG1L; L3MBTL4; SYNPR; ENSG00000290482; CARMIL1; LPP; OSBPL3; CDH8; NOL4; PARP8; ANTXR2; LINC02296; OTOGL; PLCL1; RHOBTB1; SHROOM3; FAM13A","neuropilin binding; semaphorin receptor binding; chemorepellent activity; kinase binding; extracellular matrix structural constituent; protein kinase binding; beta-catenin binding; phospholipase C activity; protein-containing complex destabilizing activity; lipid transporter activity; NAD+-protein poly-ADP-ribosyltransferase activity; phosphorus-oxygen lyase activity; L-ascorbic acid binding; NAD+-protein ADP-ribosyltransferase activity; receptor ligand activity; cyclase activity; alpha-actinin binding; transmembrane receptor protein tyrosine phosphatase activity; transmembrane receptor protein phosphatase activity; signaling receptor activator activity; structural constituent of muscle; extracellular matrix structural constituent conferring tensile strength; actinin binding; mitogen-activated protein kinase binding; sterol transfer activity; molecular function activator activity; signaling receptor regulator activity; histone deacetylase activity; cyclic nucleotide binding; protein lysine deacetylase activity","0.256313380170641; 0.256313380170641; 0.274080203942218; 0.274080203942218; 0.288875735797261; 0.400701674701901; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.47901928648984; 0.489017461749512"
