"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031175","neuron projection development","60/225","497/5363",0.120724346076459,2.87753185781355,9.19468956095969,7.1491621051865e-15,1.76369829134951e-11,1.56980548962306e-11,"RERE/MACF1/DAB1/LRRC7/NEGR1/NTNG1/DNM3/TNR/NRXN1/CTNNA2/MAP2/CHL1/GRM7/KAT2B/CLASP2/ALCAM/NLGN1/APBB2/GRID2/PPP3CA/GPM6A/SEMA5A/CTNND2/ADGRB3/SGK1/MAGI2/NRCAM/PTPRZ1/CNTNAP2/TOX/CSMD3/ASAP1/ADGRB1/PTPRD/NFIB/NTRK2/PARD3/ANK3/BRSK2/APBB1/LRRC4C/NCAM1/CNTN1/PPFIA2/MYCBP2/NRXN3/NTRK3/MAPK8IP3/TANC2/DCC/CARM1/CC2D1A/SPTBN4/NCAM2/OLIG2/DSCAM/IL1RAPL1/DMD/OPHN1/NLGN3",60
"GO:0048812","neuron projection morphogenesis","46/225","336/5363",0.136904761904762,3.26320105820106,8.96594246214328,2.12051572578581e-13,2.61565614775679e-10,2.32810305473115e-10,"RERE/MACF1/DAB1/NEGR1/NTNG1/DNM3/TNR/NRXN1/CTNNA2/MAP2/CHL1/CLASP2/ALCAM/NLGN1/APBB2/PPP3CA/GPM6A/SEMA5A/CTNND2/ADGRB3/SGK1/NRCAM/PTPRZ1/CNTNAP2/ADGRB1/PTPRD/NFIB/NTRK2/PARD3/ANK3/BRSK2/APBB1/LRRC4C/NCAM1/CNTN1/PPFIA2/MYCBP2/NRXN3/TANC2/DCC/CC2D1A/SPTBN4/DSCAM/IL1RAPL1/OPHN1/NLGN3",46
"GO:0050808","synapse organization","42/225","288/5363",0.145833333333333,3.47601851851852,9.03836182361032,3.21389909520903e-13,2.64289635596022e-10,2.3523486009144e-10,"DAB1/NFIA/NEGR1/NTNG1/DNM3/TNR/NRXN1/CTNNA2/ERBB4/AGAP1/CLASP2/NLGN1/APBB2/ADGRL3/GRID2/GPM6A/CTNND2/ADGRB3/NRCAM/ASAP1/ADGRB1/PTPRD/NTRK2/ANK3/LRRTM3/NRG3/LRRC4C/GRM5/PPFIA2/HIP1R/MYCBP2/GPHN/TANC2/CDH2/CC2D1A/SPTBN4/DSCAM/SEZ6L/NLGN4X/IL1RAPL1/OPHN1/NLGN3",42
"GO:0120039","plasma membrane bounded cell projection morphogenesis","46/225","345/5363",0.133333333333333,3.17807407407407,8.75133841849041,5.69102661440428e-13,2.89936373048656e-10,2.58062114300129e-10,"RERE/MACF1/DAB1/NEGR1/NTNG1/DNM3/TNR/NRXN1/CTNNA2/MAP2/CHL1/CLASP2/ALCAM/NLGN1/APBB2/PPP3CA/GPM6A/SEMA5A/CTNND2/ADGRB3/SGK1/NRCAM/PTPRZ1/CNTNAP2/ADGRB1/PTPRD/NFIB/NTRK2/PARD3/ANK3/BRSK2/APBB1/LRRC4C/NCAM1/CNTN1/PPFIA2/MYCBP2/NRXN3/TANC2/DCC/CC2D1A/SPTBN4/DSCAM/IL1RAPL1/OPHN1/NLGN3",46
"GO:0034330","cell junction organization","49/225","387/5363",0.126614987080103,3.01793855871375,8.62344602624906,6.38321955522211e-13,2.89936373048656e-10,2.58062114300129e-10,"MACF1/DAB1/NFIA/NEGR1/NTNG1/DNM3/TNR/NRXN1/CTNNA2/ERBB4/AGAP1/CLASP2/NLGN1/APBB2/ADGRL3/GRID2/ANK2/GPM6A/CTNND2/DST/ADGRB3/NRCAM/CNTNAP2/ASAP1/ADGRB1/PTPRD/NTRK2/PARD3/ANK3/LRRTM3/NRG3/LRRC4C/GRM5/PPFIA2/HIP1R/MYCBP2/GPHN/TANC2/PRKCA/CDH2/CDH20/CC2D1A/SPTBN4/DSCAM/SEZ6L/NLGN4X/IL1RAPL1/OPHN1/NLGN3",49
"GO:0048858","cell projection morphogenesis","46/225","347/5363",0.132564841498559,3.15975664425232,8.70459172690784,7.05155345882423e-13,2.89936373048656e-10,2.58062114300129e-10,"RERE/MACF1/DAB1/NEGR1/NTNG1/DNM3/TNR/NRXN1/CTNNA2/MAP2/CHL1/CLASP2/ALCAM/NLGN1/APBB2/PPP3CA/GPM6A/SEMA5A/CTNND2/ADGRB3/SGK1/NRCAM/PTPRZ1/CNTNAP2/ADGRB1/PTPRD/NFIB/NTRK2/PARD3/ANK3/BRSK2/APBB1/LRRC4C/NCAM1/CNTN1/PPFIA2/MYCBP2/NRXN3/TANC2/DCC/CC2D1A/SPTBN4/DSCAM/IL1RAPL1/OPHN1/NLGN3",46
"GO:0048667","cell morphogenesis involved in neuron differentiation","42/225","297/5363",0.141414141414141,3.37068462401796,8.79583408630057,9.3896757060796e-13,3.15429723088745e-10,2.80752843796267e-10,"RERE/MACF1/DAB1/NTNG1/DNM3/TNR/NRXN1/CTNNA2/MAP2/CHL1/CLASP2/ALCAM/NLGN1/APBB2/PPP3CA/SEMA5A/CTNND2/ADGRB3/NRCAM/PTPRZ1/ADGRB1/PTPRD/NFIB/NTRK2/PARD3/ANK3/BRSK2/APBB1/LRRC4C/NCAM1/CNTN1/PPFIA2/MYCBP2/NRXN3/TANC2/DCC/CC2D1A/SPTBN4/DSCAM/IL1RAPL1/OPHN1/NLGN3",42
"GO:0007155","cell adhesion","56/225","493/5363",0.113590263691684,2.70748704079333,8.32480384563451,1.02287709149167e-12,3.15429723088745e-10,2.80752843796267e-10,"MACF1/DAB1/LRRC7/NEGR1/NTNG1/TNR/NRXN1/CTNNA2/CNTNAP5/CHL1/CLASP2/CADM2/ALCAM/LSAMP/NLGN1/PCDH7/ADGRL3/GRID2/PPP3CA/SEMA5A/CTNND2/PDZD2/VCAN/EDIL3/DST/NRCAM/CNTNAP2/SMARCD3/SORBS3/ADGRB1/PTPRD/PARD3/PCDH15/ANK3/LRRC4C/DLG2/NCAM1/CADM1/HEPACAM/NTM/OPCML/CNTN1/PPFIA2/PCDH9/ZFP36L1/NRXN3/SMARCD2/PRKCA/CDH2/DCC/CDH20/NCAM2/DSCAM/NLGN4X/IL1RAPL1/NLGN3",56
"GO:0010975","regulation of neuron projection development","34/225","233/5363",0.145922746781116,3.47814973772055,8.0929048841604,7.76153900362336e-11,2.12752408021542e-08,1.89363396041618e-08,"MACF1/DAB1/LRRC7/NEGR1/NTNG1/DNM3/TNR/CTNNA2/MAP2/KAT2B/NLGN1/GRID2/PPP3CA/SEMA5A/ADGRB3/MAGI2/NRCAM/TOX/CSMD3/PTPRD/NTRK2/BRSK2/APBB1/LRRC4C/CNTN1/PPFIA2/MYCBP2/NTRK3/TANC2/DCC/CARM1/DSCAM/IL1RAPL1/DMD",34
"GO:0061564","axon development","35/225","248/5363",0.141129032258065,3.36388888888889,7.97604681940542,1.03056577051499e-10,2.54240575586048e-08,2.26290547083608e-08,"MACF1/DAB1/NTNG1/TNR/NRXN1/CTNNA2/MAP2/CHL1/GRM7/CLASP2/ALCAM/APBB2/SEMA5A/NRCAM/PTPRZ1/ADGRB1/NFIB/NTRK2/PARD3/ANK3/BRSK2/APBB1/LRRC4C/NCAM1/CNTN1/MYCBP2/NRXN3/MAPK8IP3/DCC/SPTBN4/NCAM2/OLIG2/DSCAM/OPHN1/NLGN3",35
