"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007155","cell adhesion","39/154","451/4618",0.0864745011086474,2.59311198779048,6.61456107816348,1.058406304589e-08,2.5782777579788e-05,2.30398340830532e-05,"MACF1/PBXIP1/CSRP1/ITPKB/NRXN1/CTNNA2/PLXNB1/LAMB2/CADM2/LSAMP/ADGRL3/CTNND2/ADGRV1/DST/FYN/MICALL2/PARD3/PRKG1/SORBS1/CD81/INPPL1/DLG2/NCAM1/CADM1/HEPACAM/NTM/CNTN1/PCDH9/FLRT2/MFGE8/PRKCA/SOX9/CDH20/COL5A3/NCAN/ACTN4/TTYH1/NCAM2/GPM6B",39
"GO:0034330","cell junction organization","31/154","331/4618",0.0936555891238671,2.80845136736375,6.3419424124045,7.8633283325771e-08,9.5775339090789e-05,8.55861210093128e-05,"MACF1/NFIA/NRXN1/CTNNA2/ERBB4/PLXNB1/LAMB2/ADGRL3/ANK2/GPM6A/CTNND2/DST/ADGRB3/FYN/GJA1/MICALL2/CAMK2B/DOCK4/PLEC/NTRK2/PARD3/NRG3/SORBS1/NFATC4/FLRT2/CASKIN1/PRKCA/CDH20/PALM/SNTA1/GPM6B",31
"GO:0034329","cell junction assembly","22/154","194/4618",0.11340206185567,3.40058910162003,6.34438223922701,3.02826416024328e-07,0.000206747388784545,0.000184752225393846,"MACF1/NRXN1/ERBB4/PLXNB1/ADGRL3/ANK2/GPM6A/DST/ADGRB3/GJA1/MICALL2/DOCK4/PLEC/NTRK2/PARD3/NRG3/SORBS1/FLRT2/CASKIN1/PRKCA/CDH20/GPM6B",22
"GO:0010001","glial cell differentiation","16/154","107/4618",0.149532710280374,4.48403932516082,6.77199655286156,3.39486681091206e-07,0.000206747388784545,0.000184752225393846,"NFIA/GPR37L1/GPC1/LAMB2/QKI/CLU/PLEC/NFIB/NTRK2/PARD3/CNTN1/METRN/SOX9/NCAN/LGI4/GPM6B",16
"GO:0042063","gliogenesis","17/154","140/4618",0.121428571428571,3.64128014842301,5.89406125769265,2.93117678369252e-06,0.001428069329015,0.00127614180814235,"NFIA/GPR37L1/GPC1/LAMB2/QKI/CLU/PLEC/NFIB/NTRK2/PARD3/CNTN1/METRN/SOX9/NCAN/LGI4/SUN2/GPM6B",17
"GO:0051240","positive regulation of multicellular organismal process","35/154","480/4618",0.0729166666666667,2.18655303030303,5.10024140976388,4.59896191035182e-06,0.00186717853560284,0.00166853565449255,"MACF1/ITPKB/NRXN1/SFXN5/ERBB4/PLXNB1/ZBTB20/PDE4D/ADGRV1/ADGRB3/FYN/GJA1/SASH1/QKI/CAMK2B/CLU/NTRK2/CACNB2/PARD3/CD81/LTBP3/CADM1/SOX5/RAPGEF3/NFATC4/FLRT2/RORA/METRN/PRKCA/SOX9/BSG/SLC27A1/NCAN/PLCB1/GPM6B",35
"GO:0048667","cell morphogenesis involved in neuron differentiation","25/154","287/4618",0.0871080139372822,2.61210914521019,5.23744533227168,6.56377161559531e-06,0.00228419252222717,0.00204118491745129,"MACF1/NRXN1/CTNNA2/MAP2/PLXNB1/LAMB2/TNIK/CTNND2/SLC1A3/ADGRB3/FYN/SYNE1/CAMK2B/AUTS2/NFIB/NTRK2/NSMF/PARD3/PRKG1/NCAM1/CNTN1/NFATC4/FLRT2/METRN/MT3",25
"GO:0001764","neuron migration","13/154","93/4618",0.139784946236559,4.19173299818461,5.77479990800453,9.81167316184309e-06,0.00298765447778122,0.00266980790772257,"CTNNA2/ERBB4/ADGRL3/GPM6A/FYN/GJA1/CAMK2B/AUTS2/NTRK2/NSMF/PRKG1/NRG3/FLRT2",13
"GO:0060074","synapse maturation","6/154","18/4618",0.333333333333333,9.995670995671,7.10181091003233,1.66206360826761e-05,0.00443363938956931,0.00396195931969118,"NFIA/NRXN1/ADGRB3/CAMK2B/NFATC4/PALM",6
"GO:0000902","cell morphogenesis","32/154","446/4618",0.0717488789237668,2.15153456409062,4.75171585185025,1.82004901049643e-05,0.00443363938956931,0.00396195931969118,"MACF1/NFIA/NRXN1/CTNNA2/FMNL2/MAP2/PLXNB1/LAMB2/TNIK/GPM6A/CTNND2/SLC1A3/ADGRB3/FYN/SYNE1/CAMK2B/AUTS2/CLU/PLEC/NFIB/NTRK2/NSMF/PARD3/PRKG1/NCAM1/CNTN1/NFATC4/FLRT2/METRN/MT3/CDH20/PALM",32
