"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009187","cyclic nucleotide metabolic process","13/659","18/2497",0.722222222222222,2.73655370089361,4.42668329148634,5.96285628322572e-05,0.0666107200947971,0.065481163654472,"ADCY3/ADCY5/PDE5A/GUCY1A1/GUCY1B1/PDE8B/PDE7B/PDE2A/GUCY1A2/ADCY6/RORA/PDE8A/ADCY9",13
"GO:0052652","cyclic purine nucleotide metabolic process","13/659","18/2497",0.722222222222222,2.73655370089361,4.42668329148634,5.96285628322572e-05,0.0666107200947971,0.065481163654472,"ADCY3/ADCY5/PDE5A/GUCY1A1/GUCY1B1/PDE8B/PDE7B/PDE2A/GUCY1A2/ADCY6/RORA/PDE8A/ADCY9",13
"GO:0007623","circadian rhythm","25/659","47/2497",0.531914893617021,2.0154650824912,4.20749032040391,7.25870542260775e-05,0.0666107200947971,0.065481163654472,"PER3/THRAP3/PRKAA2/ROCK2/MAPK10/BTBD9/HDAC2/NCOA2/KLF9/PRKG1/PTEN/KDM2A/KDM5A/PPP1CC/MYCBP2/RORA/ZFHX3/PER1/PHLPP1/TOP1/COL6A1/EP300/PPARA/MAGED1/OGT",25
"GO:0008015","blood circulation","51/659","122/2497",0.418032786885246,1.58395731237095,3.95932774934726,0.000108035611315308,0.0743555094877607,0.073094620182015,"SLC9A1/ATP1A2/RGS4/ROCK2/ZEB2/STK39/TTN/KCNE4/COL4A3/TRPC1/DLG1/SLIT2/PDE5A/EDNRA/GUCY1A1/GUCY1B1/SMAD5/VEGFA/TBX18/HEY2/GPER1/CACNA2D1/COL1A2/IMMP2L/DOCK5/CHD7/PCSK5/ABL1/CACNB2/PRKG1/RNLS/ACTA2/SERPING1/PDE2A/ARHGAP42/CACNA1C/PDE3A/ABCC9/ADCY6/FERMT2/TJP1/CORO2B/NR2F2/ATP1B2/GJC1/TBX2/MAP2K6/ARHGAP35/COMT/PPARA/FLNA",51
"GO:0032922","circadian regulation of gene expression","14/659","23/2497",0.608695652173913,2.30639308570298,3.76816739839371,0.000488634624768444,0.238028042891251,0.233991663935384,"PER3/HDAC2/NCOA2/KDM2A/KDM5A/PPP1CC/MYCBP2/RORA/ZFHX3/PER1/TOP1/PPARA/MAGED1/OGT",14
"GO:0048511","rhythmic process","31/659","69/2497",0.449275362318841,1.70233775373315,3.54191767565978,0.000579698838617741,0.238028042891251,0.233991663935384,"PER3/THRAP3/PRKAA2/ROCK2/SLIT2/MAPK10/BTBD9/HDAC2/PTN/NCOA2/KLF9/PRKG1/PTEN/KDM2A/KDM5A/PPP1CC/NCOR2/MYCBP2/RORA/CREBBP/ZFHX3/PER1/MAP2K6/PHLPP1/AXL/TOP1/COL6A1/EP300/PPARA/MAGED1/OGT",31
"GO:1990573","potassium ion import across plasma membrane","8/659","10/2497",0.8,3.03125948406677,3.85318408399,0.000605229313562933,0.238028042891251,0.233991663935384,"ATP1A2/ATP1B3/DLG1/SLC12A7/SLC12A2/ABCC9/ATP1B2/HCN2",8
"GO:0003013","circulatory system process","60/659","159/2497",0.377358490566038,1.42983937927678,3.35331810248231,0.000782904373798975,0.269416967633572,0.264848308557522,"SLC9A1/SLC6A17/ATP1A2/RGS4/ROCK2/ZEB2/STK39/TTN/KCNE4/COL4A3/SLC6A1/TRPC1/DLG1/SLIT2/PDE5A/EDNRA/GUCY1A1/GUCY1B1/SLC1A3/SLC12A2/SMAD5/VEGFA/TBX18/HEY2/SLC22A3/GPER1/CACNA2D1/COL1A2/IMMP2L/DOCK5/CHD7/PCSK5/ABL1/CACNB2/PRKG1/RNLS/ACTA2/SERPING1/PDE2A/ARHGAP42/SLC6A13/CACNA1C/PDE3A/ABCC9/SLC38A2/ADCY6/LRP1/FERMT2/TJP1/CORO2B/NR2F2/ATP1B2/GJC1/TBX2/MAP2K6/ARHGAP35/SLC19A1/COMT/PPARA/FLNA",60
"GO:0048839","inner ear development","19/659","37/2497",0.513513513513513,1.94574088504286,3.46974626592476,0.000962106924624739,0.294297818165767,0.289307240141544,"ROR1/PRRX1/MAPKAPK2/FRZB/LRIG1/ZIC1/RBPJ/TBX18/HEY2/GLI3/CEBPD/CHD7/EYA1/ZEB1/LIN7A/MAF/TBX2/JAG1/CECR2",19
"GO:0001658","branching involved in ureteric bud morphogenesis","9/659","13/2497",0.692307692307692,2.62320532275009,3.51286599268392,0.00146751250342429,0.385858098099075,0.379314879542976,"PBX1/DLG1/FOXD1/FGF1/VEGFA/GLI3/EYA1/BCL2/MAGED1",9
"GO:0061326","renal tubule development","14/659","25/2497",0.56,2.12188163884674,3.37508764877734,0.00154175048277872,0.385858098099075,0.379314879542976,"HEYL/NOTCH2/PBX1/DLG1/FOXD1/FGF1/VEGFA/GLI3/EYA1/MTSS1/COL4A1/BCL2/JAG1/MAGED1",14
"GO:0072001","renal system development","37/659","91/2497",0.406593406593407,1.5406126498691,3.1452222009893,0.00178104469522258,0.408601337162314,0.401672448369935,"HEYL/NFIA/NOTCH2/PBX1/NID1/COL4A4/COL4A3/DLG1/SLIT2/EDNRA/FOXD1/SMAD5/FGF1/PDGFRB/VEGFA/TBX18/PDGFA/GLI3/EYA1/MTSS1/PCSK5/TGFBR1/INVS/ARID5B/ACTA2/PLCE1/ARL3/DYNC2H1/TNS2/COL4A1/NF1/BCL2/KANK2/NOTCH3/JAG1/COMT/MAGED1",37
"GO:0043583","ear development","21/659","45/2497",0.466666666666667,1.76823469903895,3.11338040264901,0.00251110511457848,0.450945489577461,0.443298546543924,"ROR1/PRRX1/MAPKAPK2/FRZB/LRIG1/ZIC1/RBPJ/EDNRA/TBX18/HEY2/GLI3/CEBPD/CHD7/EYA1/ZEB1/LIN7A/MAF/TBX2/BCL2/JAG1/CECR2",21
