"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048667","cell morphogenesis involved in neuron differentiation","41/400","383/7213",0.107049608355091,1.93037206266319,4.53350768461547,3.05657182593703e-05,0.0218995464039062,0.0208595519391529,"RERE/MACF1/TNR/NRXN1/WDPCP/CTNNA2/HECW2/MAP2/GOLGA4/KALRN/NLGN1/UNC5C/RAPGEF2/CTNND2/TRIO/EFNA5/FSTL4/PHACTR1/ADGRB3/SYNE1/CRPPA/HECW1/COBL/AUTS2/EXT1/PTPRD/PRKG1/ANK3/LRRC4C/FAT3/CNTN1/PRICKLE1/NELL2/ATP8A2/DCLK1/NRXN3/IGF1R/ANKRD24/SPTBN4/DSCAM/OPHN1",41
"GO:0044057","regulation of system process","29/400","234/7213",0.123931623931624,2.23479700854701,4.65259830829955,3.42766136240029e-05,0.0218995464039062,0.0208595519391529,"NEGR1/NOS1AP/TNR/PPP1R12B/RYR2/SLC8A1/NRXN1/KCNJ3/THRB/CACNA1D/NLGN1/FGF12/DLG1/PDE4D/GRIA1/JARID2/GRIK2/SYNE1/RIMS2/CELF2/PRKG1/TENM4/CACNA1C/AKAP6/GRIN2A/SHISA9/FTO/SPTBN4/DMD",29
"GO:0086001","cardiac muscle cell action potential","11/400","47/7213",0.234042553191489,4.22037234042553,5.36667474604354,3.77879527602134e-05,0.0218995464039062,0.0208595519391529,"NOS1AP/RYR2/SLC8A1/KCNJ3/SCN3A/CACNA1D/FGF12/DLG1/ANK3/CACNA1C/DMD",11
"GO:0048812","neuron projection morphogenesis","44/400","435/7213",0.101149425287356,1.82397701149425,4.29534054781304,6.19494771650525e-05,0.0218995464039062,0.0208595519391529,"RERE/MACF1/NEGR1/TNR/PPP1R12B/NRXN1/CTNNA2/HECW2/MAP2/GOLGA4/KALRN/NLGN1/UNC5C/RAPGEF2/CTNND2/TRIO/EFNA5/FSTL4/PHACTR1/ADGRB3/SYNE1/PRKN/CRPPA/HECW1/COBL/AUTS2/CNTNAP2/RIMS2/EXT1/PTPRD/PRKG1/ANK3/LRRC4C/CNTN1/PRICKLE1/NELL2/SYT1/ATP8A2/DCLK1/NRXN3/IGF1R/SPTBN4/DSCAM/OPHN1",44
"GO:0035176","social behavior","9/400","34/7213",0.264705882352941,4.77330882352941,5.34340993029853,6.8732970248607e-05,0.0218995464039062,0.0208595519391529,"NEGR1/NRXN1/CNTNAP2/PCM1/EXT1/BRINP1/GRID1/SHANK2/NRXN3",9
"GO:0051703","biological process involved in intraspecies interaction between organisms","9/400","34/7213",0.264705882352941,4.77330882352941,5.34340993029853,6.8732970248607e-05,0.0218995464039062,0.0208595519391529,"NEGR1/NRXN1/CNTNAP2/PCM1/EXT1/BRINP1/GRID1/SHANK2/NRXN3",9
"GO:0035249","synaptic transmission, glutamatergic","14/400","78/7213",0.179487179487179,3.23660256410256,4.81202407279137,8.13680068901324e-05,0.0218995464039062,0.0208595519391529,"TNR/NRXN1/GRM7/NLGN1/GRIA1/GRIK2/PRKN/EXT1/GRID1/GRM5/SYT1/UNC13C/GRIN2A/OPHN1",14
"GO:0099558","maintenance of synapse structure","7/400","21/7213",0.333333333333333,6.01083333333333,5.57164485460533,9.02705606289981e-05,0.0218995464039062,0.0208595519391529,"CSMD2/ERC2/DLG1/ADGRB3/SHANK2/PRICKLE1/OPHN1",7
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","6/400","15/7213",0.4,7.213,5.83619403260891,9.13559204270201e-05,0.0218995464039062,0.0208595519391529,"RYR2/SLC8A1/PDE4D/CACNA1C/AKAP6/DMD",6
"GO:0071625","vocalization behavior","6/400","15/7213",0.4,7.213,5.83619403260891,9.13559204270201e-05,0.0218995464039062,0.0208595519391529,"NRXN1/CNTNAP2/EXT1/BRINP1/SHANK2/NRXN3",6
"GO:0050905","neuromuscular process","14/400","79/7213",0.177215189873418,3.1956329113924,4.75439636676982,9.39955122961593e-05,0.0218995464039062,0.0208595519391529,"TNR/NRXN1/CTNNA2/GIGYF2/FGF12/PRKN/CNTNAP2/CSMD1/VTI1A/ATP8A2/GRIN2A/SPTBN4/LARGE1/DMD",14
"GO:0120039","plasma membrane bounded cell projection morphogenesis","44/400","443/7213",0.0993227990970655,1.79103837471783,4.16383720508999,9.53130137147449e-05,0.0218995464039062,0.0208595519391529,"RERE/MACF1/NEGR1/TNR/PPP1R12B/NRXN1/CTNNA2/HECW2/MAP2/GOLGA4/KALRN/NLGN1/UNC5C/RAPGEF2/CTNND2/TRIO/EFNA5/FSTL4/PHACTR1/ADGRB3/SYNE1/PRKN/CRPPA/HECW1/COBL/AUTS2/CNTNAP2/RIMS2/EXT1/PTPRD/PRKG1/ANK3/LRRC4C/CNTN1/PRICKLE1/NELL2/SYT1/ATP8A2/DCLK1/NRXN3/IGF1R/SPTBN4/DSCAM/OPHN1",44
"GO:0034331","cell junction maintenance","8/400","28/7213",0.285714285714286,5.15214285714286,5.33367534262486,9.7021873206474e-05,0.0218995464039062,0.0208595519391529,"CSMD2/ERC2/DLG1/ADGRB3/SHANK2/PRICKLE1/TJP1/OPHN1",8
"GO:0048858","cell projection morphogenesis","44/400","445/7213",0.098876404494382,1.78298876404494,4.13136932535216,0.000105883938298536,0.0218995464039062,0.0208595519391529,"RERE/MACF1/NEGR1/TNR/PPP1R12B/NRXN1/CTNNA2/HECW2/MAP2/GOLGA4/KALRN/NLGN1/UNC5C/RAPGEF2/CTNND2/TRIO/EFNA5/FSTL4/PHACTR1/ADGRB3/SYNE1/PRKN/CRPPA/HECW1/COBL/AUTS2/CNTNAP2/RIMS2/EXT1/PTPRD/PRKG1/ANK3/LRRC4C/CNTN1/PRICKLE1/NELL2/SYT1/ATP8A2/DCLK1/NRXN3/IGF1R/SPTBN4/DSCAM/OPHN1",44
"GO:0050808","synapse organization","40/400","391/7213",0.10230179028133,1.84475703324808,4.16152969257286,0.000106274084781169,0.0218995464039062,0.0208595519391529,"CSMD2/NEGR1/NOS1AP/TNR/NRXN1/CTNNA2/AGAP1/CACNA2D3/ERC2/PDZRN3/NLGN1/DLG1/ADGRL3/CTNND2/EFNA5/GRIA1/ADGRB3/CTTNBP2/PTPRD/LINGO2/ANK3/LRRTM3/NRG3/GRID1/LRRC4C/SHANK2/TENM4/GRM5/PRICKLE1/DCLK1/LRFN5/GPHN/GABRB3/IGF1R/SPTBN4/DSCAM/LARGE1/FRMPD4/CNKSR2/OPHN1",40
"GO:0060322","head development","42/400","422/7213",0.0995260663507109,1.79470379146919,4.07646112898722,0.000132385369603145,0.0255751985902076,0.0243606499197367,"RERE/NEGR1/PBX1/TNR/AKT3/NRXN1/CTNNA2/SLC4A10/SETD2/UNC5C/RAPGEF2/GRIA1/PHACTR1/PDSS2/AHI1/IMMP2L/CNTNAP2/MCPH1/PCM1/HOOK3/EXT1/BRINP1/CDK5RAP2/PRKG1/ARID5B/NRG3/DYNC2H1/CNTN1/PRICKLE1/CEP290/DCLK1/PCDH9/MNAT1/RORA/IGF1R/GRIN2A/ANKRD11/BPTF/PLCB1/MACROD2/LARGE1/OPHN1",42
"GO:0086002","cardiac muscle cell action potential involved in contraction","8/400","30/7213",0.266666666666667,4.80866666666667,5.06488185547132,0.000165655123345339,0.0301199991917907,0.0286896210524404,"NOS1AP/RYR2/KCNJ3/SCN3A/CACNA1D/FGF12/DLG1/CACNA1C",8
"GO:0014808","release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","6/400","17/7213",0.352941176470588,6.36441176470588,5.36524612876936,0.000205405026113156,0.0352726075397647,0.0335975355578068,"RYR2/SLC8A1/PDE4D/CACNA1C/AKAP6/DMD",6
"GO:0002027","regulation of heart rate","9/400","40/7213",0.225,4.0573125,4.6979465613664,0.000266343508772602,0.0412819149151391,0.0393214650403188,"NOS1AP/RYR2/SLC8A1/KCNJ3/CACNA1D/PDE4D/CACNA1C/SPTBN4/DMD",9
