"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006261","DNA-templated DNA replication","7/162","61/7213",0.114754098360656,5.1093908115766,4.88527053673074,0.000398629223434479,0.689628556541649,0.689628556541649,"ZRANB3/ORC2/ATR/REV3L/WRN/FANCM/POLA1",7
"GO:0031297","replication fork processing","4/162","20/7213",0.2,8.90493827160494,5.36560205400852,0.000896873390805279,0.775795483046566,0.775795483046566,"ZRANB3/ATR/WRN/FANCM",4
"GO:0045005","DNA-templated DNA replication maintenance of fidelity","4/162","24/7213",0.166666666666667,7.42078189300411,4.77550501705345,0.001834145080349,0.817613341466376,0.817613341466376,"ZRANB3/ATR/WRN/FANCM",4
"GO:0009451","RNA modification","7/162","79/7213",0.0886075949367089,3.94522581653383,3.98956551024348,0.00189043547159856,0.817613341466376,0.817613341466376,"TARBP1/METTL6/NSUN3/METTL15/MTFMT/PARN/ELP2",7
"GO:0071103","DNA conformation change","5/162","45/7213",0.111111111111111,4.94718792866941,4.02582665965503,0.00317730365074228,0.954087590432673,0.954087590432673,"ZRANB3/ZGRF1/WRN/TDRD3/FANCM",5
"GO:0008033","tRNA processing","6/162","70/7213",0.0857142857142857,3.81640211640212,3.58891659734322,0.00468642533804059,0.954087590432673,0.954087590432673,"TARBP1/TSEN2/METTL6/NSUN3/MTFMT/ELP2",6
"GO:0006400","tRNA modification","5/162","52/7213",0.0961538461538462,4.28122032288699,3.59923527601881,0.00596067212066617,0.954087590432673,0.954087590432673,"TARBP1/METTL6/NSUN3/MTFMT/ELP2",5
"GO:0030149","sphingolipid catabolic process","3/162","18/7213",0.166666666666667,7.42078189300411,4.13398389156822,0.007081552674747,0.954087590432673,0.954087590432673,"VPS54/SUMF1/PLPP1",3
"GO:0042073","intraciliary transport","4/162","35/7213",0.114285714285714,5.08853615520282,3.67502372172858,0.00746420812226809,0.954087590432673,0.954087590432673,"IFT172/DYNC2LI1/TTC21A/IFT88",4
"GO:1905515","non-motile cilium assembly","4/162","35/7213",0.114285714285714,5.08853615520282,3.67502372172858,0.00746420812226809,0.954087590432673,0.954087590432673,"IFT172/TBC1D32/IFT88/TTC8",4
"GO:0030705","cytoskeleton-dependent intracellular transport","9/162","154/7213",0.0584415584415584,2.60209235209235,3.04604507484867,0.00767726290868308,0.954087590432673,0.954087590432673,"IFT172/DYNC2LI1/TTC21A/ATG5/AGTPBP1/BORCS5/BICDL1/IFT88/MYO5C",9
