"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007098","centrosome cycle","4/55","19/2173",0.210526315789474,8.3177033492823,5.16151303027136,0.00107412545486258,0.53360219602666,0.520705102063513,"PKD2/UVRAG/PPP1R12A/CCDC102B",4
"GO:0031023","microtubule organizing center organization","4/55","20/2173",0.2,7.90181818181818,4.99579690372492,0.00131757077372074,0.53360219602666,0.520705102063513,"PKD2/UVRAG/PPP1R12A/CCDC102B",4
"GO:0000910","cytokinesis","5/55","34/2173",0.147058823529412,5.81016042780749,4.55451256662351,0.00137408290822316,0.53360219602666,0.520705102063513,"BIRC6/APC/EXOC2/EXOC6/UVRAG",5
"GO:0032784","regulation of DNA-templated transcription elongation","3/55","12/2173",0.25,9.87727272727273,4.96810858475641,0.00287235358523142,0.630548171874855,0.615307906595747,"SETD5/TCERG1/SCAF8",3
"GO:0051649","establishment of localization in cell","17/55","342/2173",0.0497076023391813,1.96390217969165,3.1286005732901,0.00323908787175081,0.630548171874855,0.615307906595747,"LYST/PKD2/TNPO1/APC/EXOC2/MYO6/REPS1/BRAF/DNAAF11/RIC1/EXOC6/C2CD5/LRRK2/MON2/PPP1R12A/XPO4/SH3GL3",17
"GO:0000226","microtubule cytoskeleton organization","8/55","106/2173",0.0754716981132075,2.98181818181818,3.37050348160338,0.00441438155075899,0.630548171874855,0.615307906595747,"PKD2/APC/CFAP69/TNKS/DNAAF11/UVRAG/PPP1R12A/CCDC102B",8
"GO:0022402","cell cycle process","10/55","158/2173",0.0632911392405063,2.5005753739931,3.15571017770296,0.00520390384038334,0.630548171874855,0.615307906595747,"BIRC6/PKD2/APC/YTHDC2/EXOC2/TNKS/EXOC6/UVRAG/PPP1R12A/CCDC102B",10
"GO:0000281","mitotic cytokinesis","3/55","15/2173",0.2,7.90181818181818,4.32147197515163,0.00562870867228553,0.630548171874855,0.615307906595747,"APC/EXOC2/EXOC6",3
"GO:0000956","nuclear-transcribed mRNA catabolic process","3/55","15/2173",0.2,7.90181818181818,4.32147197515163,0.00562870867228553,0.630548171874855,0.615307906595747,"XRN1/TENT2/PAN3",3
"GO:0010639","negative regulation of organelle organization","5/55","48/2173",0.104166666666667,4.1155303030303,3.51658734238002,0.00645802071135253,0.630548171874855,0.615307906595747,"ODF2L/XRN1/APC/TNKS/LRRK2",5
"GO:0051053","negative regulation of DNA metabolic process","3/55","16/2173",0.1875,7.40795454545455,4.14479083090129,0.00680446783840869,0.630548171874855,0.615307906595747,"XRN1/TNKS/SMCHD1",3
"GO:0006354","DNA-templated transcription elongation","3/55","17/2173",0.176470588235294,6.97219251336898,3.98274185830665,0.00811579867869705,0.630548171874855,0.615307906595747,"SETD5/TCERG1/SCAF8",3
"GO:0007368","determination of left/right symmetry","3/55","17/2173",0.176470588235294,6.97219251336898,3.98274185830665,0.00811579867869705,0.630548171874855,0.615307906595747,"ARL13B/PKD2/DNAAF11",3
"GO:0060972","left/right pattern formation","3/55","17/2173",0.176470588235294,6.97219251336898,3.98274185830665,0.00811579867869705,0.630548171874855,0.615307906595747,"ARL13B/PKD2/DNAAF11",3
"GO:0048193","Golgi vesicle transport","5/55","52/2173",0.0961538461538462,3.79895104895105,3.29135644686602,0.00907749758475728,0.630548171874855,0.615307906595747,"EXOC2/EXOC6/UVRAG/LRRK2/MON2",5
"GO:0033043","regulation of organelle organization","10/55","175/2173",0.0571428571428571,2.25766233766234,2.79533341036068,0.0106418593128829,0.630548171874855,0.615307906595747,"ODF2L/XRN1/ARAP2/APC/BRAF/TNKS/UVRAG/C2CD5/LRRK2/PAN3",10
"GO:0009799","specification of symmetry","3/55","19/2173",0.157894736842105,6.23827751196172,3.6947982643789,0.0111583796244873,0.630548171874855,0.615307906595747,"ARL13B/PKD2/DNAAF11",3
"GO:0009855","determination of bilateral symmetry","3/55","19/2173",0.157894736842105,6.23827751196172,3.6947982643789,0.0111583796244873,0.630548171874855,0.615307906595747,"ARL13B/PKD2/DNAAF11",3
"GO:0061640","cytoskeleton-dependent cytokinesis","3/55","19/2173",0.157894736842105,6.23827751196172,3.6947982643789,0.0111583796244873,0.630548171874855,0.615307906595747,"APC/EXOC2/EXOC6",3
"GO:0014074","response to purine-containing compound","3/55","21/2173",0.142857142857143,5.64415584415584,3.44543115241019,0.0147779596637932,0.630548171874855,0.615307906595747,"XRN1/PKD2/BRAF",3
"GO:0033044","regulation of chromosome organization","3/55","21/2173",0.142857142857143,5.64415584415584,3.44543115241019,0.0147779596637932,0.630548171874855,0.615307906595747,"XRN1/APC/TNKS",3
"GO:0051301","cell division","6/55","82/2173",0.0731707317073171,2.89090909090909,2.8122170496177,0.0158528633832793,0.630548171874855,0.615307906595747,"BIRC6/APC/EXOC2/TNKS/EXOC6/UVRAG",6
"GO:0007389","pattern specification process","5/55","60/2173",0.0833333333333333,3.29242424242424,2.90114306922669,0.0163647684832521,0.630548171874855,0.615307906595747,"ARL13B/PKD2/APC/DNAAF11/CDON",5
"GO:0043244","regulation of protein-containing complex disassembly","3/55","22/2173",0.136363636363636,5.38760330578512,3.33247398337378,0.0168088448142058,0.630548171874855,0.615307906595747,"APC/SCAF8/UVRAG",3
"GO:0032984","protein-containing complex disassembly","4/55","41/2173",0.0975609756097561,3.85454545454545,2.972922366683,0.0185758347106572,0.630548171874855,0.615307906595747,"APC/SCAF8/UVRAG/SH3GL3",4
"GO:0045786","negative regulation of cell cycle","4/55","41/2173",0.0975609756097561,3.85454545454545,2.972922366683,0.0185758347106572,0.630548171874855,0.615307906595747,"PKD2/APC/YTHDC2/TNKS",4
"GO:0006886","intracellular protein transport","7/55","110/2173",0.0636363636363636,2.51421487603306,2.62592618820243,0.0190377118062656,0.630548171874855,0.615307906595747,"TNPO1/MYO6/RIC1/EXOC6/C2CD5/LRRK2/XPO4",7
"GO:0016055","Wnt signaling pathway","5/55","64/2173",0.078125,3.08664772727273,2.72991491356473,0.0211639017558375,0.630548171874855,0.615307906595747,"LRRFIP2/PKD2/APC/TNKS/LRRK2",5
"GO:0006913","nucleocytoplasmic transport","4/55","43/2173",0.0930232558139535,3.67526427061311,2.85469288609837,0.0218091271572973,0.630548171874855,0.615307906595747,"TNPO1/LRRK2/PPP1R12A/XPO4",4
