"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032879","regulation of localization","44/146","384/2173",0.114583333333333,1.70540810502283,4.08771257675051,9.14023225867924e-05,0.155109741429787,0.150477086869203,"NCDN/RIMS3/PEA15/CDK5R2/PTPRN/BAP1/AP2M1/MAP1B/REEP2/CPLX2/PRRT1/HSP90AB1/PRKAR1B/CAMK2B/GNB2/DMTN/CLU/CD81/APBB1/BAD/CNIH2/GRK2/SCN2B/THY1/CLSTN3/SCAMP5/ARHGDIG/MAPK3/STX1B/DLG4/GIT1/PPP1R9B/ARHGDIA/BSG/RAB11B/PIN1/SCN1B/FXYD7/AP2S1/SLC17A7/SUMO3/RANGAP1/MAPK8IP2/SYN1",44
"GO:0099504","synaptic vesicle cycle","16/146","89/2173",0.179775280898876,2.67569647529629,4.33132693507055,0.000187506384149854,0.159099166951151,0.154347360426512,"RIMS3/AP2M1/CPLX2/CLTB/SNCB/PRKAR1B/DNM1/STX1B/ATP6V0D1/GIT1/ATP6V0A1/ARHGDIA/AP2S1/SLC17A7/SNPH/SYN1",16
"GO:0099003","vesicle-mediated transport in synapse","17/146","104/2173",0.163461538461538,2.43288988408851,4.01817368352645,0.000389158003800257,0.220133710816345,0.213558988752141,"NCDN/RIMS3/AP2M1/CPLX2/CLTB/SNCB/PRKAR1B/DNM1/STX1B/ATP6V0D1/GIT1/ATP6V0A1/ARHGDIA/AP2S1/SLC17A7/SNPH/SYN1",17
"GO:0051049","regulation of transport","36/146","319/2173",0.112852664576803,1.67964958989994,3.5261842379922,0.000675900558536646,0.241423082895044,0.234212512264894,"NCDN/RIMS3/PEA15/CDK5R2/PTPRN/AP2M1/MAP1B/REEP2/CPLX2/PRRT1/PRKAR1B/CAMK2B/GNB2/CLU/CD81/APBB1/BAD/CNIH2/GRK2/SCN2B/THY1/SCAMP5/MAPK3/STX1B/DLG4/GIT1/ARHGDIA/BSG/RAB11B/SCN1B/FXYD7/AP2S1/SLC17A7/RANGAP1/MAPK8IP2/SYN1",36
"GO:0036465","synaptic vesicle recycling","8/146","31/2173",0.258064516129032,3.84091913389306,4.27473748464205,0.000718177821372426,0.241423082895044,0.234212512264894,"AP2M1/CLTB/SNCB/DNM1/STX1B/GIT1/AP2S1/SLC17A7",8
"GO:0043069","negative regulation of programmed cell death","17/146","111/2173",0.153153153153153,2.27946439590275,3.71299896402734,0.000853587800453896,0.241423082895044,0.234212512264894,"ENO1/PEA15/SNCB/HSP90AB1/CLU/GRINA/MAPK8IP1/BAD/PTMS/FAIM2/STUB1/MAPK8IP3/MT3/ARHGDIA/GPX4/FKBP8/MAPK8IP2",17
"GO:0016236","macroautophagy","11/146","57/2173",0.192982456140351,2.87226628214372,3.84349814916563,0.001081171423538,0.262106843677713,0.254278512242622,"ATP6V0B/UBQLN4/STUB1/MAPK3/ATP6V0D1/CHMP1A/ATP6V0A1/UBXN6/FKBP8/CAPNS1/MAP1LC3A",11
"GO:0060627","regulation of vesicle-mediated transport","17/146","116/2173",0.146551724137931,2.18121162021729,3.50848014772892,0.00142403744053205,0.268909113362817,0.26087761889368,"NCDN/RIMS3/CDK5R2/AP2M1/CPLX2/PRKAR1B/CLU/SCAMP5/MAPK3/STX1B/DLG4/GIT1/ARHGDIA/RAB11B/AP2S1/SLC17A7/SYN1",17
"GO:0007267","cell-cell signaling","33/146","296/2173",0.111486486486486,1.65931599407627,3.27481517717728,0.00149310186984196,0.268909113362817,0.26087761889368,"NCDN/RIMS3/PTPRN/CAMKV/MAP1B/CPLX2/SNCB/PRRT1/PRKAR1B/CAMK2B/LY6E/DNM1/NSMF/BAD/NRXN2/CNIH2/GRK2/SCN2B/THY1/CLSTN3/MAPK3/STX1B/DLG4/GIT1/NPTX1/RAB11B/SCN1B/SLC17A7/SNPH/RASD2/SYNGR1/MAPK8IP2/SYN1",33
"GO:0016192","vesicle-mediated transport","33/146","297/2173",0.111111111111111,1.65372907153729,3.25341204528953,0.00158461469276852,0.268909113362817,0.26087761889368,"NCDN/RIMS3/CDK5R2/AP2M1/CPLX2/CLTB/SNCB/PRKAR1B/AP1S1/CLU/DNM1/CD81/MAPK8IP1/CNIH2/GRK2/SCAMP5/MAPK8IP3/MAPK3/STX1B/ATP6V0D1/CHMP1A/DLG4/GIT1/ATP6V0A1/ARHGDIA/UBXN6/RAB11B/AP2S1/SLC17A7/EPN1/SNPH/SYNGR1/SYN1",33
