"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045604","regulation of epidermal cell differentiation","3/57","12/3915",0.25,17.1710526315789,6.81861806628227,0.000586666319361219,0.52081629683678,0.516446366047151,"KLF7/ROCK1/NCOA3",3
"GO:0045682","regulation of epidermis development","3/57","13/3915",0.230769230769231,15.8502024291498,6.51819192947269,0.000754806227299682,0.52081629683678,0.516446366047151,"KLF7/ROCK1/NCOA3",3
"GO:0009725","response to hormone","11/57","283/3915",0.03886925795053,2.66970429607588,3.54426829064577,0.00212646520157929,0.64131865199432,0.635937641184299,"TXNIP/NR3C2/PDE3B/ROCK1/GAB1/SGK1/PDCD4/NCOA3/JAK1/HCLS1/GNAQ",11
"GO:1901700","response to oxygen-containing compound","15/57","468/3915",0.032051282051282,2.20141700404858,3.36637727217534,0.00214918711810515,0.64131865199432,0.635937641184299,"ABCA1/MAN1A1/KLF7/TXNIP/FKBP5/PDE3B/LRRK2/ROCK1/GAB1/SGK1/GRAMD1B/PDCD4/NCOA3/JAK1/GNAQ",15
"GO:0097305","response to alcohol","5/57","65/3915",0.0769230769230769,5.2834008097166,4.23235175181122,0.00232361830432725,0.64131865199432,0.635937641184299,"ABCA1/FKBP5/SGK1/GRAMD1B/GNAQ",5
"GO:0009913","epidermal cell differentiation","4/57","44/3915",0.0909090909090909,6.24401913875598,4.25153489021479,0.00355565107454021,0.657878986935693,0.652359025946911,"KLF7/TXNIP/ROCK1/NCOA3",4
"GO:0009719","response to endogenous stimulus","14/57","444/3915",0.0315315315315315,2.16571834992888,3.17047649610197,0.00364329155029603,0.657878986935693,0.652359025946911,"ABCA1/TXNIP/NR3C2/PDE3B/ROCK1/GAB1/SGK1/PDCD4/NCOA3/JAK1/HCLS1/NFIA/GNAQ/ZFHX3",14
"GO:1901701","cellular response to oxygen-containing compound","12/57","351/3915",0.0341880341880342,2.34817813765182,3.21735303266821,0.00385837478689114,0.657878986935693,0.652359025946911,"ABCA1/KLF7/PDE3B/LRRK2/ROCK1/GAB1/SGK1/GRAMD1B/PDCD4/NCOA3/JAK1/GNAQ",12
"GO:0008277","regulation of G protein-coupled receptor signaling pathway","4/57","47/3915",0.0851063829787234,5.8454647256439,4.06170015390689,0.00452318771357482,0.657878986935693,0.652359025946911,"PDE3B/LRRK2/ROCK1/GRK3",4
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","3/57","28/3915",0.107142857142857,7.35902255639098,4.10420303972956,0.00740651261318831,0.657878986935693,0.652359025946911,"ABCA1/PDE3B/GNAQ",3
