"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034446","substrate adhesion-dependent cell spreading","4/47","35/3915",0.114285714285714,9.51975683890577,5.58035035123518,0.000727138357576672,0.650474740083304,0.645162332950137,"RAB1A/AXL/RREB1/DOCK5",4
"GO:0090257","regulation of muscle system process","4/47","59/3915",0.0677966101694915,5.6473133790119,3.9643825794985,0.0051211882451976,0.650474740083304,0.645162332950137,"PDE4B/GTF2IRD1/JARID2/DOCK5",4
"GO:0031589","cell-substrate adhesion","5/47","108/3915",0.0462962962962963,3.8563829787234,3.31782123704096,0.00888543084495409,0.650474740083304,0.645162332950137,"PLEKHA2/RAB1A/AXL/RREB1/DOCK5",5
"GO:0045948","positive regulation of translational initiation","2/47","13/3915",0.153846153846154,12.8150572831424,4.70305418211879,0.0101152103055494,0.650474740083304,0.645162332950137,"LARP1/SH3BGRL",2
"GO:1904738","vascular associated smooth muscle cell migration","2/47","13/3915",0.153846153846154,12.8150572831424,4.70305418211879,0.0101152103055494,0.650474740083304,0.645162332950137,"GNA12/DOCK5",2
"GO:1904752","regulation of vascular associated smooth muscle cell migration","2/47","13/3915",0.153846153846154,12.8150572831424,4.70305418211879,0.0101152103055494,0.650474740083304,0.645162332950137,"GNA12/DOCK5",2
"GO:0010811","positive regulation of cell-substrate adhesion","3/47","39/3915",0.0769230769230769,6.4075286415712,3.74072131788623,0.0109533036081599,0.650474740083304,0.645162332950137,"PLEKHA2/RREB1/DOCK5",3
"GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation","2/47","14/3915",0.142857142857143,11.8996960486322,4.50304759102212,0.0117113851990794,0.650474740083304,0.645162332950137,"SNX6/PARP14",2
"GO:0015804","neutral amino acid transport","2/47","15/3915",0.133333333333333,11.1063829787234,4.32240229007533,0.0134105137352007,0.650474740083304,0.645162332950137,"SERINC5/SLC25A13",2
"GO:1901136","carbohydrate derivative catabolic process","4/47","80/3915",0.05,4.16489361702128,3.15237251813033,0.014817147197604,0.650474740083304,0.645162332950137,"PDE4B/PRKAG2/PDE8A/SUMF1",4
"GO:0019933","cAMP-mediated signaling","2/47","16/3915",0.125,10.4122340425532,4.15807384962473,0.0152100028854062,0.650474740083304,0.645162332950137,"PDE4B/PDE8A",2
"GO:0071364","cellular response to epidermal growth factor stimulus","2/47","16/3915",0.125,10.4122340425532,4.15807384962473,0.0152100028854062,0.650474740083304,0.645162332950137,"SNX6/PDE8A",2
"GO:0010934","macrophage cytokine production","2/47","17/3915",0.117647058823529,9.79974968710889,4.00765168463009,0.0171073047398691,0.650474740083304,0.645162332950137,"LITAF/AXL",2
"GO:0010935","regulation of macrophage cytokine production","2/47","17/3915",0.117647058823529,9.79974968710889,4.00765168463009,0.0171073047398691,0.650474740083304,0.645162332950137,"LITAF/AXL",2
"GO:1900026","positive regulation of substrate adhesion-dependent cell spreading","2/47","17/3915",0.117647058823529,9.79974968710889,4.00765168463009,0.0171073047398691,0.650474740083304,0.645162332950137,"RREB1/DOCK5",2
"GO:0070849","response to epidermal growth factor","2/47","18/3915",0.111111111111111,9.25531914893617,3.86919862029048,0.0190999158348085,0.650474740083304,0.645162332950137,"SNX6/PDE8A",2
"GO:2000107","negative regulation of leukocyte apoptotic process","2/47","18/3915",0.111111111111111,9.25531914893617,3.86919862029048,0.0190999158348085,0.650474740083304,0.645162332950137,"ST3GAL1/AXL",2
"GO:0009154","purine ribonucleotide catabolic process","3/47","49/3915",0.0612244897959184,5.09986973512809,3.1831219707692,0.0203156364283699,0.650474740083304,0.645162332950137,"PDE4B/PRKAG2/PDE8A",3
"GO:0006195","purine nucleotide catabolic process","3/47","50/3915",0.06,4.99787234042553,3.13585001175185,0.0214334131939528,0.650474740083304,0.645162332950137,"PDE4B/PRKAG2/PDE8A",3
"GO:0009261","ribonucleotide catabolic process","3/47","50/3915",0.06,4.99787234042553,3.13585001175185,0.0214334131939528,0.650474740083304,0.645162332950137,"PDE4B/PRKAG2/PDE8A",3
"GO:0001934","positive regulation of protein phosphorylation","5/47","136/3915",0.0367647058823529,3.06242177722153,2.698202876361,0.0223592400110137,0.650474740083304,0.645162332950137,"PECAM1/PRKAG2/PIK3R5/PARP14/MAPKAP1",5
"GO:0006687","glycosphingolipid metabolic process","2/47","20/3915",0.1,8.32978723404255,3.62216927252372,0.0233612701492324,0.650474740083304,0.645162332950137,"ST3GAL1/SUMF1",2
"GO:0050730","regulation of peptidyl-tyrosine phosphorylation","3/47","53/3915",0.0566037735849057,4.71497390606182,3.00126037677894,0.0249867284174322,0.650474740083304,0.645162332950137,"SNX6/PECAM1/PARP14",3
"GO:0072523","purine-containing compound catabolic process","3/47","54/3915",0.0555555555555556,4.62765957446809,2.95862287963452,0.0262378495600958,0.650474740083304,0.645162332950137,"PDE4B/PRKAG2/PDE8A",3
"GO:0042327","positive regulation of phosphorylation","5/47","143/3915",0.034965034965035,2.912513018896,2.56804532029256,0.027104018888778,0.650474740083304,0.645162332950137,"PECAM1/PRKAG2/PIK3R5/PARP14/MAPKAP1",5
