"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","25/162","51/1629",0.490196078431373,4.92919389978213,9.47119330057705,3.91724853538948e-13,6.627984521879e-10,6.43253443706062e-10,"RPL32/EIF4A2/RPL35A/RPL34/RPS14/RPS12/RPL30/EEF1D/RPL8/RPL35/RPL27A/FAU/PKM/RPL13/RPL27/RPL38/RPL36/RPS28/UBA52/RPS16/RPL18/RPS11/RPL28/RPS5/RPS21",25
"GO:0006412","translation","28/162","107/1629",0.261682242990654,2.63136033229491,5.79968105952653,4.59661151782307e-07,0.000388873334407831,0.000377405998305473,"RPL32/EIF4A2/RPL35A/RPL34/RPS14/RPS12/RPL30/EEF1D/RPL8/RPL35/RPL27A/FAU/GAPDH/PKM/RPL13/EIF1/RPL27/RPL38/EEF2/RPL36/RPS28/UBA52/RPS16/RPL18/RPS11/RPL28/RPS5/RPS21",28
"GO:0034220","monoatomic ion transmembrane transport","27/162","106/1629",0.254716981132075,2.56132075471698,5.52286928440013,1.37713537116689e-06,0.000755929786070694,0.000733638463525123,"ATP6V0B/ATP1A1/ATP1B1/DPP10/ATP5ME/KCNIP4/GRIA2/GPM6A/TMEM63B/KCNQ5/GRIN1/ATP5MC2/ATP5F1B/FGF14/NALF1/CALM1/CLCN7/PKD1/COX4I1/ATP5F1D/PRNP/PLCB1/SNAP25/ATP5F1E/YWHAH/PLP1/ATP6AP1",27
"GO:0098655","monoatomic cation transmembrane transport","26/162","101/1629",0.257425742574257,2.58855885588559,5.47610756739727,1.78706805217658e-06,0.000755929786070694,0.000733638463525123,"ATP6V0B/ATP1A1/ATP1B1/DPP10/ATP5ME/KCNIP4/GRIA2/GPM6A/TMEM63B/KCNQ5/GRIN1/ATP5MC2/ATP5F1B/FGF14/NALF1/CALM1/PKD1/COX4I1/ATP5F1D/PRNP/PLCB1/SNAP25/ATP5F1E/YWHAH/PLP1/ATP6AP1",26
"GO:0098660","inorganic ion transmembrane transport","25/162","98/1629",0.255102040816327,2.56519274376417,5.30961362363461,3.49204410963278e-06,0.00118170772669973,0.0011468608023215,"ATP6V0B/ATP1A1/ATP1B1/DPP10/ATP5ME/KCNIP4/GPM6A/KCNQ5/GRIN1/ATP5MC2/ATP5F1B/FGF14/NALF1/CALM1/CLCN7/PKD1/COX4I1/ATP5F1D/PRNP/PLCB1/SNAP25/ATP5F1E/YWHAH/PLP1/ATP6AP1",25
"GO:1902600","proton transmembrane transport","10/162","20/1629",0.5,5.02777777777778,6.02104853300138,5.55257591109503e-06,0.0015658264069288,0.00151965235461548,"ATP6V0B/ATP1A1/ATP1B1/ATP5ME/ATP5MC2/ATP5F1B/COX4I1/ATP5F1D/ATP5F1E/ATP6AP1",10
"GO:0006812","monoatomic cation transport","28/162","121/1629",0.231404958677686,2.32690541781451,5.03966457835009,6.85969892770698e-06,0.00160015601862657,0.00155296963360548,"ATP6V0B/ATP1A1/ATP1B1/DPP10/ATP5ME/KCNIP4/GRIA2/GPM6A/TMEM63B/KCNQ5/GRIN1/ATP5MC2/ATP5F1B/FGF14/NALF1/CALM1/PKD1/MT3/COX4I1/ATP5F1D/FTL/PRNP/PLCB1/SNAP25/ATP5F1E/YWHAH/PLP1/ATP6AP1",28
"GO:0098662","inorganic cation transmembrane transport","24/162","96/1629",0.25,2.51388888888889,5.07958452250423,8.27400305657143e-06,0.00160015601862657,0.00155296963360548,"ATP6V0B/ATP1A1/ATP1B1/DPP10/ATP5ME/KCNIP4/GPM6A/KCNQ5/GRIN1/ATP5MC2/ATP5F1B/FGF14/NALF1/CALM1/PKD1/COX4I1/ATP5F1D/PRNP/PLCB1/SNAP25/ATP5F1E/YWHAH/PLP1/ATP6AP1",24
"GO:0006811","monoatomic ion transport","29/162","129/1629",0.224806201550388,2.26055124892334,4.95654876429359,8.51146818418389e-06,0.00160015601862657,0.00155296963360548,"ATP6V0B/ATP1A1/ATP1B1/DPP10/ATP5ME/KCNIP4/GRIA2/GPM6A/TMEM63B/KCNQ5/GRIN1/ATP5MC2/ATP5F1B/FGF14/NALF1/CALM1/CLCN7/PKD1/MT3/COX4I1/ATP5F1D/FTL/PRNP/PLCB1/SNAP25/ATP5F1E/YWHAH/PLP1/ATP6AP1",29
"GO:0050804","modulation of chemical synaptic transmission","18/162","65/1629",0.276923076923077,2.78461538461538,4.87812120828468,2.82223896208695e-05,0.00434111665804648,0.00421310313957478,"PREPL/NRXN1/PNKD/GRIA2/MAP1B/PTPRD/DNM1/GRIN1/NRG3/SYT1/PFN1/KAT2A/GFAP/DLGAP1/PRNP/PLCB1/SNAP25/YWHAH",18
"GO:0099177","regulation of trans-synaptic signaling","18/162","65/1629",0.276923076923077,2.78461538461538,4.87812120828468,2.82223896208695e-05,0.00434111665804648,0.00421310313957478,"PREPL/NRXN1/PNKD/GRIA2/MAP1B/PTPRD/DNM1/GRIN1/NRG3/SYT1/PFN1/KAT2A/GFAP/DLGAP1/PRNP/PLCB1/SNAP25/YWHAH",18
"GO:0055085","transmembrane transport","31/162","153/1629",0.202614379084967,2.03740014524328,4.47835473751049,3.83616299790091e-05,0.00540898982704029,0.00524948620765388,"ATP6V0B/ATP1A1/ATP1B1/DPP10/ATP5ME/KCNIP4/GRIA2/GPM6A/TMEM63B/KCNQ5/TMEM30A/ACTB/GRIN1/ATP5MC2/ATP5F1B/FGF14/NALF1/CALM1/ARPP19/CLCN7/PKD1/COX4I1/GFAP/ATP5F1D/PRNP/PLCB1/SNAP25/ATP5F1E/YWHAH/PLP1/ATP6AP1",31
"GO:0009152","purine ribonucleotide biosynthetic process","7/162","13/1629",0.538461538461538,5.41452991452991,5.30890694029216,8.69441892864486e-05,0.0113161206363593,0.0109824239098672,"GUK1/ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/ATP5F1E",7
"GO:0007399","nervous system development","51/162","322/1629",0.158385093167702,1.59265010351967,3.94419299356122,0.00012506551621022,0.0149409082450202,0.014500321551718,"ACAP3/NEGR1/PRKACB/NRXN1/CTNNA2/CHN1/MAP2/THRB/ROBO2/LSAMP/ADGRL3/GPM6A/CTNND2/MAP1B/ADGRB3/TMEM30A/ACTB/PCLO/CNTNAP2/CLU/PLEC/PTPRD/GRIN1/NRG3/CFL1/NRGN/OPCML/ATN1/SOX5/FAIM2/SYT1/FGF14/NDRG2/RTN1/NRXN3/CALM1/CKB/PKD1/RBFOX1/MT3/PFN1/KAT2A/GFAP/ACTG1/GPX4/FKBP8/PLCB1/SNAP25/YWHAH/PLP1/GDI1",51
"GO:0007215","glutamate receptor signaling pathway","6/162","10/1629",0.6,6.03333333333333,5.30398050122365,0.000132454860328194,0.0149409082450202,0.014500321551718,"NRXN1/GRIA2/GRIN1/PRNP/PLCB1/PLP1",6
"GO:0009260","ribonucleotide biosynthetic process","7/162","14/1629",0.5,5.02777777777778,5.02820420149195,0.000159433539746672,0.0165643678337358,0.0160759075654024,"GUK1/ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/ATP5F1E",7
"GO:0007268","chemical synaptic transmission","20/162","87/1629",0.229885057471264,2.31162196679438,4.17730101596815,0.000183318373642385,0.0165643678337358,0.0160759075654024,"PREPL/NRXN1/PNKD/GRIA2/MAP1B/PCLO/PTPRD/DNM1/GRIN1/NRG3/SYT1/PFN1/KAT2A/GFAP/DLGAP1/PRNP/PLCB1/SNAP25/YWHAH/PLP1",20
"GO:0098916","anterograde trans-synaptic signaling","20/162","87/1629",0.229885057471264,2.31162196679438,4.17730101596815,0.000183318373642385,0.0165643678337358,0.0160759075654024,"PREPL/NRXN1/PNKD/GRIA2/MAP1B/PCLO/PTPRD/DNM1/GRIN1/NRG3/SYT1/PFN1/KAT2A/GFAP/DLGAP1/PRNP/PLCB1/SNAP25/YWHAH/PLP1",20
"GO:0048812","neuron projection morphogenesis","21/162","94/1629",0.223404255319149,2.24645390070922,4.13576266682044,0.000193339135855449,0.0165643678337358,0.0160759075654024,"NEGR1/NRXN1/CTNNA2/CHN1/MAP2/ROBO2/GPM6A/CTNND2/MAP1B/ADGRB3/ACTB/CNTNAP2/PTPRD/CFL1/SYT1/NRXN3/MT3/ACTG1/SNAP25/YWHAH/GDI1",21
"GO:0009144","purine nucleoside triphosphate metabolic process","12/162","39/1629",0.307692307692308,3.09401709401709,4.39727487751358,0.000224329922022732,0.0165643678337358,0.0160759075654024,"ATP1B1/GUK1/ATP5ME/GAPDH/TPI1/ATP5MC2/ATP5F1B/PKM/NME3/ATP5F1D/ATP5F1E/PFKL",12
"GO:0007612","learning","8/162","19/1629",0.421052631578947,4.23391812865497,4.71045147236336,0.000234628110145367,0.0165643678337358,0.0160759075654024,"NRXN1/ADGRB3/CNTNAP2/CSMD1/GRIN1/NRXN3/PLCB1/SNAP25",8
"GO:0050808","synapse organization","19/162","82/1629",0.231707317073171,2.32994579945799,4.105493435807,0.000240982427410344,0.0165643678337358,0.0160759075654024,"NEGR1/NRXN1/CTNNA2/ROBO2/ADGRL3/SPARCL1/GPM6A/CTNND2/MAP1B/ADGRB3/ACTB/PCLO/PTPRD/NRG3/CFL1/PFN1/ACTG1/PRNP/SNAP25",19
"GO:0099537","trans-synaptic signaling","20/162","89/1629",0.224719101123595,2.25967540574282,4.06034506862198,0.000255764989531803,0.0165643678337358,0.0160759075654024,"PREPL/NRXN1/PNKD/GRIA2/MAP1B/PCLO/PTPRD/DNM1/GRIN1/NRG3/SYT1/PFN1/KAT2A/GFAP/DLGAP1/PRNP/PLCB1/SNAP25/YWHAH/PLP1",20
"GO:0009145","purine nucleoside triphosphate biosynthetic process","6/162","11/1629",0.545454545454545,5.48484848484848,4.95820535519519,0.000267526811121127,0.0165643678337358,0.0160759075654024,"ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/ATP5F1E",6
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","6/162","11/1629",0.545454545454545,5.48484848484848,4.95820535519519,0.000267526811121127,0.0165643678337358,0.0160759075654024,"ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/ATP5F1E",6
"GO:0021762","substantia nigra development","6/162","11/1629",0.545454545454545,5.48484848484848,4.95820535519519,0.000267526811121127,0.0165643678337358,0.0160759075654024,"ACTB/NDRG2/CALM1/CKB/YWHAH/PLP1",6
"GO:0030901","midbrain development","7/162","15/1629",0.466666666666667,4.69259259259259,4.77303818845709,0.000274114834128015,0.0165643678337358,0.0160759075654024,"ACTB/NDRG2/CALM1/CKB/KAT2A/YWHAH/PLP1",7
"GO:0046390","ribose phosphate biosynthetic process","7/162","15/1629",0.466666666666667,4.69259259259259,4.77303818845709,0.000274114834128015,0.0165643678337358,0.0160759075654024,"GUK1/ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/ATP5F1E",7
"GO:0009141","nucleoside triphosphate metabolic process","12/162","40/1629",0.3,3.01666666666667,4.29014348595087,0.000293105308979694,0.0171011787170221,0.0165968886391406,"ATP1B1/GUK1/ATP5ME/GAPDH/TPI1/ATP5MC2/ATP5F1B/PKM/NME3/ATP5F1D/ATP5F1E/PFKL",12
"GO:0031175","neuron projection development","26/162","133/1629",0.195488721804511,1.96574770258981,3.86094271500681,0.000333338568825987,0.0188002952817857,0.0182459006094224,"ACAP3/NEGR1/NRXN1/CTNNA2/CHN1/MAP2/ROBO2/GPM6A/CTNND2/MAP1B/ADGRB3/TMEM30A/ACTB/CNTNAP2/PTPRD/CFL1/SYT1/NRXN3/MT3/GFAP/ACTG1/GPX4/SNAP25/YWHAH/PLP1/GDI1",26
"GO:0042274","ribosomal small subunit biogenesis","8/162","20/1629",0.4,4.02222222222222,4.5178626233831,0.00035828133969743,0.0188614693510537,0.0183052707401044,"RPS14/RPS12/FAU/RPS28/RPS16/RPS11/RPS5/RPS21",8
"GO:0120039","plasma membrane bounded cell projection morphogenesis","21/162","98/1629",0.214285714285714,2.1547619047619,3.91730639309804,0.000360592298033137,0.0188614693510537,0.0183052707401044,"NEGR1/NRXN1/CTNNA2/CHN1/MAP2/ROBO2/GPM6A/CTNND2/MAP1B/ADGRB3/ACTB/CNTNAP2/PTPRD/CFL1/SYT1/NRXN3/MT3/ACTG1/SNAP25/YWHAH/GDI1",21
"GO:0042254","ribosome biogenesis","12/162","41/1629",0.292682926829268,2.94308943089431,4.18628816080392,0.000379012977503443,0.0188614693510537,0.0183052707401044,"RPL35A/RPS14/RPS12/RPL35/FAU/RPL27/RPL38/RPS28/RPS16/RPS11/RPS5/RPS21",12
"GO:0099504","synaptic vesicle cycle","12/162","41/1629",0.292682926829268,2.94308943089431,4.18628816080392,0.000379012977503443,0.0188614693510537,0.0183052707401044,"PREPL/NRXN1/AP2M1/CTBP1/ACTB/PCLO/DNM1/SYT1/ACTG1/ARHGDIA/SNAP25/ATP6AP1",12
"GO:0048858","cell projection morphogenesis","21/162","99/1629",0.212121212121212,2.13299663299663,3.86429392105152,0.000418419875531801,0.0202276122685659,0.0196311279948755,"NEGR1/NRXN1/CTNNA2/CHN1/MAP2/ROBO2/GPM6A/CTNND2/MAP1B/ADGRB3/ACTB/CNTNAP2/PTPRD/CFL1/SYT1/NRXN3/MT3/ACTG1/SNAP25/YWHAH/GDI1",21
"GO:0006164","purine nucleotide biosynthetic process","7/162","16/1629",0.4375,4.39930555555556,4.53944399402873,0.000446894685947906,0.0210040502395516,0.0203846698853431,"GUK1/ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/ATP5F1E",7
"GO:0009142","nucleoside triphosphate biosynthetic process","6/162","12/1629",0.5,5.02777777777778,4.65233270544264,0.000491283209210535,0.0218750313153743,0.0212299669354137,"ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/ATP5F1E",6
"GO:0009201","ribonucleoside triphosphate biosynthetic process","6/162","12/1629",0.5,5.02777777777778,4.65233270544264,0.000491283209210535,0.0218750313153743,0.0212299669354137,"ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/ATP5F1E",6
"GO:0048699","generation of neurons","34/162","198/1629",0.171717171717172,1.72671156004489,3.62446990133125,0.000518581702814127,0.0224984677220898,0.021835019065858,"ACAP3/NEGR1/NRXN1/CTNNA2/CHN1/MAP2/THRB/ROBO2/ADGRL3/GPM6A/CTNND2/MAP1B/ADGRB3/TMEM30A/ACTB/CNTNAP2/PTPRD/NRG3/CFL1/OPCML/SOX5/FAIM2/SYT1/RTN1/NRXN3/MT3/GFAP/ACTG1/GPX4/FKBP8/SNAP25/YWHAH/PLP1/GDI1",34
"GO:0048666","neuron development","28/162","152/1629",0.184210526315789,1.85233918128655,3.66617886958066,0.000546841416226751,0.0231313919063916,0.0224492791924666,"ACAP3/NEGR1/NRXN1/CTNNA2/CHN1/MAP2/THRB/ROBO2/GPM6A/CTNND2/MAP1B/ADGRB3/TMEM30A/ACTB/CNTNAP2/PTPRD/CFL1/OPCML/SYT1/NRXN3/MT3/GFAP/ACTG1/GPX4/SNAP25/YWHAH/PLP1/GDI1",28
"GO:0099003","vesicle-mediated transport in synapse","13/162","49/1629",0.26530612244898,2.66780045351474,3.93806821560527,0.000622937426437795,0.0257075640373841,0.0249494835749155,"PREPL/NRXN1/AP2M1/CTBP1/ACTB/PCLO/DNM1/SYT1/CALM1/ACTG1/ARHGDIA/SNAP25/ATP6AP1",13
