"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006366","transcription by RNA polymerase II","103/436","294/1629",0.350340136054422,1.30895431567122,3.53653142521767,0.000338932804130887,0.410846354763756,0.410846354763756,"SKI/PADI2/ARID1A/PTAFR/KPNA6/GATAD2B/ARHGEF2/NLRP3/DNMT3A/ANXA4/TET3/ERCC3/SAP130/BMPR2/SP110/SP140/LRRFIP1/TRAK1/ZXDC/YEATS2/NSD2/IRF2/KDM3B/PPARGC1B/NSD1/RREB1/JARID2/TFEB/TRERF1/FOXK1/BAZ1B/GTF2IRD1/ZKSCAN1/CUX1/HIPK2/IKBKB/ZHX2/ZNF251/NFX1/AKNA/ABL1/MED27/EHMT1/ZMIZ1/SUFU/CTBP2/AMBRA1/KDM2A/ARRB1/TFCP2/ELK3/KDM2B/MLXIP/NCOR2/PSEN1/JDP2/INO80/ZNF710/UBE2I/GLYR1/LITAF/NFATC2IP/CTCF/NFATC3/WWP2/WWOX/TCF25/CRK/ZBTB4/RAI1/CRLF3/BPTF/MAFG/FOXK2/ZNF516/ZNF236/NFATC1/ARID3A/NFIC/SMARCA4/ZNF69/BRD4/ELL/CRTC1/GATAD2A/ZNF146/ZFP14/ZNF780B/TGFB1/ZNF611/ZNF331/ZSCAN5A/MAVS/PHF20/ZMYND8/NFATC2/TAF4/DIDO1/ZBTB46/MED15/SREBF2/TCF20/BRD1",103
"GO:0006357","regulation of transcription by RNA polymerase II","100/436","287/1629",0.348432055749129,1.30182527251223,3.40463465130971,0.000538686028055274,0.410846354763756,0.410846354763756,"SKI/ARID1A/PTAFR/KPNA6/GATAD2B/ARHGEF2/NLRP3/DNMT3A/ANXA4/TET3/SAP130/BMPR2/SP110/SP140/LRRFIP1/TRAK1/ZXDC/YEATS2/NSD2/IRF2/KDM3B/PPARGC1B/NSD1/RREB1/JARID2/TFEB/TRERF1/FOXK1/BAZ1B/GTF2IRD1/ZKSCAN1/CUX1/HIPK2/IKBKB/ZHX2/ZNF251/NFX1/AKNA/ABL1/MED27/EHMT1/ZMIZ1/SUFU/CTBP2/AMBRA1/KDM2A/ARRB1/TFCP2/ELK3/KDM2B/MLXIP/NCOR2/PSEN1/JDP2/INO80/ZNF710/UBE2I/LITAF/NFATC2IP/CTCF/NFATC3/WWP2/WWOX/TCF25/CRK/ZBTB4/RAI1/CRLF3/BPTF/MAFG/FOXK2/ZNF516/ZNF236/NFATC1/ARID3A/NFIC/SMARCA4/ZNF69/BRD4/ELL/CRTC1/GATAD2A/ZNF146/ZFP14/ZNF780B/TGFB1/ZNF611/ZNF331/ZSCAN5A/MAVS/PHF20/ZMYND8/NFATC2/TAF4/DIDO1/ZBTB46/MED15/SREBF2/TCF20/BRD1",100
"GO:0006351","DNA-templated transcription","128/436","383/1629",0.33420365535248,1.24866457469998,3.36282686325628,0.000572741200878842,0.410846354763756,0.410846354763756,"SKI/MTOR/PADI2/ARID1A/PTAFR/KPNA6/GATAD2B/GON4L/ARHGEF2/NLRP3/DNMT3A/ANXA4/TET3/LOXL3/LIMS1/ERCC3/SAP130/BMPR2/SP110/SP140/LRRFIP1/IRAK2/XPC/TRAK1/PARP14/ZXDC/YEATS2/NSD2/IRF2/DAP/BDP1/KDM3B/PPARGC1B/NSD1/RREB1/JARID2/TFEB/TRERF1/CARD11/FOXK1/BAZ1B/GTF2IRD1/ZKSCAN1/CUX1/HIPK2/IKBKB/ZHX2/ZNF251/NFX1/AKNA/ABL1/MED27/EHMT1/CAMK1D/CCAR1/ZMIZ1/SUFU/CTBP2/AMBRA1/KDM2A/ARRB1/TAF1D/TFCP2/ELK3/CMKLR1/KDM2B/MLXIP/NCOR2/EP400/SNX6/PSEN1/JDP2/INO80/MAP2K1/PDE8A/ZNF710/UBE2I/GLYR1/LITAF/NFATC2IP/RRN3P2/CTCF/NFATC3/WWP2/WWOX/PLCG2/TCF25/CRK/ZBTB4/RAI1/CRLF3/BPTF/RPTOR/MAFG/FOXK2/L3MBTL4/ZNF516/ZNF236/NFATC1/ARID3A/NFIC/DNM2/SMARCA4/ZNF69/BRD4/ELL/CRTC1/GATAD2A/ZNF146/ZFP14/HNRNPL/ZNF780B/TGFB1/ZNF611/ZNF331/ZSCAN5A/MAVS/PHF20/ZMYND8/NFATC2/TAF4/DIDO1/ZBTB46/MED15/ASCC2/SREBF2/TCF20/BRD1",128
"GO:0051252","regulation of RNA metabolic process","138/436","422/1629",0.327014218009479,1.22180312187486,3.1990458753436,0.000968214863765107,0.520899596705627,0.520899596705627,"SKI/MTOR/TNFRSF1B/ARID1A/PTAFR/SRSF4/KPNA6/SETDB1/GATAD2B/GON4L/ARHGEF2/NLRP3/DNMT3A/ANXA4/TET3/LOXL3/LIMS1/SAP130/BMPR2/SP110/SP140/DIS3L2/LRRFIP1/IRAK2/XPC/CNOT10/TRAK1/PRKCD/PARP14/ZXDC/YEATS2/NSD2/IRF2/TENT4A/DAP/KDM3B/PPARGC1B/LARP1/NSD1/RREB1/JARID2/TFEB/TRERF1/CARD11/FOXK1/BAZ1B/GTF2IRD1/ZKSCAN1/CUX1/HIPK2/IKBKB/ZHX2/ZNF251/NFX1/SECISBP2/AKNA/ABL1/MED27/EHMT1/CAMK1D/CCAR1/ZMIZ1/SUFU/CTBP2/AMBRA1/MALAT1/KDM2A/ARRB1/TAF1D/TFCP2/ELK3/CMKLR1/KDM2B/MLXIP/NCOR2/SFSWAP/EP400/SNX6/RBM25/PSEN1/JDP2/INO80/MAP2K1/PDE8A/ZNF710/UBE2I/LITAF/NFATC2IP/CTCF/NFATC3/WWP2/WWOX/PLCG2/ZC3H18/TCF25/CRK/METTL16/ZBTB4/RAI1/CRLF3/BPTF/RPTOR/MAFG/FOXK2/L3MBTL4/ZNF516/ZNF236/NFATC1/ARID3A/NFIC/DNM2/SMARCA4/ZNF69/BRD4/ELL/CRTC1/GATAD2A/ZNF146/ZFP14/HNRNPL/ZNF780B/TGFB1/ZNF611/ZNF331/ZSCAN5A/MAVS/PHF20/ZMYND8/NFATC2/TAF4/DIDO1/ZBTB46/SON/MED15/ASCC2/SREBF2/TCF20/BRD1",138
"GO:2001141","regulation of RNA biosynthetic process","124/436","377/1629",0.328912466843501,1.22889543231207,3.06376788857903,0.00153752682363646,0.661751544893134,0.661751544893134,"SKI/MTOR/ARID1A/PTAFR/KPNA6/SETDB1/GATAD2B/GON4L/ARHGEF2/NLRP3/DNMT3A/ANXA4/TET3/LOXL3/LIMS1/SAP130/BMPR2/SP110/SP140/LRRFIP1/IRAK2/XPC/TRAK1/PARP14/ZXDC/YEATS2/NSD2/IRF2/DAP/KDM3B/PPARGC1B/NSD1/RREB1/JARID2/TFEB/TRERF1/CARD11/FOXK1/BAZ1B/GTF2IRD1/ZKSCAN1/CUX1/HIPK2/IKBKB/ZHX2/ZNF251/NFX1/AKNA/ABL1/MED27/EHMT1/CAMK1D/CCAR1/ZMIZ1/SUFU/CTBP2/AMBRA1/KDM2A/ARRB1/TAF1D/TFCP2/ELK3/CMKLR1/KDM2B/MLXIP/NCOR2/EP400/SNX6/PSEN1/JDP2/INO80/MAP2K1/PDE8A/ZNF710/UBE2I/LITAF/NFATC2IP/CTCF/NFATC3/WWP2/WWOX/PLCG2/TCF25/CRK/ZBTB4/RAI1/CRLF3/BPTF/RPTOR/MAFG/FOXK2/L3MBTL4/ZNF516/ZNF236/NFATC1/ARID3A/NFIC/DNM2/SMARCA4/ZNF69/BRD4/ELL/CRTC1/GATAD2A/ZNF146/ZFP14/HNRNPL/ZNF780B/TGFB1/ZNF611/ZNF331/ZSCAN5A/MAVS/PHF20/ZMYND8/NFATC2/TAF4/DIDO1/ZBTB46/MED15/ASCC2/SREBF2/TCF20/BRD1",124
"GO:0006355","regulation of DNA-templated transcription","123/436","376/1629",0.327127659574468,1.22222696662112,2.96937719135659,0.00206498557073417,0.74064149136999,0.74064149136999,"SKI/MTOR/ARID1A/PTAFR/KPNA6/GATAD2B/GON4L/ARHGEF2/NLRP3/DNMT3A/ANXA4/TET3/LOXL3/LIMS1/SAP130/BMPR2/SP110/SP140/LRRFIP1/IRAK2/XPC/TRAK1/PARP14/ZXDC/YEATS2/NSD2/IRF2/DAP/KDM3B/PPARGC1B/NSD1/RREB1/JARID2/TFEB/TRERF1/CARD11/FOXK1/BAZ1B/GTF2IRD1/ZKSCAN1/CUX1/HIPK2/IKBKB/ZHX2/ZNF251/NFX1/AKNA/ABL1/MED27/EHMT1/CAMK1D/CCAR1/ZMIZ1/SUFU/CTBP2/AMBRA1/KDM2A/ARRB1/TAF1D/TFCP2/ELK3/CMKLR1/KDM2B/MLXIP/NCOR2/EP400/SNX6/PSEN1/JDP2/INO80/MAP2K1/PDE8A/ZNF710/UBE2I/LITAF/NFATC2IP/CTCF/NFATC3/WWP2/WWOX/PLCG2/TCF25/CRK/ZBTB4/RAI1/CRLF3/BPTF/RPTOR/MAFG/FOXK2/L3MBTL4/ZNF516/ZNF236/NFATC1/ARID3A/NFIC/DNM2/SMARCA4/ZNF69/BRD4/ELL/CRTC1/GATAD2A/ZNF146/ZFP14/HNRNPL/ZNF780B/TGFB1/ZNF611/ZNF331/ZSCAN5A/MAVS/PHF20/ZMYND8/NFATC2/TAF4/DIDO1/ZBTB46/MED15/ASCC2/SREBF2/TCF20/BRD1",123
"GO:0016070","RNA metabolic process","157/436","498/1629",0.315261044176707,1.17789046092627,2.87929559219218,0.00257647209875741,0.753613998940439,0.753613998940439,"SKI/MTOR/TNFRSF1B/PADI2/ARID1A/PTAFR/SRSF4/KPNA6/ERI3/RPRD2/SETDB1/GATAD2B/GON4L/ARHGEF2/NLRP3/DNMT3A/ANXA4/TET3/LOXL3/LIMS1/ERCC3/SAP130/BMPR2/SP110/SP140/DIS3L2/LRRFIP1/IRAK2/XPC/CNOT10/TRAK1/USP4/PRKCD/PARP14/ZXDC/YEATS2/NSD2/IRF2/TENT4A/DAP/BDP1/DDX46/KDM3B/PPARGC1B/LARP1/NSD1/RREB1/JARID2/TFEB/TRERF1/CARD11/FOXK1/TYW1/BAZ1B/GTF2IRD1/ZKSCAN1/CUX1/PRKRIP1/HIPK2/IKBKB/ZHX2/ZNF251/NFX1/SECISBP2/AKNA/ABL1/MED27/EHMT1/CAMK1D/CCAR1/ZMIZ1/SUFU/CTBP2/AMBRA1/MALAT1/KDM2A/ARRB1/TAF1D/BICD1/TFCP2/ELK3/CMKLR1/ATXN2/KDM2B/MLXIP/NCOR2/SFSWAP/EP400/CARS2/SNX6/PNN/RBM25/PSEN1/JDP2/INO80/MAP2K1/PDE8A/ZNF710/UBE2I/GLYR1/LITAF/NFATC2IP/RRN3P2/CTCF/NFATC3/WWP2/WWOX/PLCG2/ZC3H18/TCF25/CRK/SMG6/METTL16/ZBTB4/RAI1/CRLF3/EFTUD2/BPTF/RPTOR/MAFG/FOXK2/L3MBTL4/ZNF516/ZNF236/NFATC1/ARID3A/NFIC/DNM2/SMARCA4/ZNF69/BRD4/ELL/CRTC1/GATAD2A/ZNF146/ZFP14/HNRNPL/ZNF780B/TGFB1/CLASRP/ZNF611/ZNF331/ZSCAN5A/MAVS/PHF20/ZMYND8/NFATC2/TAF4/DIDO1/ZBTB46/SON/MED15/ASCC2/SREBF2/TCF20/BRD1/NBDY",157
"GO:0019219","regulation of nucleobase-containing compound metabolic process","143/436","449/1629",0.318485523385301,1.18993788439141,2.85787998084335,0.00280153902951836,0.753613998940439,0.753613998940439,"SKI/MTOR/TNFRSF1B/ARID1A/PTAFR/SRSF4/KPNA6/SETDB1/GATAD2B/GON4L/ARHGEF2/NLRP3/DNMT3A/ANXA4/TET3/LOXL3/LIMS1/SAP130/BMPR2/SP110/SP140/DIS3L2/LRRFIP1/IRAK2/XPC/CNOT10/TRAK1/PRKCD/PARP14/ZXDC/YEATS2/NSD2/IRF2/TENT4A/DAP/KDM3B/PPARGC1B/LARP1/NSD1/RREB1/JARID2/TFEB/TRERF1/CARD11/FOXK1/BAZ1B/GTF2IRD1/ZKSCAN1/CUX1/HIPK2/PRKAG2/IKBKB/SPIDR/ZHX2/ZNF251/NFX1/SECISBP2/AKNA/ABL1/MED27/EHMT1/CAMK1D/CCAR1/ZMIZ1/SUFU/CTBP2/MGMT/AMBRA1/MALAT1/KDM2A/ARRB1/TAF1D/TFCP2/ELK3/CMKLR1/KDM2B/MLXIP/NCOR2/SFSWAP/EP400/CUL4A/SNX6/RBM25/PSEN1/JDP2/INO80/MAP2K1/PDE8A/ZNF710/UBE2I/LITAF/NFATC2IP/CTCF/NFATC3/WWP2/WWOX/PLCG2/ZC3H18/TCF25/CRK/SMG6/METTL16/ZBTB4/RAI1/CRLF3/BPTF/RPTOR/MAFG/FOXK2/L3MBTL4/ZNF516/ZNF236/NFATC1/ARID3A/NFIC/DNM2/SMARCA4/ZNF69/BRD4/ELL/CRTC1/GATAD2A/ZNF146/ZFP14/HNRNPL/ZNF780B/TGFB1/ZNF611/ZNF331/ZSCAN5A/MAVS/PHF20/ZMYND8/NFATC2/TAF4/DIDO1/ZBTB46/SON/MED15/ASCC2/SREBF2/TCF20/BRD1",143
"GO:0038202","TORC1 signaling","13/436","25/1629",0.52,1.94284403669725,2.87116336568633,0.00599352797112704,0.999991280498079,0.999991280498079,"MTOR/SZT2/USP4/LARP1/RPS6KA2/CARD11/ITFG2/ATXN3/NPRL3/CLEC16A/WDR59/USP32/RPTOR",13
"GO:0006352","DNA-templated transcription initiation","11/436","20/1629",0.55,2.05493119266055,2.86887306322184,0.00661639349683512,0.999991280498079,0.999991280498079,"PADI2/ARID1A/TET3/ERCC3/BDP1/MED27/GLYR1/RRN3P2/SMARCA4/TAF4/MED15",11
