"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","25/178","72/4324",0.347222222222222,8.43476903870162,13.1802932194164,1.24625002139595e-17,2.90750129991674e-14,2.60531846578142e-14,"RPL11/RPS8/RPL32/EIF4A2/RPL34/RPS23/RPS14/RPL30/RPL8/RPL35/RPS24/RPLP2/FAU/RPS3/RPLP1/PKM/RPL13/RPL19/RPL38/RPL36/UBA52/RPS19/RPL18/RPL28/RPS21",25
"GO:1902600","proton transmembrane transport","15/178","49/4324",0.306122448979592,7.43636780554919,9.38769139352693,4.25413574200166e-10,4.96244934304493e-07,4.44669135979752e-07,"NDUFS5/ATP6V0B/ATP1B1/COX5B/ATP5ME/ATP5MC2/ATP5F1B/COX4I1/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E/TMSB4X/ATP6AP1",15
"GO:0006812","monoatomic cation transport","33/178","247/4324",0.133603238866397,3.24550789246236,7.52975207434869,6.93762152598838e-10,5.3951570067103e-07,4.83442678968875e-07,"NDUFS5/ATP6V0B/ATP1B1/COX5B/ATP5ME/KCNIP4/PPP3CA/GPM6A/GRIN1/FTH1/SLC38A2/TMBIM6/ATP5MC2/CD63/ATP5F1B/NALF1/SLC22A17/HSPA2/CALM1/MT3/COX4I1/ATP5F1D/NDUFS7/RAB11B/NDUFB7/CALM3/FTL/NDUFA3/PRNP/SNAP25/ATP5F1E/TMSB4X/ATP6AP1",33
"GO:0098662","inorganic cation transmembrane transport","28/178","195/4324",0.143589743589744,3.48810141169692,7.36632561144854,3.15231984319339e-09,1.83859054854254e-06,1.64750189699528e-06,"NDUFS5/ATP6V0B/ATP1B1/COX5B/ATP5ME/KCNIP4/PPP3CA/GPM6A/GRIN1/SLC38A2/TMBIM6/ATP5MC2/CD63/ATP5F1B/NALF1/HSPA2/CALM1/COX4I1/ATP5F1D/NDUFS7/NDUFB7/CALM3/NDUFA3/PRNP/SNAP25/ATP5F1E/TMSB4X/ATP6AP1",28
"GO:0098655","monoatomic cation transmembrane transport","28/178","201/4324",0.139303482587065,3.38397898149701,7.17103353479903,6.35038204862386e-09,2.96308826388789e-06,2.65512815759305e-06,"NDUFS5/ATP6V0B/ATP1B1/COX5B/ATP5ME/KCNIP4/PPP3CA/GPM6A/GRIN1/SLC38A2/TMBIM6/ATP5MC2/CD63/ATP5F1B/NALF1/HSPA2/CALM1/COX4I1/ATP5F1D/NDUFS7/NDUFB7/CALM3/NDUFA3/PRNP/SNAP25/ATP5F1E/TMSB4X/ATP6AP1",28
"GO:0098660","inorganic ion transmembrane transport","28/178","208/4324",0.134615384615385,3.27009507346586,6.952259923405,1.38602509255056e-08,5.38932756820075e-06,4.82920321720246e-06,"NDUFS5/ATP6V0B/ATP1B1/COX5B/ATP5ME/KCNIP4/PPP3CA/GPM6A/GRIN1/SLC38A2/TMBIM6/ATP5MC2/CD63/ATP5F1B/NALF1/HSPA2/CALM1/COX4I1/ATP5F1D/NDUFS7/NDUFB7/CALM3/NDUFA3/PRNP/SNAP25/ATP5F1E/TMSB4X/ATP6AP1",28
"GO:0006412","translation","30/178","239/4324",0.125523012552301,3.04922194537163,6.75273781967627,2.07809257156601e-08,6.92598567066215e-06,6.2061531535791e-06,"RPL11/RPS8/RPL32/EIF4A2/RPL34/RPS23/RPS14/RPL30/RPL8/RPL35/MRPL41/RPS24/RPLP2/FAU/RPS3/GAPDH/RPLP1/PKM/RPL13/RPL19/EIF1/RPL38/EEF2/RPL36/UBA52/APLP1/RPS19/RPL18/RPL28/RPS21",30
"GO:0006119","oxidative phosphorylation","11/178","32/4324",0.34375,8.35042134831461,8.6465993800327,2.568945986857e-08,7.49168873417174e-06,6.71306148670791e-06,"NDUFS5/COX5B/ATP5ME/COX6C/ATP5F1B/COX4I1/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E",11
"GO:0009144","purine nucleoside triphosphate metabolic process","17/178","84/4324",0.202380952380952,4.91626538255752,7.50959989040422,2.9946210578377e-08,7.76272325326149e-06,6.95592680803002e-06,"NDUFS5/ATP1B1/GUK1/ATP5ME/UCHL1/GAPDH/ENO2/ATP5MC2/ATP5F1B/PKM/NME3/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E/TMSB4X",17
"GO:0006811","monoatomic ion transport","33/178","287/4324",0.114982578397213,2.79317229769408,6.51360719308648,3.36699262811137e-08,7.85519380138382e-06,7.03878669413597e-06,"NDUFS5/ATP6V0B/ATP1B1/COX5B/ATP5ME/KCNIP4/PPP3CA/GPM6A/GRIN1/FTH1/SLC38A2/TMBIM6/ATP5MC2/CD63/ATP5F1B/NALF1/SLC22A17/HSPA2/CALM1/MT3/COX4I1/ATP5F1D/NDUFS7/RAB11B/NDUFB7/CALM3/FTL/NDUFA3/PRNP/SNAP25/ATP5F1E/TMSB4X/ATP6AP1",33
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","11/178","33/4324",0.333333333333333,8.09737827715356,8.47937096448252,3.71681760828177e-08,7.88303225465578e-06,7.06373183736612e-06,"NDUFS5/ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E/TMSB4X",11
"GO:0009141","nucleoside triphosphate metabolic process","17/178","87/4324",0.195402298850575,4.74673899005553,7.31428374683522,5.20240563996122e-08,8.28675175751503e-06,7.42549190805823e-06,"NDUFS5/ATP1B1/GUK1/ATP5ME/UCHL1/GAPDH/ENO2/ATP5MC2/ATP5F1B/PKM/NME3/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E/TMSB4X",17
"GO:0009145","purine nucleoside triphosphate biosynthetic process","11/178","34/4324",0.323529411764706,7.85922009253139,8.3190459057548,5.29966689549506e-08,8.28675175751503e-06,7.42549190805823e-06,"NDUFS5/ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E/TMSB4X",11
"GO:0009201","ribonucleoside triphosphate biosynthetic process","11/178","34/4324",0.323529411764706,7.85922009253139,8.3190459057548,5.29966689549506e-08,8.28675175751503e-06,7.42549190805823e-06,"NDUFS5/ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E/TMSB4X",11
"GO:0015986","proton motive force-driven ATP synthesis","9/178","21/4324",0.428571428571429,10.4109149277689,8.95661263700873,5.327958695359e-08,8.28675175751503e-06,7.42549190805823e-06,"NDUFS5/ATP5ME/ATP5MC2/ATP5F1B/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E",9
"GO:0009205","purine ribonucleoside triphosphate metabolic process","16/178","79/4324",0.20253164556962,4.91992604181482,7.28518427593959,7.73290644398356e-08,1.12755442086335e-05,1.01036527616785e-05,"NDUFS5/ATP1B1/ATP5ME/UCHL1/GAPDH/ENO2/ATP5MC2/ATP5F1B/PKM/NME3/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E/TMSB4X",16
"GO:0046034","ATP metabolic process","15/178","70/4324",0.214285714285714,5.20545746388443,7.34939334772826,9.10805149764676e-08,1.24994612611823e-05,1.1200365494939e-05,"NDUFS5/ATP1B1/ATP5ME/UCHL1/GAPDH/ENO2/ATP5MC2/ATP5F1B/PKM/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E/TMSB4X",15
"GO:0009142","nucleoside triphosphate biosynthetic process","11/178","36/4324",0.305555555555556,7.42259675405743,8.017195749642,1.03543808416634e-07,1.3420428057556e-05,1.20256142406688e-05,"NDUFS5/ATP5ME/ATP5MC2/ATP5F1B/NME3/ATP5F1D/NDUFS7/NDUFB7/NDUFA3/ATP5F1E/TMSB4X",11
