"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006338","chromatin remodeling","118/1116","135/1547",0.874074074074074,1.21164210805788,4.14047170922391,8.02149237311836e-06,0.0144868152258518,0.0144868152258518,"MTOR/PRDM2/PADI2/ARID1A/EYA3/RLF/SCMH1/NASP/MAST2/TTF2/SETDB1/GATAD2B/ASH1L/ARID4B/DNMT3A/TET3/IWS1/ZRANB3/STK39/TLK1/SMARCAL1/HDAC4/SETD5/RAF1/SETD2/SMARCC1/RAD54L2/PBRM1/YEATS2/RNF168/NSD2/LIN54/SETD7/NEK1/PRIMPOL/BRD9/ATPSCKMT/TRIO/NIM1K/KDM3B/CSNK1A1/PWWP2A/NSD1/JARID2/STK38/RNF8/UBR2/BICRAL/LATS1/RPS6KA2/HDAC9/BAZ1B/GATAD1/LMTK2/TRRAP/HIPK2/BRAF/KAT6A/IKBKB/TRPM6/EHMT1/TET1/DNAJC9/BTAF1/NAP1L4/KDM2A/KMT5B/TBK1/NUAK1/TAOK3/KDM2B/BCL7A/EP400/MPHOSPH8/ARID4A/DPF3/NEK9/NRDE2/RPS6KA5/CDC42BPB/MARK3/INO80/DAPK2/CREBBP/GLYR1/UBN1/CTCF/PRMT7/NFAT5/CFDP1/MINK1/ULK2/KSR1/EZH1/BRCA1/RPS6KB1/PPM1D/TLK2/BPTF/ROCK1/MBD2/KDM4B/SMARCA4/PAK4/MARK4/ZNF274/CSNK2A1/TOP1/SGK2/MCM3AP/PRMT2/CECR2/CABIN1/EP300/BRD1/PRKX/CASK/TAF1",118
"GO:0006325","chromatin organization","134/1116","157/1547",0.853503184713376,1.18312672647992,3.89396788349391,3.10120374307294e-05,0.0280038697999487,0.0280038697999487,"MTOR/PRDM2/PADI2/ARID1A/EYA3/RLF/SCMH1/NASP/MAST2/TTF2/SETDB1/GATAD2B/ASH1L/ARID4B/DNMT3A/BABAM2/TET3/KANSL3/IWS1/ZRANB3/STK39/TLK1/SMARCAL1/HDAC4/SETD5/RAF1/SETD2/SMARCC1/RAD54L2/PBRM1/YEATS2/RNF168/NSD2/LIN54/SETD7/NEK1/PRIMPOL/BRD9/ATPSCKMT/TRIO/NIM1K/KDM3B/CSNK1A1/PWWP2A/NSD1/JARID2/STK38/RNF8/UBR2/BICRAL/LATS1/RPS6KA2/HDAC9/BAZ1B/GATAD1/LMTK2/TRRAP/ZCWPW1/HIPK2/BRAF/KAT6A/IKBKB/TRPM6/EHMT1/TET1/DNAJC9/BTAF1/SLF2/NAP1L4/KDM2A/KMT5B/RNF169/TBK1/NUAK1/TAOK3/KDM2B/BCL7A/EP400/MPHOSPH8/ARID4A/DPF3/NEK9/NRDE2/RPS6KA5/CDC42BPB/MARK3/INO80/DAPK2/CREBBP/GLYR1/UBN1/RBL2/CTCF/PRMT7/NFAT5/CFDP1/BANP/ZZEF1/MINK1/NCOR1/ULK2/KSR1/EZH1/BRCA1/KANSL1/MBTD1/RPS6KB1/PPM1D/TLK2/BPTF/ROCK1/MBD2/KDM4B/SMARCA4/PAK4/MARK4/ZNF274/CSNK2A1/PHF20/RBL1/TOP1/SGK2/ZMYND8/SS18L1/MCM3AP/PRMT2/CECR2/CABIN1/EP300/BRD1/PRKX/CASK/TAF1/JPX",134
"GO:0032259","methylation","22/1116","22/1547",1,1.38620071684588,2.93486210823196,0.00071531959200558,0.430622394387359,0.430622394387359,"PRDM2/SETDB1/ASH1L/MTR/DNMT3A/METTL8/SETD5/METTL6/SETD2/NSD2/SETD7/ATPSCKMT/NSD1/EHMT1/NSUN6/KMT5B/RAB6A/LCMT1/PRMT7/METTL16/EZH1/PRMT2",22
"GO:0006282","regulation of DNA repair","32/1116","35/1547",0.914285714285714,1.2673835125448,2.57389577977358,0.00484543271854737,0.875122268952859,0.875122268952859,"ARID1A/EYA3/BABAM2/SETD2/SMARCC1/PBRM1/RNF168/NSD2/RNF8/TRRAP/ZCWPW1/CYREN/SPIDR/ABL1/FBH1/SHLD2/SLF2/KMT5B/RNF169/BCL7A/EP400/CUL4A/DPF3/INO80/CREBBP/TERF2/BRCA1/MBTD1/SPIRE1/SMARCA4/CSNK2A1/TAF4",32
"GO:0032774","RNA biosynthetic process","337/1116","439/1547",0.767653758542141,1.06412219038055,2.55369447070773,0.00594550236674265,0.875122268952859,0.875122268952859,"PRKCZ/CAMTA1/PER3/CTNNBIP1/MTOR/PRDM2/PADI2/SRRM1/RSRP1/ARID1A/SRSF4/KHDRBS1/KPNA6/ZBTB8OS/TRIM62/AGO4/AGO3/RLF/SCMH1/ERI3/GPBP1L1/FAF1/SSBP3/PLPP3/RPAP2/RNPC3/PRPF38B/TTF2/OTUD7B/RPRD2/SETDB1/GABPB2/POGZ/GATAD2B/ASH1L/GON4L/ARHGEF2/ARHGEF11/ATP2B4/NVL/ARID4B/ACTN2/ITGB1BP1/DNMT3A/GTF3C2/COMMD1/MEIS1/ANXA4/TET3/KANSL3/ANKRD23/LIMS1/ERCC3/IWS1/SAP130/METTL8/ORC2/CFLAR/SMARCAL1/HDAC4/MTERF4/SETD5/IRAK2/TSEN2/RAF1/XPC/NR2C2/METTL6/UBE2E1/ZNF621/TRAK1/ZNF197/SETD2/SMARCC1/USP4/RBM6/PBRM1/ZNF717/GOLGB1/ZXDC/ZIC1/YEATS2/RNF168/ZNF721/NSD2/HNRNPD/LIN54/PKD2/ELF2/SETD7/WWC2/STOX2/IRF2/PRIMPOL/BRD9/TENT4A/ZNF131/BDP1/DDX46/KDM3B/FGF1/PWWP2A/NSD1/MAML1/DUSP22/FARS2/JARID2/PPARD/RNF8/TFEB/BICRAL/GCLC/CASP8AP2/BACH2/AHI1/SCAF8/FOXK1/HDAC9/JAZF1/CDK13/LANCL2/TYW1/TYW1B/BAZ1B/GTF2IRD1/GTF2I/GATAD1/TRRAP/ZKSCAN1/CUX1/PRKRIP1/NRF1/CREB3L2/TRIM24/HIPK2/ZNF398/INTS10/INTS9/TACC1/KAT6A/IKBKB/ZHX2/AGO2/ZNF251/RCL1/NFX1/SEMA4D/HABP4/ZNF782/ZNF189/CDK5RAP2/SCAI/ABL1/MED27/SETX/EHMT1/PRKCQ/SFMBT2/KIN/NSUN6/ZNF248/ZNF33A/TET1/CCAR1/ASCC1/ZMIZ1/BTAF1/EXOSC1/MMS19/SUFU/TCF7L2/FGFR2/CTBP2/TRIM44/AMBRA1/KDM2A/PAAF1/ARRB1/TAF1D/TULP3/BICD1/PRPF40B/ATF1/TFCP2/POU6F1/STAT2/TBK1/ZFC3H1/CEP290/KDM2B/BCL7A/MLXIP/NCOR2/SFSWAP/EP400/MPHOSPH8/ZMYM5/FOXO1/ELF1/UPF3A/EAPP/SNX6/PNN/ARID4A/DPF3/RBM25/PSEN1/MIDEAS/LIN52/FOXN3/NRDE2/RPS6KA5/TRAF3/BRF1/GREM1/DNAJC17/INO80/MGA/CTDSPL2/ZNF280D/SLTM/TRIP4/ZNF609/PDCD7/DIS3L/MAP2K5/ARNT2/CPEB1/ZNF710/CRTC3/SLCO3A1/LUC7L/ZNF75A/CREBBP/GLYR1/LITAF/PARN/NFATC2IP/RRN3P2/RBL2/CBFB/CTCF/NFATC3/PRMT7/ZFP90/CDH1/NFAT5/WWP2/ZNF276/TCF25/METTL16/NCBP3/NCOR1/RAI1/TAF15/CDK12/STAT5B/STAT3/EZH1/BRCA1/DHX8/KANSL1/LUC7L3/MBTD1/PPM1D/BPTF/RPTOR/FOXK2/ZSCAN30/MBD2/ZNF532/ZNF236/AP3D1/NFIC/SAFB2/INSR/DNM2/SMARCA4/ZNF439/ZNF44/CRTC1/ZNF430/ZNF431/ZNF708/ZNF254/ZNF146/ZFP14/ZNF573/HNRNPL/ZNF780B/ZNF235/CLASRP/ZNF611/ZNF160/ZNF347/ZNF331/ZNF586/ZNF135/ZNF274/MAVS/CBFA2T2/NCOA6/ACSS2/PHF20/RBL1/ZHX3/ZMYND8/TAF4/SS18L1/TCFL5/DIDO1/SON/MORC3/PKNOX1/RRP1B/PRMT2/MED15/PPIL2/RTCB/POLR2F/MRTFA/EP300/ZC3H7B/SREBF2/TCF20/PPARA/BRD1/TBL1X/WWC3/BCLAF3/CASK/NBDY/TAF1/JPX/RBM41/UPF3B/MAGEC3",337
"GO:0007030","Golgi organization","21/1116","22/1547",0.954545454545455,1.32319159335288,2.45603573389797,0.00690952997684293,0.875122268952859,0.875122268952859,"TRAPPC12/UBXN2A/RAB1A/GOLGB1/HTT/PI4K2B/TRAPPC11/CSNK1A1/AKAP9/COG5/ARMH3/GBF1/SEC23IP/RAB30/FAM174B/COG7/KIFC3/MYO18A/VMP1/NPLOC4/TANGO2",21
"GO:0010507","negative regulation of autophagy","15/1116","15/1547",1,1.38620071684588,2.41783984028057,0.00726337688753421,0.875122268952859,0.875122268952859,"MTOR/TBC1D14/FOXK1/TSC1/HERC1/TSC2/CLEC16A/STAT3/TLK2/RPTOR/FOXK2/NPC1/BCL2L1/KLHL22/EP300",15
"GO:0016070","RNA metabolic process","354/1116","463/1547",0.764578833693304,1.05985972735084,2.47519144782928,0.00746414428850348,0.875122268952859,0.875122268952859,"PRKCZ/CAMTA1/PER3/CTNNBIP1/MTOR/PRDM2/PADI2/SRRM1/RSRP1/ARID1A/SRSF4/KHDRBS1/KPNA6/ZBTB8OS/TRIM62/AGO4/AGO3/RLF/SCMH1/ERI3/GPBP1L1/FAF1/SSBP3/PLPP3/RPAP2/RNPC3/PRPF38B/TTF2/OTUD7B/RPRD2/SETDB1/GABPB2/POGZ/GATAD2B/ASH1L/GON4L/ARHGEF2/ARHGEF11/ATP2B4/NVL/ARID4B/ACTN2/ITGB1BP1/NBAS/DNMT3A/GTF3C2/COMMD1/MEIS1/ANXA4/TET3/KANSL3/ANKRD23/LIMS1/ERCC3/IWS1/SAP130/METTL8/ORC2/CFLAR/SMARCAL1/DIS3L2/GIGYF2/HDAC4/MTERF4/SETD5/IRAK2/TSEN2/RAF1/XPC/NR2C2/METTL6/UBE2E1/CNOT10/ZNF621/TRAK1/ZNF197/SETD2/SMARCC1/USP4/RBM6/PBRM1/DCP1A/ZNF717/GOLGB1/ZXDC/ZIC1/YEATS2/RNF168/ZNF721/NSD2/HNRNPD/LIN54/PKD2/ELF2/SETD7/WWC2/STOX2/IRF2/PRIMPOL/BRD9/TENT4A/ZNF131/BDP1/DDX46/KDM3B/FGF1/PWWP2A/NSD1/MAML1/DUSP22/FARS2/JARID2/PPARD/RNF8/TFEB/BICRAL/GCLC/CASP8AP2/BACH2/AHI1/SCAF8/FOXK1/HDAC9/JAZF1/CDK13/LANCL2/TYW1/TYW1B/BAZ1B/GTF2IRD1/GTF2I/GATAD1/TRRAP/ZKSCAN1/CUX1/PRKRIP1/NRF1/CREB3L2/TRIM24/HIPK2/ZNF398/INTS10/INTS9/TACC1/KAT6A/IKBKB/ZHX2/AGO2/ZNF251/RCL1/NFX1/SECISBP2/SEMA4D/IARS1/HABP4/ZNF782/ZNF189/CDK5RAP2/SCAI/ABL1/MED27/SETX/EHMT1/PRKCQ/SFMBT2/KIN/NSUN6/ZNF248/ZNF33A/TET1/CCAR1/ASCC1/ZMIZ1/BTAF1/EXOSC1/MMS19/SUFU/TCF7L2/FGFR2/CTBP2/CARS1/TRIM44/PRR5L/AMBRA1/KDM2A/PAAF1/ARRB1/TAF1D/TULP3/BICD1/PRPF40B/ATF1/TFCP2/POU6F1/STAT2/TBK1/ZFC3H1/CEP290/ATXN2/KDM2B/BCL7A/MLXIP/NCOR2/SFSWAP/EP400/MPHOSPH8/ZMYM5/FOXO1/ELF1/UPF3A/EAPP/SNX6/PNN/ARID4A/DPF3/RBM25/PSEN1/MIDEAS/LIN52/FOXN3/NRDE2/RPS6KA5/TRAF3/BRF1/GREM1/DNAJC17/INO80/MGA/CTDSPL2/ZNF280D/SLTM/TRIP4/ZNF609/PDCD7/DIS3L/MAP2K5/ARNT2/CPEB1/ZNF710/CRTC3/SLCO3A1/LUC7L/ZNF75A/CREBBP/GLYR1/LITAF/PARN/NFATC2IP/RRN3P2/RBL2/CBFB/CTCF/NFATC3/PRMT7/ZFP90/CDH1/NFAT5/WWP2/ZC3H18/ZNF276/TCF25/SMG6/METTL16/NCBP3/NCOR1/RAI1/TAF15/CDK12/STAT5B/STAT3/EZH1/BRCA1/DHX8/MAPT/KANSL1/LUC7L3/MBTD1/PPM1D/BPTF/TNRC6C/RPTOR/FOXK2/ROCK1/ZSCAN30/CTIF/MBD2/ZNF532/ZNF236/AP3D1/NFIC/SAFB2/INSR/DNM2/SMARCA4/ZNF439/ZNF44/CRTC1/ZNF430/ZNF431/ZNF708/ZNF254/ZNF146/ZFP14/ZNF573/HNRNPL/SAMD4B/ZNF780B/ZNF235/CLASRP/ZNF611/ZNF160/ZNF347/ZNF331/ZNF586/ZNF135/ZNF274/MAVS/CBFA2T2/NCOA6/ACSS2/PHF20/RBL1/ZHX3/ZMYND8/TAF4/SS18L1/TCFL5/DIDO1/SON/MORC3/PKNOX1/RRP1B/PRMT2/MED15/PPIL2/RTCB/POLR2F/MRTFA/EP300/ZC3H7B/SREBF2/TCF20/PPARA/BRD1/TBL1X/WWC3/BCLAF3/CASK/NBDY/TAF1/JPX/RBM41/UPF3B/MAGEC3",354
"GO:0006366","transcription by RNA polymerase II","223/1116","286/1547",0.77972027972028,1.08084881068752,2.43611236405111,0.00820593521079589,0.875122268952859,0.875122268952859,"CAMTA1/PER3/CTNNBIP1/PRDM2/PADI2/ARID1A/KHDRBS1/KPNA6/RLF/SSBP3/RPAP2/TTF2/OTUD7B/GABPB2/POGZ/GATAD2B/ASH1L/ARHGEF2/ATP2B4/ARID4B/ITGB1BP1/DNMT3A/MEIS1/ANXA4/TET3/KANSL3/ANKRD23/ERCC3/IWS1/SAP130/ORC2/SMARCAL1/HDAC4/RAF1/NR2C2/UBE2E1/ZNF621/TRAK1/ZNF197/SETD2/SMARCC1/PBRM1/ZNF717/ZXDC/ZIC1/YEATS2/RNF168/ZNF721/NSD2/HNRNPD/PKD2/ELF2/WWC2/STOX2/IRF2/BRD9/ZNF131/KDM3B/FGF1/PWWP2A/NSD1/MAML1/DUSP22/JARID2/PPARD/RNF8/TFEB/BICRAL/BACH2/AHI1/SCAF8/FOXK1/HDAC9/JAZF1/CDK13/BAZ1B/GTF2IRD1/GTF2I/TRRAP/ZKSCAN1/CUX1/NRF1/CREB3L2/TRIM24/HIPK2/ZNF398/INTS10/INTS9/KAT6A/IKBKB/ZHX2/AGO2/ZNF251/NFX1/SEMA4D/ZNF782/ZNF189/ABL1/MED27/SETX/EHMT1/ZNF248/ZNF33A/TET1/ZMIZ1/SUFU/TCF7L2/FGFR2/CTBP2/AMBRA1/KDM2A/PAAF1/ARRB1/ATF1/TFCP2/POU6F1/STAT2/TBK1/KDM2B/BCL7A/MLXIP/NCOR2/ZMYM5/FOXO1/ELF1/EAPP/ARID4A/DPF3/PSEN1/MIDEAS/FOXN3/RPS6KA5/GREM1/DNAJC17/INO80/MGA/CTDSPL2/ZNF280D/SLTM/ZNF609/MAP2K5/ARNT2/ZNF710/CRTC3/ZNF75A/CREBBP/GLYR1/LITAF/NFATC2IP/RBL2/CBFB/CTCF/NFATC3/ZFP90/NFAT5/WWP2/ZNF276/TCF25/NCBP3/NCOR1/RAI1/CDK12/STAT5B/STAT3/EZH1/BRCA1/PPM1D/BPTF/FOXK2/ZSCAN30/MBD2/ZNF236/AP3D1/NFIC/SAFB2/SMARCA4/ZNF439/ZNF44/CRTC1/ZNF430/ZNF431/ZNF708/ZNF254/ZNF146/ZFP14/ZNF573/ZNF780B/ZNF611/ZNF160/ZNF347/ZNF331/ZNF586/ZNF135/ZNF274/MAVS/CBFA2T2/NCOA6/PHF20/RBL1/ZHX3/ZMYND8/TAF4/SS18L1/TCFL5/DIDO1/MORC3/PKNOX1/RRP1B/MED15/POLR2F/MRTFA/EP300/SREBF2/TCF20/PPARA/BRD1/TBL1X/WWC3/BCLAF3/CASK/TAF1/JPX/MAGEC3",223
"GO:0043412","macromolecule modification","269/1116","348/1547",0.772988505747126,1.07151722078029,2.43774832386444,0.00820768344434118,0.875122268952859,0.875122268952859,"PRKCZ/SPSB1/UBE4B/MTOR/UBR4/EPHB2/CEP85/TRIM62/PTPRF/MAST2/PLPP3/RNF115/OTUD7B/ARHGEF2/NOS1AP/ATP2B4/DSTYK/CDK18/FBXO28/GALNT2/RNF144A/ITGB1BP1/UBXN2A/BABAM2/PPP1CB/COMMD1/STAMBP/TET3/RNF149/TTL/MGAT5/STK39/TLK1/METTL8/RHBDD1/ILKAP/HDAC4/IRAK2/ATG7/RAF1/SH3BP5/METTL6/GALNT15/UBE2E1/TRAK1/SETD2/PRKAR2A/ARIH2/USP4/GXYLT2/HEG1/PPP2R3A/YEATS2/RNF168/SENP5/GRK4/HTT/UBE2K/PTPN13/SETD7/NEK1/ATPSCKMT/TRIO/NIM1K/APC/UBE2D2/FGF1/CSNK1A1/GALNT10/FAXDC2/NSD1/MAML1/RNF130/DUSP22/IP6K3/STK38/RNF8/UBR2/GCLC/SENP6/IBTK/FYN/SASH1/LATS1/ZDHHC14/SNX9/TULP4/RPS6KA2/RNF216/USP42/HDAC9/CDK13/TYW1/TYW1B/BAZ1B/STYXL1/AKAP9/LMTK2/SMURF1/TRIM4/PRKRIP1/TRIM24/HIPK2/BRAF/UBE3C/MTMR7/PPP3CC/KAT6A/IKBKB/RNF170/DEPTOR/FBXO32/NFX1/UBE2R2/RNF38/DCAF10/TRPM6/CEP78/NAA35/SEMA4D/PTPDC1/CDC14B/TTLL11/MAPKAP1/LRSAM1/ABL1/MED27/EHMT1/FBH1/PRKCQ/NSUN6/CCNY/HERC4/TET1/CCAR1/ANAPC16/ZMIZ1/SLF2/WBP1L/FGFR2/PTPRE/UEVLD/TRIM44/PRR5L/EXT2/AMBRA1/RAB6A/RNF169/ARRB1/UVRAG/CEP295/ST3GAL4/B3GAT1/DUSP16/KLHL42/GALNT6/ERBB3/STAT2/PPM1H/TBK1/NUAK1/CORO1C/UBE3B/BRAP/HECTD4/PTPN11/TAOK3/CHFR/ZDHHC20/PARP4/FOXO1/WDFY2/PIBF1/TMTC4/CUL4A/DCUN1D2/SNX6/KLHDC1/CDKL1/ATG14/PSEN1/NEK9/TTLL5/RPS6KA5/ATXN3/PPP2R5C/CDC42BPB/MARK3/MKRN3/HERC2/OTUD7A/GREM1/UBR1/MAPK6/HERC1/DAPK2/MAP2K5/PARP6/ARIH1/IQGAP1/MAN2A2/SLCO3A1/RAB40C/TSC2/CREBBP/MGRN1/PMM2/PARN/COG7/LCMT1/NFATC2IP/CBFB/PRMT7/WWP2/ZNRF1/TCF25/METTL16/UBE2G1/MINK1/ULK2/WSB1/KSR1/SSH2/SRCIN1/CDK12/BRCA1/MAPT/CDC27/RPS6KB1/USP32/APPBP2/PPM1D/TLK2/MAP3K3/RNF157/UBE2O/RNF213/RPTOR/RAB40B/FN3K/PPP4R1/ROCK1/NPC1/PTPRS/INSR/UBA2/PAK4/MARK4/CSNK2A1/PTPRA/MAVS/ABHD12/TTLL9/TRPC4AP/TOP1/SGK2/MORC3/DIP2A/PRMT2/KLHL22/PPIL2/GAL3ST1/LARGE1/TAB1/MGAT3/EP300/PRKX/CASK/TAF1",269
