signature,feature,gene_set,n_gene,agg,level,rho,p_val,n,herv_pct,gene_set_pct,p_adj
innate_immune,HERVK13-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.431315031,0,207009,0.04961137,0.063523808,0
innate_immune,HERVK14-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.359601165,0,207009,0.138771744,0.063523808,0
innate_immune,HERVK3-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.303815483,0,207009,0.176030994,0.063523808,0
innate_immune,HERVK22-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.271231195,0,207009,0.182291591,0.063523808,0
innate_immune,HERVK11-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.270607262,0,207009,0.204280973,0.063523808,0
innate_immune,HERVK9-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.047875364,2.60E-105,207009,0.344893217,0.063523808,3.03E-105
innate_immune,HERVK-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.023586858,7.12E-27,207009,0.371206083,0.063523808,7.12E-27
inflammation_signal,HERVK14-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.212617897,0,207009,0.138771744,0.067610587,0
inflammation_signal,HERVK13-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.18940954,0,207009,0.04961137,0.067610587,0
inflammation_signal,HERVK11-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.181221595,0,207009,0.204280973,0.067610587,0
inflammation_signal,HERVK3-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.176904428,0,207009,0.176030994,0.067610587,0
inflammation_signal,HERVK22-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.148595846,0,207009,0.182291591,0.067610587,0
inflammation_signal,HERVK-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,0.019925142,1.23E-19,207009,0.371206083,0.067610587,1.43E-19
inflammation_signal,HERVK9-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,0.009591577,1.28E-05,207009,0.344893217,0.067610587,1.28E-05
stress_immune,HERVK11-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,-0.070208052,1.90E-224,207009,0.204280973,0.710717891,1.33E-223
stress_immune,HERVK-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,-0.066155455,1.82E-199,207009,0.371206083,0.710717891,6.39E-199
stress_immune,HERVK3-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,-0.060549465,2.28E-167,207009,0.176030994,0.710717891,5.31E-167
stress_immune,HERVK9-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,-0.059456775,1.91E-161,207009,0.344893217,0.710717891,3.34E-161
