signature,feature,gene_set,n_gene,agg,level,rho,p_val,n,herv_pct,gene_set_pct,p_adj
innate_immune,HERVK13-int,CD74;HLA-DRA;TYROBP,3,mean,cell,0.092921524,0.00322385,1003,0.023928215,0.75772682,0.022566951
innate_immune,HERVK11-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.077198386,0.014465632,1003,0.142572283,0.75772682,0.050629711
innate_immune,HERVK3-int,CD74;HLA-DRA;TYROBP,3,mean,cell,0.021514946,0.496117532,1003,0.095712861,0.75772682,0.986531743
innate_immune,HERVK22-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.014970072,0.635827875,1003,0.105682951,0.75772682,0.986531743
innate_immune,HERVK-int,CD74;HLA-DRA;TYROBP,3,mean,cell,0.005833788,0.853599049,1003,0.19441675,0.75772682,0.986531743
innate_immune,HERVK14-int,CD74;HLA-DRA;TYROBP,3,mean,cell,-0.002324455,0.941388978,1003,0.076769691,0.75772682,0.986531743
innate_immune,HERVK9-int,CD74;HLA-DRA;TYROBP,3,mean,cell,0.000533683,0.986531743,1003,0.345962114,0.75772682,0.986531743
inflammation_signal,HERVK-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.093561206,0.003017861,1003,0.19441675,0.764705882,0.021125026
inflammation_signal,HERVK14-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.057508844,0.068675157,1003,0.076769691,0.764705882,0.180103863
inflammation_signal,HERVK11-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.052766076,0.09488165,1003,0.142572283,0.764705882,0.180103863
inflammation_signal,HERVK3-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.051525684,0.102916493,1003,0.095712861,0.764705882,0.180103863
inflammation_signal,HERVK9-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,0.015162257,0.631497536,1003,0.345962114,0.764705882,0.792641807
inflammation_signal,HERVK13-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.013064987,0.679407263,1003,0.023928215,0.764705882,0.792641807
inflammation_signal,HERVK22-int,TLR2;MAP3K8;EPSTI1,3,mean,cell,-0.004177569,0.894873602,1003,0.105682951,0.764705882,0.894873602
stress_immune,HERVK3-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,-0.066419738,0.035446148,1003,0.095712861,0.548354935,0.204273204
stress_immune,HERVK22-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,0.056988112,0.07122517,1003,0.105682951,0.548354935,0.204273204
stress_immune,HERVK11-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,0.051351706,0.10408545,1003,0.142572283,0.548354935,0.204273204
stress_immune,HERVK9-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,0.049562456,0.116727545,1003,0.345962114,0.548354935,0.204273204
stress_immune,HERVK13-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,0.010296258,0.744661711,1003,0.023928215,0.548354935,0.91061478
stress_immune,HERVK-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,0.005151578,0.870558586,1003,0.19441675,0.548354935,0.91061478
stress_immune,HERVK14-int,HSPH1;HSP90AA1;DNAJB1,3,mean,cell,-0.003549173,0.91061478,1003,0.076769691,0.548354935,0.91061478
homeostatic_microglia,HERVK3-int,CX3CR1;P2RY12;TMEM119,3,mean,cell,0.091798941,0.003616495,1003,0.095712861,0.527417747,0.025315468
homeostatic_microglia,HERVK14-int,CX3CR1;P2RY12;TMEM119,3,mean,cell,0.064753577,0.040330095,1003,0.076769691,0.527417747,0.099944678
homeostatic_microglia,HERVK13-int,CX3CR1;P2RY12;TMEM119,3,mean,cell,0.063964986,0.042833434,1003,0.023928215,0.527417747,0.099944678
homeostatic_microglia,HERVK9-int,CX3CR1;P2RY12;TMEM119,3,mean,cell,0.039874448,0.20703593,1003,0.345962114,0.527417747,0.362312878
homeostatic_microglia,HERVK-int,CX3CR1;P2RY12;TMEM119,3,mean,cell,0.025472132,0.420339906,1003,0.19441675,0.527417747,0.588475868
homeostatic_microglia,HERVK22-int,CX3CR1;P2RY12;TMEM119,3,mean,cell,0.012737154,0.687020885,1003,0.105682951,0.527417747,0.801524366
homeostatic_microglia,HERVK11-int,CX3CR1;P2RY12;TMEM119,3,mean,cell,0.006528307,0.836402691,1003,0.142572283,0.527417747,0.836402691
IFN_STAT1,HERVK22-int,ISG15;STAT1;IFIT3,3,mean,cell,0.303330305,8.62E-23,1003,0.105682951,0.27218345,6.03E-22
IFN_STAT1,HERVK11-int,ISG15;STAT1;IFIT3,3,mean,cell,0.242464914,6.93E-15,1003,0.142572283,0.27218345,2.42E-14
IFN_STAT1,HERVK14-int,ISG15;STAT1;IFIT3,3,mean,cell,0.224202693,6.80E-13,1003,0.076769691,0.27218345,1.59E-12
IFN_STAT1,HERVK13-int,ISG15;STAT1;IFIT3,3,mean,cell,0.214773898,6.25E-12,1003,0.023928215,0.27218345,1.09E-11
IFN_STAT1,HERVK3-int,ISG15;STAT1;IFIT3,3,mean,cell,0.20537883,5.15E-11,1003,0.095712861,0.27218345,7.22E-11
IFN_STAT1,HERVK-int,ISG15;STAT1;IFIT3,3,mean,cell,0.142177257,6.18E-06,1003,0.19441675,0.27218345,7.21E-06
IFN_STAT1,HERVK9-int,ISG15;STAT1;IFIT3,3,mean,cell,0.075482525,0.016803674,1003,0.345962114,0.27218345,0.016803674
TLR8,HERVK14-int,TLR8,1,mean,cell,0.732235529,3.55E-169,1003,0.076769691,0.017946162,2.48E-168
TLR8,HERVK13-int,TLR8,1,mean,cell,0.72726259,8.47E-166,1003,0.023928215,0.017946162,2.96E-165
TLR8,HERVK3-int,TLR8,1,mean,cell,0.711277968,1.98E-155,1003,0.095712861,0.017946162,4.62E-155
TLR8,HERVK22-int,TLR8,1,mean,cell,0.542406823,8.51E-78,1003,0.105682951,0.017946162,1.49E-77
TLR8,HERVK11-int,TLR8,1,mean,cell,0.430204567,1.91E-46,1003,0.142572283,0.017946162,2.67E-46
TLR8,HERVK-int,TLR8,1,mean,cell,0.418083048,1.04E-43,1003,0.19441675,0.017946162,1.22E-43
TLR8,HERVK9-int,TLR8,1,mean,cell,0.163875539,1.80E-07,1003,0.345962114,0.017946162,1.80E-07
