"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HML3-1q32.1b","STAT3",1,"mean","cell",0.173668774057645,1.15722590542084e-144,21420,0.0672735760971055,0.319094304388422,1.15722590542084e-144
2,"HML3-1q32.1b","PLSCR1",1,"mean","cell",0.461446654755032,0,21420,0.0672735760971055,0.139028944911298,0
3,"HML3-1q32.1b","MAP3K14",1,"mean","cell",0.429106523135645,0,21420,0.0672735760971055,0.151213818860878,0
4,"HML3-1q32.1b","OSMR",1,"mean","cell",0.372641365227284,0,21420,0.0672735760971055,0.189589169000934,0
5,"HML3-1q32.1b","COLEC12",1,"mean","cell",0.149356860215815,4.34336896204741e-107,21420,0.0672735760971055,0.364565826330532,4.34336896204741e-107
6,"HML3-1q32.1b","ABCC9",1,"mean","cell",0.207148834954988,2.75428482309649e-206,21420,0.0672735760971055,0.294257703081233,2.75428482309649e-206
7,"HML3-1q32.1b","TPST1",1,"mean","cell",0.171128670563886,1.8530994845188e-140,21420,0.0672735760971055,0.357142857142857,1.8530994845188e-140
1,"HML1-1q32.1","STAT3",1,"mean","cell",0.168705373378845,1.65203112951604e-136,21420,0.0485527544351074,0.319094304388422,1.65203112951604e-136
2,"HML1-1q32.1","PLSCR1",1,"mean","cell",0.478436582069141,0,21420,0.0485527544351074,0.139028944911298,0
3,"HML1-1q32.1","MAP3K14",1,"mean","cell",0.444814308895278,0,21420,0.0485527544351074,0.151213818860878,0
4,"HML1-1q32.1","COLEC12",1,"mean","cell",0.158979072204796,2.9923618378708e-121,21420,0.0485527544351074,0.364565826330532,2.9923618378708e-121
5,"HML1-1q32.1","ABCC9",1,"mean","cell",0.21577644623378,4.54326668750429e-224,21420,0.0485527544351074,0.294257703081233,4.54326668750429e-224
6,"HML1-1q32.1","TPST1",1,"mean","cell",0.191191552632438,1.82356886474472e-175,21420,0.0485527544351074,0.357142857142857,1.82356886474472e-175
7,"HML1-1q32.1","OSMR",1,"mean","cell",0.394950954098481,0,21420,0.0485527544351074,0.189589169000934,0
1,"HML4-16p13.3","NPAS3",1,"mean","cell",0.103874791548624,1.83168829837942e-52,21420,0.101960784313725,0.980112044817927,1.83168829837942e-52
2,"HML4-16p13.3","STAT3",1,"mean","cell",0.149789280382184,1.04999775800382e-107,21420,0.101960784313725,0.319094304388422,1.04999775800382e-107
3,"HML4-16p13.3","PLSCR1",1,"mean","cell",0.407723652349293,0,21420,0.101960784313725,0.139028944911298,0
4,"HML4-16p13.3","MAP3K14",1,"mean","cell",0.380459277936705,0,21420,0.101960784313725,0.151213818860878,0
5,"HML4-16p13.3","COLEC12",1,"mean","cell",0.133788572058508,4.05002033651082e-86,21420,0.101960784313725,0.364565826330532,4.05002033651082e-86
