"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HML3-1q32.1b","STAT3",1,"mean","donor",0.172874493927126,0.292604590561668,39,0.0672735760971055,0.319094304388422,0.292604590561668
2,"HML3-1q32.1b","PLSCR1",1,"mean","donor",0.088663967611336,0.591440143020032,39,0.0672735760971055,0.139028944911298,0.591440143020032
3,"HML3-1q32.1b","MAP3K14",1,"mean","donor",0.259716599190283,0.110333711242884,39,0.0672735760971055,0.151213818860878,0.110333711242884
4,"HML3-1q32.1b","OSMR",1,"mean","donor",0.138663967611336,0.399866435310267,39,0.0672735760971055,0.189589169000934,0.399866435310267
5,"HML3-1q32.1b","COLEC12",1,"mean","donor",0.328137651821862,0.0414099342564357,39,0.0672735760971055,0.364565826330532,0.0414099342564357
6,"HML3-1q32.1b","ABCC9",1,"mean","donor",0.340485829959514,0.0339231404793361,39,0.0672735760971055,0.294257703081233,0.0339231404793361
7,"HML3-1q32.1b","TPST1",1,"mean","donor",0.131174089068826,0.426045024178981,39,0.0672735760971055,0.357142857142857,0.426045024178981
1,"HML1-1q32.1","STAT3",1,"mean","donor",0.200404858299595,0.221229650696164,39,0.0485527544351074,0.319094304388422,0.221229650696164
2,"HML1-1q32.1","PLSCR1",1,"mean","donor",0.183198380566802,0.264280678402804,39,0.0485527544351074,0.139028944911298,0.264280678402804
3,"HML1-1q32.1","MAP3K14",1,"mean","donor",0.217813765182186,0.182844265112973,39,0.0485527544351074,0.151213818860878,0.182844265112973
4,"HML1-1q32.1","COLEC12",1,"mean","donor",0.351619433198381,0.0281602768949465,39,0.0485527544351074,0.364565826330532,0.0281602768949465
5,"HML1-1q32.1","ABCC9",1,"mean","donor",0.476923076923077,0.00214273976917141,39,0.0485527544351074,0.294257703081233,0.00214273976917141
6,"HML1-1q32.1","TPST1",1,"mean","donor",0.198380566801619,0.226027509147943,39,0.0485527544351074,0.357142857142857,0.226027509147943
7,"HML1-1q32.1","OSMR",1,"mean","donor",0.21497975708502,0.188746440575112,39,0.0485527544351074,0.189589169000934,0.188746440575112
1,"HML4-16p13.3","NPAS3",1,"mean","donor",0.104655870445344,0.526044126855138,39,0.101960784313725,0.980112044817927,0.526044126855138
2,"HML4-16p13.3","STAT3",1,"mean","donor",-0.501619433198381,0.00114076217954816,39,0.101960784313725,0.319094304388422,0.00114076217954816
3,"HML4-16p13.3","PLSCR1",1,"mean","donor",-0.397975708502024,0.0121037769852928,39,0.101960784313725,0.139028944911298,0.0121037769852928
4,"HML4-16p13.3","MAP3K14",1,"mean","donor",-0.288259109311741,0.0751417416230633,39,0.101960784313725,0.151213818860878,0.0751417416230633
5,"HML4-16p13.3","COLEC12",1,"mean","donor",-0.359109311740891,0.024758417446135,39,0.101960784313725,0.364565826330532,0.024758417446135
