"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HERV3-1p34.3","THY1",1,"mean","cell",0.0132014896233942,0.00142232590430077,58390,0.0490152423360164,0.662185305703031,0.00142232590430077
2,"HERV3-1p34.3","NCDN",1,"mean","cell",0.0467659020855785,1.21899347633412e-29,58390,0.0490152423360164,0.685819489638637,1.21899347633412e-29
3,"HERV3-1p34.3","FAIM2",1,"mean","cell",0.102566919252963,2.63010221890984e-136,58390,0.0490152423360164,0.811388936461723,2.63010221890984e-136
4,"HERV3-1p34.3","SYNPO",1,"mean","cell",-0.0350506754468496,2.41059979085868e-17,58390,0.0490152423360164,0.513152937146772,2.41059979085868e-17
5,"HERV3-1p34.3","CAMK2B",1,"mean","cell",0.11365290208156,4.2069683212352e-167,58390,0.0490152423360164,0.811714334646344,4.2069683212352e-167
6,"HERV3-1p34.3","NRGN",1,"mean","cell",0.13981229257537,1.20252879012024e-252,58390,0.0490152423360164,0.891573899640349,1.20252879012024e-252
1,"HML4-16p13.3","MTR",1,"mean","cell",0.0755927569542614,9.57718584188047e-75,58390,0.147833533139236,0.40118170919678,9.57718584188047e-75
2,"HML4-16p13.3","TTC8",1,"mean","cell",0.129215152774728,8.46572962936161e-216,58390,0.147833533139236,0.31179996574756,8.46572962936161e-216
3,"HML4-16p13.3","MICU2",1,"mean","cell",0.0183494568521501,9.23953720335129e-06,58390,0.147833533139236,0.449220756978935,9.23953720335129e-06
4,"HML4-16p13.3","TMEM241",1,"mean","cell",0.0813193324851605,3.06388889409567e-86,58390,0.147833533139236,0.400119883541702,3.06388889409567e-86
5,"HML4-16p13.3","SPATA7",1,"mean","cell",0.0972211121865356,1.32141076352242e-122,58390,0.147833533139236,0.353707826682651,1.32141076352242e-122
1,"HML3-1q32.1b","MTR",1,"mean","cell",0.0524508777088058,7.37464595937515e-37,58390,0.0740366501113204,0.40118170919678,7.37464595937515e-37
2,"HML3-1q32.1b","TTC8",1,"mean","cell",0.139538820489262,1.17168224347006e-251,58390,0.0740366501113204,0.31179996574756,1.17168224347006e-251
3,"HML3-1q32.1b","MICU2",1,"mean","cell",-0.00177934196481066,0.667230751141122,58390,0.0740366501113204,0.449220756978935,0.667230751141122
4,"HML3-1q32.1b","SPATA7",1,"mean","cell",0.0790713999470558,1.25685955636544e-81,58390,0.0740366501113204,0.353707826682651,1.25685955636544e-81
5,"HML3-1q32.1b","TMEM241",1,"mean","cell",0.0611538984348561,1.68022083678091e-49,58390,0.0740366501113204,0.400119883541702,1.68022083678091e-49
1,"HML1-1q32.1","GOLGA8B",1,"mean","cell",0.126665376588289,2.21871171510329e-207,58390,0.053519438259976,0.324370611406063,2.21871171510329e-207
2,"HML1-1q32.1","WSB1",1,"mean","cell",0.0196295673350019,2.09902839042719e-06,58390,0.053519438259976,0.436221955814352,2.09902839042719e-06
3,"HML1-1q32.1","DYNC2LI1",1,"mean","cell",0.0881043731929128,5.90541239082708e-101,58390,0.053519438259976,0.352920020551464,5.90541239082708e-101
4,"HML1-1q32.1","SCFD1",1,"mean","cell",-0.00127589691848501,0.757852888194589,58390,0.053519438259976,0.451258777187875,0.757852888194589
5,"HML1-1q32.1","MTR",1,"mean","cell",0.0546425527495397,7.34037789583695e-40,58390,0.053519438259976,0.40118170919678,7.34037789583695e-40
