"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HERV3-1p34.3","THY1",1,"mean","donor",-0.0848178137651822,0.607685408191621,39,0.0490152423360164,0.662185305703031,0.607685408191621
2,"HERV3-1p34.3","NCDN",1,"mean","donor",-0.0753036437246963,0.648664346280539,39,0.0490152423360164,0.685819489638637,0.648664346280539
3,"HERV3-1p34.3","FAIM2",1,"mean","donor",-0.152429149797571,0.354249734911675,39,0.0490152423360164,0.811388936461723,0.354249734911675
4,"HERV3-1p34.3","SYNPO",1,"mean","donor",-0.227125506072874,0.164377134886592,39,0.0490152423360164,0.513152937146772,0.164377134886592
5,"HERV3-1p34.3","CAMK2B",1,"mean","donor",-0.140283400809717,0.394330802337185,39,0.0490152423360164,0.811714334646344,0.394330802337185
6,"HERV3-1p34.3","NRGN",1,"mean","donor",-0.20748987854251,0.204990071911322,39,0.0490152423360164,0.891573899640349,0.204990071911322
1,"HML4-16p13.3","MTR",1,"mean","donor",0.461538461538462,0.00310151236106525,39,0.147833533139236,0.40118170919678,0.00310151236106525
2,"HML4-16p13.3","TTC8",1,"mean","donor",0.0552631578947368,0.738269973703973,39,0.147833533139236,0.31179996574756,0.738269973703973
3,"HML4-16p13.3","MICU2",1,"mean","donor",0.317004048582996,0.0492612088175154,39,0.147833533139236,0.449220756978935,0.0492612088175154
4,"HML4-16p13.3","TMEM241",1,"mean","donor",0.399797570850202,0.0116805568393768,39,0.147833533139236,0.400119883541702,0.0116805568393768
5,"HML4-16p13.3","SPATA7",1,"mean","donor",0.413967611336032,0.00879787466518139,39,0.147833533139236,0.353707826682651,0.00879787466518139
1,"HML3-1q32.1b","MTR",1,"mean","donor",0.05,0.762438769222482,39,0.0740366501113204,0.40118170919678,0.762438769222482
2,"HML3-1q32.1b","TTC8",1,"mean","donor",0.125303643724696,0.447216091136786,39,0.0740366501113204,0.31179996574756,0.447216091136786
3,"HML3-1q32.1b","MICU2",1,"mean","donor",0.054251012145749,0.742899400964388,39,0.0740366501113204,0.449220756978935,0.742899400964388
4,"HML3-1q32.1b","SPATA7",1,"mean","donor",-0.261538461538462,0.107769217230601,39,0.0740366501113204,0.353707826682651,0.107769217230601
5,"HML3-1q32.1b","TMEM241",1,"mean","donor",-0.184817813765182,0.260008205720112,39,0.0740366501113204,0.400119883541702,0.260008205720112
1,"HML1-1q32.1","GOLGA8B",1,"mean","donor",0.178947368421053,0.275715641442857,39,0.053519438259976,0.324370611406063,0.275715641442857
2,"HML1-1q32.1","WSB1",1,"mean","donor",0.102429149797571,0.534933046663233,39,0.053519438259976,0.436221955814352,0.534933046663233
3,"HML1-1q32.1","DYNC2LI1",1,"mean","donor",-0.0222672064777328,0.89296699059066,39,0.053519438259976,0.352920020551464,0.89296699059066
4,"HML1-1q32.1","SCFD1",1,"mean","donor",-0.0368421052631579,0.823793421975591,39,0.053519438259976,0.451258777187875,0.823793421975591
5,"HML1-1q32.1","MTR",1,"mean","donor",0.11417004048583,0.488898212484752,39,0.053519438259976,0.40118170919678,0.488898212484752
