"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HARLEQUIN-6p21.31","COL4A1",1,"mean","cell",0.476637389956714,0,27314,0.0859998535549535,0.119901881818847,0
2,"HARLEQUIN-6p21.31","COL4A2",1,"mean","cell",0.321772378733129,0,27314,0.0859998535549535,0.205499011495936,0
3,"HARLEQUIN-6p21.31","AJAP1",1,"mean","cell",0.20226580935524,4.36425403538047e-250,27314,0.0859998535549535,0.305045031851798,4.36425403538047e-250
4,"HARLEQUIN-6p21.31","CRTAC1",1,"mean","cell",0.247363786022526,0,27314,0.0859998535549535,0.245917844328916,0
5,"HARLEQUIN-6p21.31","HAPLN1",1,"mean","cell",0.462387771932104,0,27314,0.0859998535549535,0.105952991140075,0
6,"HARLEQUIN-6p21.31","TOX2",1,"mean","cell",0.239328261912003,0,27314,0.0859998535549535,0.278245588342974,0
1,"HML4-16p13.3","COL4A1",1,"mean","cell",0.392266201718905,0,27314,0.12037782821996,0.119901881818847,0
2,"HML4-16p13.3","COL4A2",1,"mean","cell",0.256980414323995,0,27314,0.12037782821996,0.205499011495936,0
3,"HML4-16p13.3","AJAP1",1,"mean","cell",0.162608831916924,3.49478593309418e-161,27314,0.12037782821996,0.305045031851798,3.49478593309418e-161
4,"HML4-16p13.3","CRTAC1",1,"mean","cell",0.184934598135382,1.07390075506316e-208,27314,0.12037782821996,0.245917844328916,1.07390075506316e-208
5,"HML4-16p13.3","HAPLN1",1,"mean","cell",0.390056866701332,0,27314,0.12037782821996,0.105952991140075,0
6,"HML4-16p13.3","TOX2",1,"mean","cell",0.181387997175305,1.02813241362962e-200,27314,0.12037782821996,0.278245588342974,1.02813241362962e-200
1,"HML3-1q32.1b","RASSF8",1,"mean","cell",0.217493338531723,8.92312986824674e-290,27314,0.0717946840448122,0.275389909936296,8.92312986824674e-290
2,"HML3-1q32.1b","CTXND1",1,"mean","cell",0.417345492713661,0,27314,0.0717946840448122,0.151424178077177,0
3,"HML3-1q32.1b","LIN7A",1,"mean","cell",0.273302473444814,0,27314,0.0717946840448122,0.243757779893095,0
4,"HML3-1q32.1b","TACR1",1,"mean","cell",0.340342706758971,0,27314,0.0717946840448122,0.200556491176686,0
5,"HML3-1q32.1b","GOLIM4",1,"mean","cell",0.336017261911874,0,27314,0.0717946840448122,0.200263601083693,0
6,"HML3-1q32.1b","AJAP1",1,"mean","cell",0.172819788590328,4.12610833380964e-182,27314,0.0717946840448122,0.305045031851798,4.12610833380964e-182
1,"HML1-1q32.1","RASSF8",1,"mean","cell",0.231873715414778,0,27314,0.0560884528080838,0.275389909936296,0
2,"HML1-1q32.1","LIN7A",1,"mean","cell",0.279330939453255,0,27314,0.0560884528080838,0.243757779893095,0
3,"HML1-1q32.1","CRTAC1",1,"mean","cell",0.237366969928083,0,27314,0.0560884528080838,0.245917844328916,0
4,"HML1-1q32.1","COL4A1",1,"mean","cell",0.49619892965937,0,27314,0.0560884528080838,0.119901881818847,0
5,"HML1-1q32.1","AJAP1",1,"mean","cell",0.174078127586435,8.77494717729185e-185,27314,0.0560884528080838,0.305045031851798,8.77494717729185e-185
6,"HML1-1q32.1","COL4A2",1,"mean","cell",0.32979234628422,0,27314,0.0560884528080838,0.205499011495936,0
