signature,feature,gene_set,n_gene,agg,level,rho,p_val,n,herv_pct,gene_set_pct,p_adj
1,HARLEQUIN-6p21.31,IL4R,1,mean,cell,0.184799877,1.33E-80,10406,0.170766865,0.316355948,1.33E-80
2,HARLEQUIN-6p21.31,STAT3,1,mean,cell,0.128151114,2.36E-39,10406,0.170766865,0.379684797,2.36E-39
3,HARLEQUIN-6p21.31,HCK,1,mean,cell,0.142083454,4.61E-48,10406,0.170766865,0.381895061,4.61E-48
4,HARLEQUIN-6p21.31,ADGRE2,1,mean,cell,0.281725752,4.12E-189,10406,0.170766865,0.184989429,4.12E-189
5,HARLEQUIN-6p21.31,FGD2,1,mean,cell,0.105143599,5.66E-27,10406,0.170766865,0.413991928,5.66E-27
6,HARLEQUIN-6p21.31,ALOX5,1,mean,cell,0.095718991,1.30E-22,10406,0.170766865,0.449452239,1.30E-22
7,HARLEQUIN-6p21.31,ADAP2,1,mean,cell,0.160117208,1.03E-60,10406,0.170766865,0.32106477,1.03E-60
8,HARLEQUIN-6p21.31,SH2B3,1,mean,cell,0.166188919,2.50E-65,10406,0.170766865,0.291082068,2.50E-65
1,HERVW-15q21.2,ITGAX,1,mean,cell,0.150710524,6.41E-54,10406,0.043724774,0.402460119,6.41E-54
2,HERVW-15q21.2,LPAR5,1,mean,cell,0.394864009,0,10406,0.043724774,0.195656352,0
3,HERVW-15q21.2,PLD1,1,mean,cell,0.252182979,1.10E-150,10406,0.043724774,0.298385547,1.10E-150
4,HERVW-15q21.2,RASGEF1C,1,mean,cell,0.170385747,1.27E-68,10406,0.043724774,0.378627715,1.27E-68
5,HERVW-15q21.2,FGD2,1,mean,cell,0.046347919,2.25E-06,10406,0.043724774,0.413991928,2.25E-06
6,HERVW-15q21.2,ADAP2,1,mean,cell,0.153431893,7.67E-56,10406,0.043724774,0.32106477,7.67E-56
