"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HERVW-15q21.2","GLDN",1,"mean","cell",0.0837512210085692,2.76027082831698e-115,73998,0.0632719803237925,0.559366469364037,2.76027082831698e-115
2,"HERVW-15q21.2","FA2H",1,"mean","cell",-0.0511212579136672,5.12443000821535e-44,73998,0.0632719803237925,0.636219897835077,5.12443000821535e-44
3,"HERVW-15q21.2","TMEM63A",1,"mean","cell",-0.0131695047029454,0.000340270781625121,73998,0.0632719803237925,0.472161409767832,0.000340270781625121
4,"HERVW-15q21.2","DSCAML1",1,"mean","cell",-0.0370432098020878,6.772926052042e-24,73998,0.0632719803237925,0.664734182004919,6.772926052042e-24
5,"HERVW-15q21.2","PIK3C2B",1,"mean","cell",0.0147503168826117,6.00494852610298e-05,73998,0.0632719803237925,0.426741263277386,6.00494852610298e-05
6,"HERVW-15q21.2","MICAL3",1,"mean","cell",-0.0295312127690108,9.36809510825368e-16,73998,0.0632719803237925,0.524514176058812,9.36809510825368e-16
1,"MER61-21q21.1a","TMEM63A",1,"mean","cell",-0.020998152213202,1.11281922750866e-08,73998,0.13440903808211,0.472161409767832,1.11281922750866e-08
2,"MER61-21q21.1a","PIK3C2B",1,"mean","cell",0.00568449077113144,0.122028717370238,73998,0.13440903808211,0.426741263277386,0.122028717370238
3,"MER61-21q21.1a","MICAL3",1,"mean","cell",-0.0282952974682574,1.37715509043526e-14,73998,0.13440903808211,0.524514176058812,1.37715509043526e-14
4,"MER61-21q21.1a","FNBP1",1,"mean","cell",-0.0277445016908192,4.40151308820411e-14,73998,0.13440903808211,0.701275710154329,4.40151308820411e-14
5,"MER61-21q21.1a","GLDN",1,"mean","cell",-0.0180369040036223,9.25657166793665e-07,73998,0.13440903808211,0.559366469364037,9.25657166793665e-07
6,"MER61-21q21.1a","FA2H",1,"mean","cell",-0.0524327634261882,3.24085856557662e-46,73998,0.13440903808211,0.636219897835077,3.24085856557662e-46
1,"MER41-13q13.3","GLDN",1,"mean","cell",-0.0206956402051642,1.79943832299982e-08,73998,0.0632719803237925,0.559366469364037,1.79943832299982e-08
2,"MER41-13q13.3","TMEM63A",1,"mean","cell",-0.0369327210494674,9.19520186067292e-24,73998,0.0632719803237925,0.472161409767832,9.19520186067292e-24
3,"MER41-13q13.3","FA2H",1,"mean","cell",-0.0587649710264534,1.2955053022776e-57,73998,0.0632719803237925,0.636219897835077,1.2955053022776e-57
4,"MER41-13q13.3","ATP11A",1,"mean","cell",-0.0298433220345231,4.66864651154257e-16,73998,0.0632719803237925,0.472201951404092,4.66864651154257e-16
5,"MER41-13q13.3","MICAL3",1,"mean","cell",-0.0475281415300874,2.82043088038287e-38,73998,0.0632719803237925,0.524514176058812,2.82043088038287e-38
6,"MER41-13q13.3","PIK3C2B",1,"mean","cell",-0.00768859224550471,0.0364841145515018,73998,0.0632719803237925,0.426741263277386,0.0364841145515018
1,"HARLEQUIN-6p21.31","PIK3C2B",1,"mean","cell",0.00539087460111195,0.142527774364462,73998,0.0547582367091002,0.426741263277386,0.142527774364462
2,"HARLEQUIN-6p21.31","CORO2B",1,"mean","cell",0.0484977455498891,8.75266761925189e-40,73998,0.0547582367091002,0.38407794805265,8.75266761925189e-40
3,"HARLEQUIN-6p21.31","SLC13A3",1,"mean","cell",0.0918052907845373,3.19983227178613e-138,73998,0.0547582367091002,0.33980648125625,3.19983227178613e-138
4,"HARLEQUIN-6p21.31","TMEM63A",1,"mean","cell",-0.0366664489427137,1.9140910131331e-23,73998,0.0547582367091002,0.472161409767832,1.9140910131331e-23
5,"HARLEQUIN-6p21.31","GLDN",1,"mean","cell",-0.0341659112711789,1.45057618181068e-20,73998,0.0547582367091002,0.559366469364037,1.45057618181068e-20
