"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj"
1,"HERVW-15q21.2","GLDN",1,"mean","donor",0.75,3.88732875381321e-08,39,0.0632719803237925,0.559366469364037,3.88732875381321e-08
2,"HERVW-15q21.2","FA2H",1,"mean","donor",0.719230769230769,2.49071939218524e-07,39,0.0632719803237925,0.636219897835077,2.49071939218524e-07
3,"HERVW-15q21.2","TMEM63A",1,"mean","donor",0.708097165991903,4.5997004460735e-07,39,0.0632719803237925,0.472161409767832,4.5997004460735e-07
4,"HERVW-15q21.2","DSCAML1",1,"mean","donor",0.587246963562753,8.4945584043991e-05,39,0.0632719803237925,0.664734182004919,8.4945584043991e-05
5,"HERVW-15q21.2","PIK3C2B",1,"mean","donor",0.649392712550607,7.7252196754516e-06,39,0.0632719803237925,0.426741263277386,7.7252196754516e-06
6,"HERVW-15q21.2","MICAL3",1,"mean","donor",0.485627530364372,0.00172497744279804,39,0.0632719803237925,0.524514176058812,0.00172497744279804
1,"MER61-21q21.1a","TMEM63A",1,"mean","donor",0.143724696356275,0.382716267744861,39,0.13440903808211,0.472161409767832,0.382716267744861
2,"MER61-21q21.1a","PIK3C2B",1,"mean","donor",0.0192307692307692,0.907494550770503,39,0.13440903808211,0.426741263277386,0.907494550770503
3,"MER61-21q21.1a","MICAL3",1,"mean","donor",-0.0935222672064777,0.57119823787278,39,0.13440903808211,0.524514176058812,0.57119823787278
4,"MER61-21q21.1a","FNBP1",1,"mean","donor",0.334412955465587,0.0374531333186757,39,0.13440903808211,0.701275710154329,0.0374531333186757
5,"MER61-21q21.1a","GLDN",1,"mean","donor",0.451012145748988,0.00395649575143007,39,0.13440903808211,0.559366469364037,0.00395649575143007
6,"MER61-21q21.1a","FA2H",1,"mean","donor",0.124089068825911,0.451666768719085,39,0.13440903808211,0.636219897835077,0.451666768719085
1,"MER41-13q13.3","GLDN",1,"mean","donor",0.57753036437247,0.000118331009041078,39,0.0632719803237925,0.559366469364037,0.000118331009041078
2,"MER41-13q13.3","TMEM63A",1,"mean","donor",0.265384615384615,0.102504152585665,39,0.0632719803237925,0.472161409767832,0.102504152585665
3,"MER41-13q13.3","FA2H",1,"mean","donor",0.395141700404858,0.0127879847240235,39,0.0632719803237925,0.636219897835077,0.0127879847240235
4,"MER41-13q13.3","ATP11A",1,"mean","donor",-0.375708502024292,0.0184210938412498,39,0.0632719803237925,0.472201951404092,0.0184210938412498
5,"MER41-13q13.3","MICAL3",1,"mean","donor",0.03582995951417,0.828561113239332,39,0.0632719803237925,0.524514176058812,0.828561113239332
6,"MER41-13q13.3","PIK3C2B",1,"mean","donor",-0.015587044534413,0.924966459785404,39,0.0632719803237925,0.426741263277386,0.924966459785404
1,"HARLEQUIN-6p21.31","PIK3C2B",1,"mean","donor",0.123279352226721,0.454647176667111,39,0.0547582367091002,0.426741263277386,0.454647176667111
2,"HARLEQUIN-6p21.31","CORO2B",1,"mean","donor",0.255465587044534,0.11649698781247,39,0.0547582367091002,0.38407794805265,0.11649698781247
3,"HARLEQUIN-6p21.31","SLC13A3",1,"mean","donor",0.179554655870445,0.274062568858179,39,0.0547582367091002,0.33980648125625,0.274062568858179
4,"HARLEQUIN-6p21.31","TMEM63A",1,"mean","donor",0.140890688259109,0.392266459285843,39,0.0547582367091002,0.472161409767832,0.392266459285843
5,"HARLEQUIN-6p21.31","GLDN",1,"mean","donor",0.0522267206477733,0.752184900338669,39,0.0547582367091002,0.559366469364037,0.752184900338669
