"celltype","locus","module","gene","rho","p","fdr"
"Astro","HARLEQUIN-6p21.31","blue","CACNB2",0.0674236378574901,5.15986172474576e-23,1.03197234494915e-21
"Astro","HARLEQUIN-6p21.31","blue","LINC00299",0.0593321946360809,3.60034302347003e-18,4.8004573646267e-17
"Astro","HARLEQUIN-6p21.31","blue","NKAIN3",0.0561976100713705,1.8586330563726e-16,1.98254192679744e-15
"Astro","HARLEQUIN-6p21.31","blue","AHCYL2",0.0551829456928406,6.3698843192715e-16,5.99518524166729e-15
"Astro","HARLEQUIN-6p21.31","blue","PPP2R2B",0.0532051013072609,6.59901757236372e-15,5.55706742935892e-14
"Astro","HARLEQUIN-6p21.31","blue","NEBL",0.0498738137712266,2.80507306269799e-13,1.66226551863584e-12
"Astro","HARLEQUIN-6p21.31","blue","ADGRV1",0.0494257900566063,4.56192876153524e-13,2.51692621326082e-12
"Astro","HARLEQUIN-6p21.31","blue","NTM",0.0472640557537016,4.49007033678904e-12,2.17700379965529e-11
"Astro","HARLEQUIN-6p21.31","blue","FMNL2",0.0462526023467617,1.26520855432223e-11,5.62314913032103e-11
"Astro","HARLEQUIN-6p21.31","blue","GPM6A",0.045102938611421,4.00077340515606e-11,1.73006417520262e-10
"Astro","HARLEQUIN-6p21.31","blue","CTNND2",0.0445307088584102,7.02238445018296e-11,2.95679345270862e-10
"Astro","HARLEQUIN-6p21.31","blue","RYR3",0.04237487910318,5.49649737841116e-10,2.09390376320425e-09
"Astro","HARLEQUIN-6p21.31","blue","FMN2",0.0411638873691926,1.67265092326666e-09,6.08236699369696e-09
"Astro","HARLEQUIN-6p21.31","turquoise","ANKDD1A",0.104752551194943,2.50133076114764e-53,1.29043012600745e-51
"Astro","HERV3-1p34.3","brown","ATP1B2",0.0593214282998579,3.65075781824782e-18,3.90631086552517e-16
"Astro","HERV3-1p34.3","brown","ADGRG1",0.0477412487260456,2.73355009474459e-12,1.46244930068836e-10
"Astro","HERV3-1p34.3","brown","AGT",0.0399893594322997,4.77952037966093e-09,1.70469560207907e-07
"Astro","HERV3-1p34.3","brown","IL6ST",0.0374571870396462,4.16571965167112e-08,9.90515561619577e-07
"Astro","HERV3-1p34.3","brown","AQP4",0.0343315726059726,5.01310420453785e-07,9.84475054368514e-06
"Astro","HERV3-1p34.3","brown","PRNP",0.033321621281535,1.07232072934462e-06,1.91230530066457e-05
"Astro","HERV3-1p34.3","brown","APOE",0.0327203222985282,1.66939604300815e-06,2.55179109431245e-05
"Astro","HERV3-1p34.3","brown","SLC6A1-AS1",-0.029959006306104,1.15772479966582e-05,0.000145737121840286
"Astro","HERV3-1p34.3","brown","SLC1A4",0.028362461408334,3.30156572737878e-05,0.000371860560873189
"Astro","HERV3-1p34.3","brown","ITM2C",0.0249517303384074,0.000260019283803444,0.00222576506935748
"Astro","HERV3-1p34.3","brown","RHOB",0.0222095766490042,0.00115117192611027,0.00794679974798699
"Astro","HERV3-1p34.3","brown","LAMP2",0.0214551862847136,0.00168793539062479,0.0112880679248033
"Astro","HERV3-1p34.3","brown","TUBB2A",-0.0178179372964728,0.00911229709635018,0.0500008097081779
"Astro","HERV3-1p34.3","green","OSMR",0.0878356222797579,5.8795262615528e-38,7.64338414001864e-36
"Astro","HERV3-1p34.3","green","TPST1",0.0864476357983787,8.12535843321268e-37,5.28148298158824e-35
"Astro","HERV3-1p34.3","green","ST8SIA1",0.0712751840103003,1.55751291721456e-25,6.7492226412631e-24
"Astro","HERV3-1p34.3","green","PTCHD1-AS",0.0675164191555599,4.5035798896594e-23,1.17093077131144e-21
"Astro","HERV3-1p34.3","green","RGL1",0.0589282544546723,6.05603082303782e-18,9.84105008743645e-17
"Astro","HERV3-1p34.3","green","MFHAS1",0.0587998297842435,7.13959113866479e-18,1.03127427558491e-16
"Astro","HERV3-1p34.3","green","ENTREP1",0.0582428851698083,1.45182766646809e-17,1.88737596640852e-16
"Astro","HERV3-1p34.3","green","DENND4A",0.0557059644369944,3.3851903976402e-16,3.66728959744355e-15
"Astro","HERV3-1p34.3","green","SLC44A3-AS1",0.0540182426173305,2.54931666255019e-15,2.54931666255019e-14
"Astro","HERV3-1p34.3","green","ABCC9",0.0532257222743921,6.44287754081696e-15,5.98267200218718e-14
"Astro","HERV3-1p34.3","green","MAOB",0.05250498172296,1.47988214919877e-14,1.2825645293056e-13
"Astro","HERV3-1p34.3","green","SLC9A9",0.0521231434352588,2.28883036610087e-14,1.85967467245696e-13
"Astro","HERV3-1p34.3","green","MAPRE2",0.046995356208977,5.92504005586684e-12,4.27919559590383e-11
"Astro","HERV3-1p34.3","green","MED12L",0.0463993671742697,1.09008867890278e-11,7.45850148722957e-11
"Astro","HERV3-1p34.3","green","PLCE1",0.04620145980026,1.33248246605602e-11,8.66113602936411e-11
"Astro","HERV3-1p34.3","green","NCOA1",0.046048658128964,1.55503877546157e-11,9.62643051476212e-11
"Astro","HERV3-1p34.3","green","ERBIN",0.0447722504402596,5.54259401394279e-11,3.2751691900571e-10
"Astro","HERV3-1p34.3","green","YBX3",0.0439622672039781,1.21965405557373e-10,6.89369683585154e-10
"Astro","HERV3-1p34.3","green","NAV2",0.0431641448028233,2.61738326130305e-10,1.36103929587759e-09
"Astro","HERV3-1p34.3","green","PLSCR1",0.0418169204198909,9.21376812304012e-10,4.60688406152006e-09
"Astro","HERV3-1p34.3","green","ARHGEF3",0.0414180921248527,1.32757866166397e-09,6.39204540801173e-09
"Astro","HERV3-1p34.3","green","CHI3L1",0.0399547288468382,4.92762681041462e-09,2.28782673340679e-08
"Astro","HERV3-1p34.3","green","BCL6",0.0389435392937176,1.1879940652715e-08,5.14797428284317e-08
"Astro","HERV3-1p34.3","green","DPYSL2",0.0380677309172082,2.50209349171849e-08,1.01647548101064e-07
"Astro","HERV3-1p34.3","green","HMBOX1",0.0377665379173146,3.22063097397372e-08,1.26873341398965e-07
"Astro","HERV3-1p34.3","green","BAALC",0.0352143714470964,2.53464436001656e-07,9.1528824111709e-07
"Astro","HERV3-1p34.3","green","STK3",0.0350960843369762,2.77979408606209e-07,9.7668440861641e-07
"Astro","HERV3-1p34.3","green","NAV1",0.0349368625276293,3.1461828624088e-07,1.07632571608722e-06
"Astro","HERV3-1p34.3","green","TENM4",0.0345493018149203,4.24336499923645e-07,1.41445499974548e-06
"Astro","HERV3-1p34.3","green","RFX4",0.0338928478509005,6.99334427980647e-07,2.21740184481669e-06
"Astro","HERV3-1p34.3","green","ETV6",0.032939643041811,1.42173996254186e-06,4.29828360768469e-06
"Astro","HERV3-1p34.3","green","FGF2",0.0317068680119482,3.46093496868535e-06,9.78090317237164e-06
"Astro","HERVW-15q21.2","green","PFKFB3",0.0241230616856655,0.000414217107910602,0.0182605768293289
"Astro","HERVW-15q21.2","green","PLCE1",0.0224571573069925,0.00101276530243522,0.0297077948955191
"Astro","HERVW-15q21.2","green","OSMR-DT",0.0210951769556844,0.00201804711700167,0.0313345593750621
"Astro","HERVW-15q21.2","green","MAP3K14",0.020458885995951,0.00274972691833755,0.0313345593750621
"Astro","HERVW-15q21.2","green","ZFYVE28",0.0203532236842057,0.00289242086539035,0.0313345593750621
"Astro","HERVW-15q21.2","green","STAT3",0.0196273772459052,0.00406995579797544,0.0386902568622682
"Astro","HERVW-15q21.2","green","NCOA1",0.0195766483681515,0.00416664304670581,0.0386902568622682
"Astro","HERVW-15q21.2","green","TRIO",0.0179347615335933,0.00866710963715956,0.0593012764647759
"Astro","HERVW-15q21.2","green","LINC01138",0.0174074883380157,0.010842634537646,0.0675749387368522
"Astro","HERVW-15q21.2","green","DENND4A",0.0173914201130364,0.0109159516421069,0.0675749387368522
"Astro","HERVW-15q21.2","green","YBX3",0.0164212305264205,0.0162450537656124,0.0952299505202272
"Astro","HERVW-15q21.2","green","PLSCR1",0.0151943715594589,0.0261631190380888,0.125970573146353
"Astro","HERVW-15q21.2","green","TPST1",0.014866900676792,0.0295665253285689,0.132212209642166
"Astro","HERVW-15q21.2","green","TENM4",0.014149806770076,0.0383692524112205,0.155875087920583
"Astro","HERVW-15q21.2","green","MFHAS1",0.013830372716421,0.0429564708167031,0.164245329593277
"Astro","HERVW-15q21.2","green","CD44",0.0132882378125794,0.0518012070757261,0.186043295342554
"Astro","HERVW-15q21.2","green","NAV1",0.0128573503526545,0.0598747402577793,0.194592905837783
"Astro","HML1-1q32.1","green","ANOS1",0.114849377621906,8.32000874382411e-64,5.40800568348567e-62
"Astro","HML1-1q32.1","green","COLEC12",0.112506650104149,2.74566650280817e-61,6.38133682375122e-60
"Astro","HML1-1q32.1","green","ABCC9",0.111402055889996,4.05313690173669e-60,7.52725424608243e-59
"Astro","HML1-1q32.1","green","TPST1",0.108151056749626,9.56505558530132e-57,1.24345722608917e-55
"Astro","HML1-1q32.1","green","ETV6",0.107284656139148,7.28524270721836e-56,8.60983229034897e-55
"Astro","HML1-1q32.1","green","SLC44A3-AS1",0.105270468856155,7.66496971525634e-54,6.22778789364578e-53
"Astro","HML1-1q32.1","green","STAT3",0.102669306557416,2.74384425970335e-51,1.87736712506019e-50
"Astro","HML1-1q32.1","green","PLSCR1",0.102440807768594,4.56677231453974e-51,2.69854727677348e-50
"Astro","HML1-1q32.1","green","ZFYVE28",0.101601435964724,2.93811857864451e-50,1.66067571836429e-49
"Astro","HML1-1q32.1","green","MSRA",0.100849070498258,1.53817713798563e-49,7.99852111752528e-49
"Astro","HML1-1q32.1","green","MAP3K14",0.0996811869901624,1.96016792141401e-48,9.10077963513645e-48
"Astro","HML1-1q32.1","green","ARHGEF3",0.0982131244207071,4.60479840355215e-47,1.93104449181219e-46
"Astro","HML1-1q32.1","green","NAV1",0.0981270378005225,5.53302796017538e-47,2.17967768128121e-46
"Astro","HML1-1q32.1","green","CPNE8",0.0978750339812444,9.46276115154794e-47,3.6181145579448e-46
"Astro","HML1-1q32.1","green","PFKFB3",0.0963264711532908,2.48232721160896e-45,9.22007250026187e-45
"Astro","HML1-1q32.1","green","CACHD1",0.0945943956462832,9.01146870938926e-44,3.08287087426475e-43
"Astro","HML1-1q32.1","green","OSMR",0.0934682233818077,8.98960440109062e-43,2.99653480036354e-42
"Astro","HML1-1q32.1","green","OSMR-DT",0.093366494481724,1.10505352155143e-42,3.59142394504215e-42
"Astro","HML1-1q32.1","green","LINC01138",0.0928436253882171,3.18112262943028e-42,9.84633194823658e-42
"Astro","HML1-1q32.1","green","YBX3",0.0921622135422515,1.25059683119405e-41,3.78087414081921e-41
"Astro","HML1-1q32.1","green","STK3",0.0920240702140847,1.64858363119971e-41,4.76257493457695e-41
"Astro","HML1-1q32.1","green","MAPRE2",0.0915604762055739,4.15406084115894e-41,1.12505814448055e-40
"Astro","HML1-1q32.1","green","PLCE1",0.0912525353103876,7.6550669256814e-41,2.03093612313996e-40
"Astro","HML1-1q32.1","green","DENND4A",0.0910408878711065,1.16382801284862e-40,3.0259528334064e-40
"Astro","HML1-1q32.1","turquoise","ANKDD1A",0.111560596815115,2.75871874976536e-60,2.22021684981116e-58
"Astro","HML3-1q32.1b","green","ANOS1",0.132098041165517,5.50906195777275e-84,7.16178054510457e-82
"Astro","HML3-1q32.1b","green","PLSCR1",0.118371215979182,1.08234850692164e-67,7.03526529499067e-66
"Astro","HML3-1q32.1b","green","STAT3",0.112233385784659,5.35764856878026e-61,8.70617892426793e-60
"Astro","HML3-1q32.1b","green","MAP3K14",0.110957393870731,1.18884037340944e-59,1.54549248543227e-58
"Astro","HML3-1q32.1b","green","ZFYVE28",0.107310082113061,6.86546539212658e-56,5.9500700065097e-55
