"signature","feature","gene_set","n_gene","agg","level","rho","p_val","n","herv_pct","gene_set_pct","p_adj","celltype"
1,"HERVW-15q21.2","GLDN",1,"mean","donor",0.321457489878543,0.0459881556652793,39,0.000466853408029879,0.0140056022408964,0.0459881556652793,"Astro"
1,"HML1-1q32.1","ABCC9",1,"mean","donor",0.476923076923077,0.00214273976917141,39,0.0485527544351074,0.294257703081233,0.00214273976917141,"Astro"
1,"HML4-16p13.3","MTR",1,"mean","donor",0.235627530364372,0.148727646878902,39,0.101960784313725,0.229458450046685,0.148727646878902,"Astro"
1,"HERVW-15q21.2","GLDN",1,"mean","donor",0.75,3.88732875381321e-08,39,0.0632719803237925,0.559366469364037,3.88732875381321e-08,"Oligo"
1,"HML1-1q32.1","ABCC9",1,"mean","donor",0.0321862348178138,0.84577382388773,39,0.0116354496067461,0.00458120489742966,0.84577382388773,"Oligo"
1,"HML4-16p13.3","MTR",1,"mean","donor",0.603036437246964,4.84338646966209e-05,39,0.0563528744020109,0.241074083083327,4.84338646966209e-05,"Oligo"
1,"HERVW-15q21.2","GLDN",1,"mean","donor",-0.0174089068825911,0.916225655033974,39,7.77302759424796e-05,0.0133696074621065,0.916225655033974,"OPC"
1,"HML1-1q32.1","ABCC9",1,"mean","donor",-0.0234817813765182,0.887165327873407,39,0.0286047415468325,0.00730664593859308,0.887165327873407,"OPC"
1,"HML4-16p13.3","MTR",1,"mean","donor",0.45,0.00404860405601268,39,0.0751651768363778,0.295685969685192,0.00404860405601268,"OPC"
1,"HERVW-15q21.2","GLDN",1,"mean","donor",0.682995951417004,1.6625269125167e-06,39,0.00522349717417366,0.113769481075527,1.6625269125167e-06,"Excit"
1,"HML1-1q32.1","ABCC9",1,"mean","donor",-0.312753036437247,0.0525577900075577,39,0.053519438259976,0.0731460866586744,0.0525577900075577,"Excit"
1,"HML4-16p13.3","MTR",1,"mean","donor",0.461538461538462,0.00310151236106525,39,0.147833533139236,0.40118170919678,0.00310151236106525,"Excit"
1,"HERVW-15q21.2","GLDN",1,"mean","donor",0.476720647773279,0.00215343007081899,39,0.00626052573771692,0.11067584388958,0.00215343007081899,"Inhib"
1,"HML1-1q32.1","ABCC9",1,"mean","donor",-0.0777327935222672,0.638097919247358,39,0.0560884528080838,0.00735886358643919,0.638097919247358,"Inhib"
1,"HML4-16p13.3","MTR",1,"mean","donor",0.251214574898785,0.122916035159383,39,0.12037782821996,0.394047008859925,0.122916035159383,"Inhib"
1,"HERVW-15q21.2","GLDN",1,"mean","donor",0.305668016194332,0.0584428571201558,39,0.00114678899082569,0.0301987767584098,0.0584428571201558,"Endo"
1,"HML1-1q32.1","ABCC9",1,"mean","donor",0.155465587044534,0.344629644384741,39,0.0237003058103976,0.264908256880734,0.344629644384741,"Endo"
1,"HML4-16p13.3","MTR",1,"mean","donor",-0.081578947368421,0.62151163835694,39,0.0523700305810398,0.174311926605505,0.62151163835694,"Endo"
1,"HERVW-15q21.2","GLDN",1,"mean","donor",0.578744939271255,0.000113593207846822,39,0.0437247741687488,0.445608302902172,0.000113593207846822,"Mic"
1,"HML1-1q32.1","ABCC9",1,"mean","donor",0.0287449392712551,0.862095478385444,39,0.0103786277147799,0.00394003459542572,0.862095478385444,"Mic"
1,"HML4-16p13.3","MTR",1,"mean","donor",-0.250607287449393,0.123854242431167,39,0.0483374975975399,0.229771285796656,0.123854242431167,"Mic"
