"feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","celltype","pct_expr"
"ABCC9",2.76927115785758e-06,-0.216815741718094,0.284,0.307,0.0988297490816213,"Astro",0.294257703081233
"MTR",0.000157877108232021,-0.127919722385111,0.219,0.243,1,"Astro",0.229458450046685
"GLDN",0.130041825400792,-0.276535993708876,0.013,0.016,1,"Astro",0.0140056022408964
"GLDN",1.556790596422e-210,-0.380529389697248,0.521,0.612,5.55587428051084e-206,"Oligo",0.559366469364037
"MTR",0.000632573584982678,-0.047774436955302,0.236,0.248,1,"Oligo",0.241074083083327
"ABCC9",0.284108704165301,0.092152752335199,0.005,0.004,1,"Oligo",0.00458120489742966
"MTR",0.0656110088701619,-0.0269177326144882,0.287,0.306,1,"OPC",0.295685969685192
"GLDN",0.517750376656394,0.459134529183446,0.014,0.013,1,"OPC",0.0133696074621065
"ABCC9",0.579420164692267,-0.187474278867363,0.007,0.008,1,"OPC",0.00730664593859308
"MTR",1.68263758707941e-13,-0.0593560524063121,0.387,0.417,6.00499702076899e-09,"Excit",0.40118170919678
"GLDN",3.82056000348759e-12,-0.253735355846963,0.105,0.124,1.36348145404465e-07,"Excit",0.113769481075527
"ABCC9",0.000724272071810364,-0.184327394801767,0.07,0.077,1,"Excit",0.0731460866586744
"GLDN",4.75948563983669e-07,-0.0904147064305967,0.114,0.106,0.0169856523514492,"Inhib",0.11067584388958
"MTR",6.85789541162411e-07,-0.0763860174023652,0.398,0.389,0.0244744571450041,"Inhib",0.394047008859925
"ABCC9",0.045735403940516,0.691171166173131,0.008,0.006,1,"Inhib",0.00735886358643919
"ABCC9",9.91554938029117e-07,-0.712183365025541,0.254,0.294,0.0353866126283831,"Endo",0.264908256880734
"MTR",0.24972083463426,-0.235212565665432,0.175,0.172,1,"Endo",0.174311926605505
"GLDN",0.76433654405542,-0.159864264530983,0.029,0.034,1,"Endo",0.0301987767584098
"GLDN",5.1357083311335e-08,-0.1883055752512,0.441,0.452,0.00183283158921492,"Mic",0.445608302902172
"MTR",8.74070655339548e-05,0.104212651895348,0.242,0.213,1,"Mic",0.229771285796656
"ABCC9",0.93805582431741,0.280950531405043,0.004,0.004,1,"Mic",0.00394003459542572
