"feature","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","celltype","pct_max","star"
"HML4-16p13.3",1.44216458332427e-09,-0.482068726079196,0.094,0.113,2.15863194831976e-05,"Astro",0.113,"***"
"HML1-1q32.1",3.56924316437918e-08,-0.653082849708063,0.044,0.054,0.000534244316844276,"Astro",0.054,"***"
"HERVW-15q21.2",0.949049705918325,-0.358333535238716,0,0,1,"Astro",0,""
"HERVW-15q21.2",5.05267531533926e-20,-0.397898420614423,0.056,0.073,7.56284441199981e-16,"Oligo",0.073,"***"
"HML4-16p13.3",1.04466918392007e-07,-0.152342244559143,0.052,0.062,0.00156366083449156,"Oligo",0.062,"**"
"HML1-1q32.1",3.37943772612851e-05,-0.448424009644135,0.011,0.012,0.505834238846915,"Oligo",0.012,""
"HML1-1q32.1",1.40946922633666e-07,-1.01826834167594,0.021,0.038,0.00210969353798071,"OPC",0.038,"**"
"HERVW-15q21.2",0.315560470742794,-1.08822321119773,0,0,1,"OPC",0,""
"HML4-16p13.3",0.574457227301379,0.027228674115042,0.073,0.078,1,"OPC",0.078,""
"HML1-1q32.1",3.08611784937658e-95,-1.30794199781793,0.037,0.073,4.61930119694687e-91,"Excit",0.073,"***"
"HML4-16p13.3",7.93588811315606e-11,-0.262836306070675,0.142,0.155,1.1878437327772e-06,"Excit",0.155,"***"
"HERVW-15q21.2",0.553480043710087,-0.112197120339098,0.005,0.005,1,"Excit",0.005,""
"HML1-1q32.1",7.03451891724259e-24,-0.98287009164022,0.049,0.065,1.05292679153287e-19,"Inhib",0.065,"***"
"HML4-16p13.3",4.79331853502812e-12,-0.0229909949363432,0.129,0.109,7.17463918323009e-08,"Inhib",0.129,"***"
"HERVW-15q21.2",0.413738178732878,0.0234028097266279,0.007,0.006,1,"Inhib",0.007,""
"HERVW-15q21.2",0.227978556454549,1.96445317185955,0.002,0,1,"Endo",0.002,""
"HML1-1q32.1",0.792225621911106,0.154131581644615,0.025,0.02,1,"Endo",0.025,""
"HML4-16p13.3",0.94795715557603,-0.330410796748635,0.051,0.055,1,"Endo",0.055,""
"HML1-1q32.1",0.601068837217643,0.00472856116637477,0.011,0.009,1,"Mic",0.011,""
"HML4-16p13.3",0.72467803452837,-0.171814781301774,0.05,0.046,1,"Mic",0.05,""
"HERVW-15q21.2",0.85487704903009,-0.31751886435397,0.043,0.045,1,"Mic",0.045,""
