"celltype","gene","herv","corr_sign","herv_logFC","gene_logFC","p_val_adj","pct.1","pct.2","expected_sign","observed_sign","concordance","pct_expr"
"Mic","ADGRE2","HARLEQUIN-6p21.31",1,0.386672428599679,0.536233556254087,1.27973059418527e-21,0.219,0.138,1,1,"concordant",0.184989429175476
"Mic","IL4R","HARLEQUIN-6p21.31",1,0.386672428599679,0.0790824337848388,4.89033306243575e-08,0.341,0.282,1,1,"concordant",0.316355948491255
"Mic","ALOX5","HARLEQUIN-6p21.31",1,0.386672428599679,0.170477828056122,0.000104462204979251,0.475,0.414,1,1,"concordant",0.449452239092831
"Mic","HCK","HARLEQUIN-6p21.31",1,0.386672428599679,0.0213003292164038,0.0716594335037318,0.4,0.357,1,1,"concordant",0.381895060541995
"Mic","ANKS1A","HARLEQUIN-6p21.31",1,0.386672428599679,0.0304420403327272,1,0.621,0.613,1,1,"concordant",0.617624447434173
"Oligo","GLDN","HERVW-15q21.2",1,-0.397898420614423,-0.380529389697248,1.03433865188878e-205,0.521,0.612,-1,-1,"concordant",0.559366469364037
"Oligo","NHLRC3","HERVW-15q21.2",1,-0.397898420614423,-0.2672160035225,4.58366752677403e-34,0.208,0.248,-1,-1,"concordant",0.224492553852807
"Oligo","ATP11A","MER41-13q13.3",-1,-0.575511301248185,0.180427264904394,1.97920942474023e-28,0.481,0.461,1,1,"concordant",0.472201951404092
"Oligo","PIK3C2B","HERVW-15q21.2",1,-0.397898420614423,0.128337224315488,5.84038797222387e-06,0.435,0.415,-1,1,"discordant",0.426741263277386
"Astro","ABCC9","HML1-1q32.1",1,-0.653082849708063,-0.216815741718094,0.17329253875589,0.284,0.307,-1,-1,"concordant",0.294257703081233
"Astro","ABCC9","HML3-1q32.1b",1,-0.547597388956457,-0.216815741718094,0.17329253875589,0.284,0.307,-1,-1,"concordant",0.294257703081233
"Astro","COLEC12","HML3-1q32.1b",1,-0.547597388956457,0.0995136900774165,0.00173831141253825,0.362,0.367,-1,1,"discordant",0.364565826330532
"Excit","MTR","HML4-16p13.3",1,-0.262836306070675,-0.0593560524063121,6.16412090292403e-09,0.387,0.417,-1,-1,"concordant",0.40118170919678
"Excit","MICU2","HML4-16p13.3",1,-0.262836306070675,0.0101429493171996,6.83278804499089e-20,0.437,0.463,-1,1,"discordant",0.449220756978935
"Excit","KCTD5","HML4-16p13.3",-1,-0.262836306070675,0.120504394270204,1,0.05,0.049,1,1,"concordant",0.0494262716218531
