locus_id,category,subfamily_raw,subfamily,subfamily_alias,group,class,include
ERV316A3_10_KI270824v1_alt(a),oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10_KI270824v1_alt(b),internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.1a,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.1b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.21a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.21b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.21c,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.21d,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.21e,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.21f,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.22a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.22b,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.22c,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.22d,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.22e,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p11.23,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p12.1a,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p12.1b,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p12.1c,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p12.2,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p12.31,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p12.33,oneside,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
ERV316A3_10p13a,internal,ERV3-16A3_I-int,ERV3-16A3_I,ERV316A3,ERV3,ERVL,"ERV3-16A3_LTR,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16E1,LTR16E2"
